 ,Value
1,3387.496
2,3369.098
3,3392.361
4,3403.615
5,3406.690
6,3389.821
7,3405.419
8,3358.610
9,3342.963
10,3376.988
11,3444.834
12,3388.551
13,3397.469
14,3409.528
15,3363.761
16,3419.690
17,3373.493
18,3356.394
19,3378.139
20,3313.536
21,3346.510
22,3329.775
23,3369.573
24,3385.715
25,3412.604
26,3387.919
27,3374.710
28,3420.117
29,3400.685
30,3391.252
31,3393.043
32,3386.759
33,3434.936
34,3394.615
35,3371.232
36,3432.580
37,3392.216
38,3407.523
39,3381.679
40,3415.901
41,3393.515
42,3390.645
43,3399.627
44,3449.471
45,3406.491
46,3366.990
47,3378.127
48,3365.097
49,3398.472
50,3330.782
51,3387.004
52,3402.265
53,3385.779
54,3369.150
55,3374.354
56,3377.419
57,3372.571
58,3387.512
59,3423.067
60,3348.183
61,3385.882
62,3431.478
63,3378.294
64,3378.540
65,3419.734
66,3397.393
67,3465.026
68,3434.119
69,3395.183
70,3405.792
71,3372.373
72,3360.928
73,3359.936
74,3364.681
75,3382.112
76,3375.636
77,3370.644
78,3362.891
79,3391.148
