X	Y
297.000	197.000
296.274	197.693
295.547	198.387
294.821	199.080
294.094	199.772
293.366	200.464
292.638	201.156
291.909	201.846
291.180	202.536
290.449	203.225
289.717	203.912
288.984	204.598
288.249	205.282
287.513	205.965
286.775	206.646
286.036	207.325
285.294	208.002
284.551	208.677
283.805	209.349
283.057	210.019
282.306	210.686
281.553	211.350
280.797	212.011
280.038	212.668
279.277	213.323
278.512	213.973
277.744	214.620
276.972	215.262
276.197	215.900
275.418	216.534
274.635	217.163
273.848	217.787
273.058	218.405
272.263	219.019
271.463	219.626
270.659	220.227
269.851	220.823
269.037	221.411
268.219	221.993
267.395	222.568
266.567	223.135
265.733	223.694
264.894	224.245
264.049	224.788
263.199	225.322
262.344	225.849
261.484	226.368
260.621	226.881
259.754	227.387
258.884	227.888
258.012	228.385
257.137	228.877
256.260	229.366
255.381	229.853
254.502	230.338
253.622	230.821
252.742	231.304
251.862	231.788
250.983	232.274
250.106	232.762
249.230	233.253
248.357	233.749
247.487	234.251
246.622	234.760
245.761	235.276
244.906	235.803
244.058	236.340
243.217	236.890
242.387	237.454
241.568	238.034
240.761	238.632
239.969	239.250
239.196	239.890
238.442	240.553
237.712	241.242
237.005	241.956
236.323	242.692
235.666	243.451
235.034	244.231
234.425	245.030
233.840	245.846
233.277	246.677
232.735	247.522
232.213	248.380
231.708	249.248
231.220	250.125
230.745	251.010
230.282	251.901
229.828	252.796
229.381	253.696
228.939	254.597
228.500	255.500
