 ,Value
1,3808.410
2,3738.931
3,3687.595
4,3708.748
5,3735.552
6,3768.536
7,3781.078
8,3738.108
9,3713.936
10,3731.954
11,3732.179
12,3814.630
13,3768.604
14,3722.929
15,3758.584
16,3737.045
17,3698.221
18,3728.039
19,3739.500
20,3739.887
21,3712.730
22,3694.974
23,3695.516
24,3659.564
25,3727.186
26,3781.600
27,3800.000
28,3731.749
29,3719.627
30,3771.408
31,3771.774
32,3769.557
33,3738.583
34,3684.895
35,3710.970
36,3631.072
37,3641.189
38,3640.919
39,3678.255
40,3741.791
41,3739.852
42,3674.698
43,3675.704
44,3674.358
45,3668.973
46,3632.609
47,3685.051
48,3689.484
49,3628.997
50,3651.383
51,3640.697
52,3709.356
53,3661.485
54,3578.500
55,3668.220
56,3655.615
57,3665.180
58,3677.852
59,3649.967
60,3656.110
61,3673.779
62,3650.158
63,3667.781
64,3659.695
65,3613.096
66,3645.662
67,3613.915
68,3656.340
69,3658.926
70,3688.701
71,3652.445
72,3666.015
73,3607.093
74,3665.230
75,3636.382
76,3700.216
77,3662.216
78,3652.349
79,3659.356
80,3664.588
81,3632.244
82,3665.562
83,3652.660
84,3674.752
85,3720.311
86,3684.298
87,3703.045
88,3713.426
89,3686.174
90,3631.783
91,3652.286
92,3679.551
93,3660.210
94,3684.710
95,3734.469
96,3682.087
97,3639.141
98,3676.770
99,3670.446
100,3650.402
101,3690.172
102,3596.486
103,3582.106
104,3587.443
105,3569.373
106,3615.406
107,3532.104
108,3518.352
109,3612.156
110,3553.862
111,3565.776
112,3583.713
113,3541.448
114,3495.072
115,3514.790
116,3514.996
117,3483.375
118,3503.303
119,3550.145
120,3514.912
121,3497.231
122,3548.857
123,3577.831
124,3545.901
125,3547.433
126,3517.198
127,3577.878
128,3480.781
129,3524.386
130,3575.045
131,3560.046
132,3531.107
133,3478.331
134,3554.552
135,3535.975
136,3550.500
137,3571.007
138,3568.356
139,3537.371
140,3554.606
141,3552.822
142,3526.838
143,3615.627
144,3617.384
145,3590.025
146,3576.304
147,3582.371
148,3581.758
149,3605.858
150,3601.620
151,3598.447
152,3625.051
153,3586.159
