 ,Value
1,3246.380
2,3230.847
3,3217.509
4,3247.167
5,3223.796
6,3251.099
7,3235.415
8,3226.805
9,3205.043
10,3204.367
11,3241.443
12,3253.525
13,3247.645
14,3223.675
15,3213.511
16,3208.510
17,3225.499
18,3233.401
19,3221.091
20,3244.120
21,3219.907
22,3234.834
23,3244.509
24,3244.908
25,3234.194
26,3221.720
27,3234.703
28,3227.150
29,3245.012
30,3196.615
31,3225.182
32,3236.286
33,3258.919
34,3266.109
35,3263.796
36,3238.510
37,3204.469
38,3204.031
39,3220.253
40,3216.407
41,3213.363
42,3239.219
43,3265.233
44,3273.562
45,3234.901
46,3208.704
47,3232.810
48,3228.664
49,3259.751
50,3240.268
51,3264.952
52,3257.808
53,3247.349
54,3272.463
55,3246.100
56,3232.096
57,3223.385
58,3240.792
59,3244.136
60,3250.461
61,3242.041
62,3215.922
63,3235.379
64,3282.184
65,3280.379
66,3265.074
67,3250.669
