X	Y
477.500	818.500
478.320	817.920
479.141	817.340
479.962	816.761
480.784	816.183
481.606	815.606
482.431	815.032
483.257	814.460
484.085	813.890
484.915	813.324
485.747	812.762
486.583	812.204
487.421	811.651
488.263	811.102
489.109	810.560
489.959	810.024
490.813	809.496
491.673	808.975
492.537	808.463
493.407	807.960
494.283	807.468
495.165	806.987
496.054	806.519
496.950	806.065
497.854	805.626
498.766	805.204
499.686	804.800
500.614	804.417
501.552	804.055
502.498	803.719
503.454	803.409
504.418	803.127
505.390	802.873
506.369	802.647
507.355	802.452
508.346	802.286
509.341	802.151
510.340	802.044
511.342	801.967
512.346	801.919
513.350	801.899
514.355	801.905
515.359	801.937
516.362	801.992
517.364	802.070
518.363	802.170
519.361	802.290
520.356	802.428
521.349	802.583
522.339	802.753
523.326	802.939
524.311	803.140
525.292	803.356
526.270	803.585
527.245	803.829
528.216	804.086
529.183	804.357
530.147	804.642
531.107	804.939
532.062	805.250
533.013	805.574
533.960	805.911
534.902	806.260
535.839	806.623
536.771	806.998
537.697	807.387
538.618	807.788
539.533	808.203
540.443	808.630
541.346	809.071
542.242	809.525
543.131	809.992
544.013	810.473
544.889	810.966
545.757	811.472
546.618	811.989
547.473	812.517
548.322	813.055
549.164	813.602
550.001	814.159
550.831	814.724
551.657	815.297
552.477	815.877
553.292	816.464
554.103	817.057
554.910	817.656
555.714	818.259
556.513	818.867
557.310	819.479
558.104	820.095
558.896	820.714
559.686	821.335
560.474	821.958
561.261	822.582
562.047	823.207
562.833	823.833
