 ,Value
1,3285.857
2,3328.642
3,3328.358
4,3322.805
5,3345.611
6,3360.271
7,3325.675
8,3324.868
9,3313.184
10,3340.684
11,3324.604
12,3315.979
13,3355.070
14,3338.803
15,3308.309
16,3349.754
17,3335.434
18,3323.135
19,3351.325
20,3408.441
21,3399.984
22,3356.823
23,3314.952
24,3345.115
25,3327.571
26,3317.659
27,3309.586
28,3342.482
29,3336.761
30,3337.644
31,3331.032
32,3311.057
33,3320.150
34,3343.002
35,3335.291
36,3368.835
37,3396.176
38,3414.915
39,3326.482
40,3318.638
41,3338.600
42,3373.474
43,3410.238
44,3375.026
45,3411.287
46,3404.866
47,3381.706
48,3376.179
49,3393.629
50,3420.159
51,3369.791
52,3330.473
53,3361.493
54,3371.784
55,3393.205
56,3369.225
57,3361.740
58,3307.197
59,3317.397
60,3331.797
61,3334.617
62,3350.069
63,3311.025
64,3349.365
65,3333.161
66,3291.242
67,3312.703
68,3335.777
69,3323.136
70,3332.409
71,3325.279
72,3285.310
73,3295.007
74,3307.310
75,3331.350
76,3353.853
77,3344.760
78,3408.567
79,3359.498
80,3384.771
81,3397.628
82,3398.176
83,3360.862
84,3385.255
85,3372.050
86,3319.426
87,3346.668
88,3282.712
89,3308.000
90,3270.766
91,3302.578
92,3282.881
93,3249.153
94,3303.243
95,3352.942
96,3364.617
97,3324.337
98,3326.031
99,3275.656
100,3312.543
101,3339.302
102,3307.372
103,3280.983
104,3280.401
105,3285.975
106,3251.592
107,3267.688
108,3265.890
109,3298.773
110,3315.670
111,3307.119
112,3348.277
113,3307.958
