X	Y
214.000	353.000
213.499	353.858
212.997	354.716
212.496	355.575
211.996	356.433
211.496	357.292
210.996	358.152
210.498	359.011
210.000	359.872
209.504	360.733
209.008	361.594
208.514	362.457
208.022	363.320
207.531	364.184
207.042	365.050
206.555	365.916
206.070	366.784
205.588	367.652
205.108	368.523
204.630	369.395
204.156	370.268
203.685	371.143
203.217	372.020
202.752	372.898
202.292	373.779
201.835	374.662
201.382	375.547
200.934	376.434
200.491	377.323
200.053	378.216
199.620	379.110
199.193	380.008
198.773	380.908
198.358	381.812
197.951	382.718
197.550	383.627
197.156	384.540
196.768	385.455
196.387	386.373
196.013	387.294
195.646	388.217
195.285	389.143
194.930	390.072
194.582	391.003
194.240	391.936
193.904	392.871
193.574	393.809
193.250	394.748
192.931	395.690
192.618	396.633
192.311	397.578
192.008	398.525
191.710	399.473
191.418	400.423
191.129	401.374
190.845	402.326
190.564	403.280
190.287	404.234
190.014	405.190
189.744	406.146
189.477	407.104
189.213	408.062
188.953	409.021
188.694	409.981
188.439	410.941
188.185	411.902
187.934	412.864
187.685	413.826
187.437	414.789
187.192	415.752
186.947	416.715
186.704	417.679
186.462	418.643
186.221	419.607
185.980	420.571
185.740	421.536
185.500	422.500
