 ,Value
1,3479.488
2,3501.102
3,3476.623
4,3521.663
5,3518.966
6,3504.574
7,3520.565
8,3511.583
9,3537.142
10,3559.279
11,3553.902
12,3495.809
13,3441.565
14,3473.574
15,3487.671
16,3511.219
17,3478.507
18,3471.408
19,3497.150
20,3484.218
21,3505.072
22,3549.223
23,3492.166
24,3495.500
25,3530.062
26,3509.825
27,3540.045
28,3581.968
29,3533.892
30,3507.086
31,3498.204
32,3502.625
33,3489.432
34,3465.901
35,3493.784
36,3460.557
37,3520.902
38,3572.464
39,3570.519
40,3572.307
41,3525.476
42,3493.593
43,3504.833
44,3508.591
45,3512.117
46,3518.919
47,3485.151
48,3471.978
49,3478.279
50,3495.132
51,3502.350
52,3498.690
53,3487.550
54,3496.942
55,3551.186
56,3539.637
57,3562.491
58,3548.501
59,3572.594
60,3536.108
61,3494.673
62,3513.223
63,3566.144
64,3515.438
65,3544.150
66,3558.890
67,3599.859
68,3606.982
69,3536.896
70,3578.781
