 ,Value
1,3379.057
2,3365.730
3,3393.388
4,3402.667
5,3396.609
6,3412.845
7,3374.682
8,3332.108
9,3360.674
10,3373.283
11,3409.341
12,3399.221
13,3360.868
14,3371.245
15,3327.520
16,3307.813
17,3359.975
18,3344.931
19,3370.486
20,3381.213
21,3392.918
22,3374.205
23,3339.331
24,3388.061
25,3387.978
26,3380.750
27,3377.288
28,3377.361
29,3412.742
30,3396.675
31,3349.942
32,3324.368
33,3366.434
34,3365.565
35,3446.059
36,3390.338
37,3397.821
38,3379.928
39,3395.396
40,3426.058
41,3394.950
42,3412.389
43,3374.797
44,3366.329
45,3354.725
46,3392.362
47,3357.578
48,3390.026
49,3422.189
50,3396.261
51,3382.039
52,3349.846
53,3359.960
54,3452.253
55,3419.527
56,3374.191
57,3420.146
58,3409.871
59,3422.746
60,3439.384
61,3404.299
62,3405.057
63,3441.530
64,3446.853
65,3434.431
66,3427.036
67,3380.701
68,3385.763
69,3414.745
70,3447.569
71,3409.476
72,3387.130
73,3391.643
74,3414.509
75,3405.465
76,3386.898
77,3435.870
78,3396.280
79,3373.530
80,3362.882
81,3371.714
82,3396.435
83,3385.291
84,3337.548
