X	Y
264.000	335.000
264.346	335.937
264.692	336.875
265.041	337.811
265.392	338.746
265.748	339.680
266.109	340.611
266.476	341.540
266.851	342.467
267.233	343.390
267.625	344.309
268.028	345.223
268.442	346.132
268.870	347.035
269.311	347.932
269.767	348.821
270.239	349.701
270.728	350.572
271.236	351.433
271.763	352.281
272.310	353.117
272.879	353.939
273.469	354.745
274.083	355.533
274.719	356.303
275.379	357.053
276.063	357.782
276.771	358.487
277.502	359.167
278.257	359.822
279.033	360.451
279.828	361.055
280.643	361.634
281.474	362.189
282.320	362.719
283.181	363.226
284.055	363.711
284.941	364.173
285.837	364.614
286.744	365.033
287.660	365.431
288.585	365.810
289.517	366.169
290.457	366.509
291.402	366.832
292.354	367.135
293.311	367.421
294.274	367.690
295.240	367.943
296.211	368.179
297.186	368.398
298.164	368.602
299.145	368.791
300.129	368.964
301.115	369.122
302.104	369.266
303.095	369.395
304.087	369.510
305.081	369.610
306.077	369.697
307.073	369.770
308.071	369.828
309.069	369.873
310.067	369.904
311.066	369.922
312.065	369.925
313.064	369.915
314.063	369.891
315.062	369.854
316.059	369.803
317.056	369.738
318.052	369.660
319.047	369.568
320.041	369.463
321.033	369.344
322.023	369.211
323.011	369.065
323.998	368.905
324.981	368.731
325.963	368.544
326.942	368.343
327.917	368.128
328.890	367.900
329.859	367.657
330.825	367.401
331.787	367.131
332.745	366.847
333.698	366.549
334.647	366.237
335.592	365.911
336.531	365.570
337.465	365.215
338.393	364.846
339.316	364.463
340.232	364.065
341.142	363.652
342.046	363.225
342.941	362.783
343.830	362.327
344.712	361.857
345.587	361.375
346.455	360.880
347.316	360.373
348.171	359.856
349.019	359.328
349.861	358.790
350.697	358.243
351.527	357.687
352.353	357.124
353.173	356.554
353.989	355.978
354.801	355.395
355.609	354.808
356.414	354.215
357.215	353.619
358.014	353.019
358.811	352.416
359.606	351.812
360.401	351.205
361.194	350.598
361.987	349.991
362.780	349.383
363.574	348.777
364.370	348.172
365.167	347.569
365.965	346.969
366.767	346.373
367.572	345.781
368.380	345.193
369.191	344.611
370.006	344.032
370.824	343.458
371.645	342.889
372.468	342.323
373.294	341.761
374.123	341.203
374.954	340.649
375.788	340.098
376.623	339.550
377.461	339.005
378.300	338.463
379.141	337.924
379.984	337.387
380.828	336.852
381.673	336.319
382.519	335.789
383.367	335.259
384.215	334.732
385.064	334.205
385.914	333.680
386.765	333.155
387.615	332.632
388.466	332.108
389.318	331.585
390.169	331.062
391.020	330.539
391.871	330.015
392.722	329.491
393.572	328.966
394.420	328.439
395.267	327.908
396.111	327.374
396.952	326.834
397.788	326.288
398.620	325.734
399.446	325.172
400.264	324.599
401.075	324.015
401.876	323.418
402.666	322.807
403.443	322.178
404.204	321.531
404.946	320.862
405.666	320.169
406.360	319.451
407.021	318.701
407.642	317.919
408.216	317.101
408.730	316.245
409.171	315.349
409.526	314.416
409.781	313.450
409.936	312.464
409.994	311.467
409.966	310.468
409.862	309.475
409.693	308.490
409.469	307.517
409.199	306.555
408.892	305.604
408.553	304.664
408.190	303.733
407.807	302.811
407.410	301.894
407.001	300.982
406.586	300.074
406.167	299.167
