 ,Value
1,3307.768
2,3308.102
3,3279.176
4,3281.194
5,3272.174
6,3336.389
7,3338.509
8,3336.934
9,3327.185
10,3355.017
11,3347.980
12,3330.503
13,3345.342
14,3322.861
15,3323.671
16,3297.749
17,3307.531
18,3375.276
19,3383.104
20,3368.819
21,3366.395
22,3387.227
23,3344.264
24,3309.513
25,3311.610
26,3296.772
27,3281.640
28,3337.311
29,3323.199
30,3291.772
31,3312.528
32,3326.333
33,3308.145
34,3347.118
35,3374.902
36,3344.419
37,3345.089
38,3372.215
39,3363.807
40,3331.638
41,3326.090
42,3284.630
43,3288.927
44,3312.291
45,3346.354
46,3322.370
47,3299.611
48,3300.965
49,3299.233
50,3296.012
51,3269.481
52,3285.093
53,3321.020
54,3333.080
55,3335.871
56,3317.115
57,3302.369
58,3341.093
59,3339.742
60,3310.391
61,3308.220
62,3258.647
63,3321.063
64,3301.661
65,3310.150
66,3301.170
67,3312.447
68,3323.427
69,3311.235
70,3289.035
71,3378.953
72,3377.833
73,3393.488
74,3370.194
75,3368.665
76,3353.799
77,3317.842
78,3328.453
79,3337.047
80,3283.487
81,3289.455
82,3289.750
83,3277.929
84,3260.012
85,3273.326
86,3258.174
87,3268.671
88,3259.419
89,3287.373
90,3275.525
91,3307.248
92,3316.217
93,3307.505
94,3295.024
95,3297.804
96,3336.064
97,3303.497
98,3311.488
99,3284.953
100,3286.778
101,3301.088
102,3314.449
103,3346.455
104,3385.171
105,3361.856
106,3366.148
107,3352.431
108,3332.027
109,3374.339
110,3375.204
111,3387.885
112,3366.334
113,3322.948
114,3314.599
115,3300.056
116,3339.954
117,3312.852
118,3285.670
119,3329.790
120,3298.786
121,3327.053
122,3326.542
123,3270.518
124,3286.503
125,3305.043
126,3331.760
127,3317.034
