 ,Value
1,3261.298
2,3302.487
3,3279.457
4,3337.432
5,3267.757
6,3289.127
7,3271.782
8,3256.971
9,3248.429
10,3304.929
11,3263.348
12,3252.408
13,3284.863
14,3271.314
15,3248.330
16,3247.478
17,3301.338
18,3294.939
19,3289.439
20,3284.554
21,3249.311
22,3236.523
23,3239.831
24,3241.374
25,3240.440
26,3235.959
27,3275.179
28,3274.482
29,3298.228
30,3271.337
31,3271.980
32,3276.446
33,3306.377
34,3289.066
35,3253.814
36,3260.425
37,3272.526
38,3275.511
39,3283.688
40,3331.421
41,3269.608
42,3261.922
43,3284.477
44,3301.578
45,3277.121
46,3266.980
47,3270.839
48,3290.474
49,3303.598
50,3257.306
51,3280.878
52,3303.417
