X	Y
174.000	449.000
174.512	449.862
175.024	450.724
175.535	451.586
176.046	452.448
176.557	453.310
177.066	454.173
177.575	455.037
178.083	455.901
178.590	456.766
179.096	457.631
179.600	458.497
180.103	459.364
180.604	460.232
181.103	461.102
181.600	461.972
182.095	462.844
182.588	463.716
183.078	464.591
183.565	465.467
184.050	466.344
184.532	467.223
185.010	468.104
185.485	468.986
185.957	469.870
186.425	470.757
186.889	471.645
187.349	472.536
187.805	473.428
188.256	474.323
188.703	475.220
189.145	476.120
189.581	477.022
190.013	477.927
190.438	478.835
190.858	479.745
191.272	480.658
191.680	481.573
192.081	482.492
192.475	483.413
192.861	484.338
193.240	485.266
193.611	486.197
193.973	487.132
194.326	488.070
194.670	489.012
195.004	489.957
195.328	490.905
195.642	491.857
195.945	492.812
196.237	493.771
196.518	494.733
196.787	495.699
197.044	496.667
197.289	497.639
197.522	498.614
197.742	499.592
197.950	500.572
198.145	501.556
198.327	502.541
198.496	503.529
198.652	504.519
198.794	505.512
198.923	506.505
199.040	507.501
199.143	508.498
199.233	509.496
199.310	510.496
199.374	511.496
199.425	512.497
199.463	513.498
199.489	514.500
199.503	515.503
199.504	516.505
199.494	517.507
199.473	518.509
199.441	519.511
199.398	520.512
199.346	521.513
199.283	522.514
199.212	523.513
199.131	524.512
199.041	525.511
198.943	526.508
198.836	527.505
198.721	528.500
198.598	529.495
198.467	530.489
198.328	531.482
198.182	532.473
198.029	533.464
197.868	534.453
197.699	535.441
197.524	536.428
197.342	537.413
197.153	538.398
196.957	539.381
196.754	540.362
196.544	541.342
196.328	542.321
196.104	543.298
195.875	544.274
195.638	545.248
195.395	546.220
195.145	547.191
194.889	548.160
194.626	549.127
194.356	550.092
194.079	551.055
193.795	552.017
193.505	552.976
193.207	553.933
192.903	554.888
192.591	555.841
192.272	556.791
191.945	557.738
191.611	558.683
191.268	559.625
190.918	560.564
190.560	561.501
190.193	562.433
189.818	563.363
189.433	564.288
189.041	565.211
188.642	566.130
188.235	567.046
187.822	567.959
187.402	568.870
186.978	569.777
186.548	570.683
186.114	571.587
185.677	572.489
185.238	573.389
184.796	574.289
184.354	575.189
183.912	576.088
183.471	576.988
183.032	577.889
182.597	578.792
182.165	579.697
181.740	580.605
181.322	581.516
180.912	582.430
180.513	583.350
180.125	584.274
179.750	585.203
179.391	586.139
179.047	587.081
178.723	588.029
178.418	588.984
178.135	589.945
177.876	590.913
177.638	591.887
177.424	592.866
177.229	593.849
177.054	594.836
176.899	595.826
176.761	596.819
176.640	597.814
176.535	598.811
176.446	599.809
176.369	600.809
176.306	601.809
176.254	602.810
176.212	603.811
176.181	604.813
176.158	605.815
176.142	606.817
176.134	607.820
176.130	608.822
176.132	609.824
176.137	610.827
176.146	611.829
176.156	612.831
176.167	613.833
