 ,Value
1,4459.448
2,4450.259
3,4531.145
4,4346.912
5,4421.061
6,4293.764
7,4332.536
8,4386.397
9,4386.165
10,4266.187
11,4315.308
12,4290.554
13,4302.385
14,4321.356
15,4334.614
16,4367.117
17,4273.909
18,4260.408
19,4255.047
20,4247.910
21,4234.896
22,4193.124
23,4059.068
24,4173.627
25,4191.166
26,4107.273
27,4124.128
28,4265.705
29,4348.379
30,4191.830
31,4225.493
32,4321.402
33,4260.461
34,4370.751
35,4354.292
36,4262.747
37,4323.852
38,4422.799
39,4542.649
40,4438.625
41,4372.061
42,4322.701
43,4397.884
44,4436.760
45,4480.870
46,4269.412
47,4353.215
48,4264.085
49,4328.590
50,4328.859
51,4430.751
52,4207.368
53,4247.183
54,4309.173
55,4325.408
56,4231.938
57,4234.662
58,4325.596
59,4388.787
60,4284.870
61,4306.487
62,4380.350
63,4290.924
64,4320.183
65,4297.063
66,4192.444
67,4278.337
68,4232.885
69,4280.705
70,4209.878
71,4362.184
72,4369.899
73,4242.430
74,4267.792
75,4323.360
76,4275.787
77,4277.391
78,4351.555
79,4149.735
80,4190.486
81,4328.092
82,4222.564
83,4115.687
84,4142.670
85,4269.061
86,4331.761
87,4276.630
88,4234.463
89,4304.372
90,4389.009
91,4421.773
92,4350.854
93,4322.519
94,4317.548
95,4408.180
96,4460.956
97,4463.110
98,4418.239
99,4356.048
100,4380.996
101,4273.901
102,4204.200
103,4208.326
104,4152.748
105,4243.389
106,4273.999
107,4282.206
108,4300.245
109,4244.034
110,4354.716
111,4281.707
112,4238.553
113,4174.353
114,4235.890
115,4203.341
116,4195.851
117,4261.976
118,4437.051
119,4294.757
120,4363.170
121,4506.644
122,4417.036
123,4367.492
124,4358.912
125,4397.818
126,4442.255
127,4512.127
128,4430.050
129,4407.979
130,4409.670
131,4427.805
132,4368.782
133,4316.680
134,4303.453
135,4446.847
136,4325.807
137,4348.644
