 ,Value
1,4102.950
2,4086.804
3,4149.614
4,4128.676
5,4069.910
6,4063.017
7,4095.455
8,4173.334
9,4186.952
10,4194.760
11,4258.226
12,4264.937
13,4286.491
14,4276.774
15,4153.842
16,4282.269
17,4310.162
18,4336.279
19,4259.067
20,4229.513
21,4135.266
22,4094.186
23,4073.903
24,4027.218
25,4145.492
26,3958.081
27,4087.444
28,4171.933
29,4177.591
30,4109.415
31,4184.461
32,4203.220
33,4161.831
34,4186.505
35,4125.379
36,4181.706
37,4227.350
38,4288.844
39,4236.763
40,4066.716
41,4317.237
42,4271.755
43,4223.929
44,4198.997
45,4219.500
46,4186.203
47,4173.525
48,4064.836
49,4219.859
50,4002.191
51,4162.335
52,4088.286
