 ,Value
1,3488.836
2,3471.662
3,3519.879
4,3509.957
5,3468.109
6,3497.305
7,3509.348
8,3462.104
9,3498.541
10,3529.844
11,3504.228
12,3507.206
13,3506.856
14,3470.530
15,3430.646
16,3434.300
17,3428.829
18,3504.032
19,3496.507
20,3462.438
21,3486.894
22,3484.530
23,3505.617
24,3529.400
25,3469.508
26,3536.411
27,3474.199
28,3520.183
29,3532.548
30,3517.760
31,3514.391
32,3551.203
33,3509.383
34,3530.979
35,3506.781
36,3567.484
37,3527.311
38,3514.845
39,3477.377
40,3493.052
41,3503.208
42,3565.198
43,3490.304
44,3442.102
45,3474.499
46,3503.109
47,3485.867
48,3447.804
49,3459.702
50,3440.273
51,3487.965
52,3491.355
53,3490.612
54,3517.009
55,3474.491
56,3521.856
57,3445.483
58,3480.745
59,3519.154
60,3553.054
61,3530.570
62,3500.940
63,3480.002
64,3489.356
65,3396.342
66,3467.679
67,3473.293
68,3405.613
69,3451.920
70,3425.710
71,3486.964
72,3458.291
73,3527.642
74,3509.078
75,3517.971
76,3574.360
77,3508.355
78,3491.550
79,3493.458
80,3476.569
81,3487.941
82,3465.327
83,3473.875
84,3481.328
85,3514.845
86,3477.211
87,3472.086
88,3433.338
89,3476.837
90,3487.826
91,3411.415
92,3526.520
93,3485.050
94,3415.204
95,3428.110
96,3488.189
97,3488.760
98,3455.316
99,3440.525
100,3430.662
101,3481.903
102,3523.084
103,3562.449
104,3515.926
105,3471.327
106,3578.369
107,3544.889
108,3439.766
