X	Y
208.000	353.000
207.726	353.964
207.453	354.928
207.179	355.892
206.906	356.856
206.633	357.820
206.359	358.785
206.087	359.749
205.814	360.713
205.542	361.678
205.270	362.642
204.998	363.607
204.727	364.572
204.456	365.537
204.186	366.502
203.917	367.467
203.648	368.432
203.379	369.398
203.111	370.363
202.844	371.329
202.578	372.295
202.312	373.262
202.047	374.228
201.783	375.195
201.520	376.162
201.257	377.129
200.996	378.096
200.736	379.064
200.476	380.032
200.218	381.000
199.960	381.969
199.704	382.938
199.449	383.907
199.195	384.876
198.942	385.846
198.690	386.816
198.440	387.786
198.191	388.757
197.943	389.728
197.696	390.699
197.451	391.671
197.208	392.643
196.965	393.615
196.724	394.588
196.485	395.561
196.247	396.535
196.011	397.508
195.776	398.483
195.542	399.457
195.310	400.432
195.080	401.407
194.850	402.383
194.623	403.359
194.397	404.335
194.172	405.312
193.948	406.289
193.727	407.266
193.506	408.244
193.287	409.221
193.070	410.200
192.853	411.178
192.639	412.157
192.426	413.136
192.214	414.116
192.004	415.096
191.795	416.076
191.588	417.056
191.382	418.037
191.178	419.018
190.976	420.000
190.775	420.982
190.576	421.964
190.378	422.946
190.182	423.929
189.988	424.912
189.795	425.896
189.604	426.879
189.415	427.863
189.228	428.848
189.042	429.833
188.859	430.818
188.677	431.803
188.498	432.789
188.320	433.776
188.144	434.762
187.971	435.749
187.800	436.737
187.631	437.724
187.464	438.713
187.300	439.701
187.138	440.690
186.979	441.680
186.822	442.669
186.668	443.660
186.515	444.650
186.365	445.641
186.217	446.632
186.072	447.624
185.928	448.615
185.787	449.607
185.647	450.600
185.510	451.593
185.375	452.585
185.241	453.579
185.109	454.572
184.979	455.566
184.850	456.559
184.722	457.553
184.596	458.548
184.471	459.542
184.347	460.536
184.225	461.531
184.103	462.526
183.981	463.520
183.860	464.515
183.740	465.510
183.620	466.505
183.500	467.500
