 ,Value
1,4492.685
2,4459.814
3,4535.462
4,4600.213
5,4395.109
6,4514.917
7,4453.806
8,4524.742
9,4500.875
10,4454.650
11,4533.145
12,4458.997
13,4523.038
14,4435.778
15,4309.530
16,4400.594
17,4434.602
18,4379.947
19,4490.109
20,4458.824
21,4440.698
22,4601.279
23,4395.112
24,4554.869
25,4437.318
26,4417.653
27,4434.177
28,4508.301
29,4478.109
30,4466.754
31,4440.403
32,4343.315
33,4582.179
34,4580.251
35,4531.928
36,4547.118
37,4608.931
38,4524.174
39,4559.295
40,4521.698
41,4779.485
42,4699.399
43,4697.059
44,4598.289
45,4564.991
46,4571.122
47,4717.485
48,4607.785
49,4582.413
50,4490.272
51,4533.031
52,4502.048
53,4521.822
54,4528.291
55,4546.278
56,4402.159
57,4385.902
58,4374.628
59,4595.512
60,4571.702
61,4484.480
62,4463.058
63,4528.385
64,4555.698
65,4450.588
66,4512.036
67,4515.611
68,4495.654
69,4508.174
70,4465.004
71,4489.675
72,4435.484
73,4453.560
74,4476.573
75,4650.282
76,4665.746
77,4569.267
78,4505.159
79,4588.728
80,4447.530
81,4530.741
82,4501.981
83,4482.951
84,4572.338
85,4522.666
86,4482.500
87,4452.378
88,4403.107
89,4331.282
90,4315.522
91,4259.664
92,4260.332
93,4247.631
94,4295.393
95,4363.346
96,4350.223
97,4264.276
98,4307.994
99,4355.524
100,4257.948
101,4442.870
102,4269.112
103,4164.276
104,4180.655
105,4177.387
106,4172.677
107,4241.438
108,4331.682
109,4307.299
110,4221.302
111,4323.127
112,4181.765
113,4187.564
114,4342.305
115,4205.709
116,4281.398
117,4281.604
118,4245.717
119,4249.799
120,4166.376
121,4275.172
122,4268.283
123,4303.084
124,4272.255
125,4309.299
126,4348.022
127,4352.048
128,4498.160
129,4498.275
130,4473.525
131,4387.053
132,4416.147
133,4413.536
134,4386.707
135,4354.266
136,4381.319
137,4428.270
138,4299.893
139,4332.620
140,4318.494
141,4447.469
142,4634.730
143,4629.676
144,4424.654
145,4533.424
146,4581.449
147,4579.863
148,4546.648
149,4668.696
150,4513.614
151,4631.020
152,4701.575
153,4638.073
154,4611.371
155,4572.514
156,4482.538
157,4622.420
158,4727.166
159,4565.258
160,4684.422
161,4725.027
162,4492.130
163,4586.871
164,4678.927
165,4682.698
166,4673.332
167,4736.517
168,4567.700
169,4694.336
170,4553.559
171,4649.053
172,4538.326
173,4685.477
174,4753.302
175,4780.121
176,4692.731
177,4740.990
178,4787.714
179,4918.110
180,4745.111
181,4793.417
182,4859.495
183,4816.087
184,4710.444
185,4780.839
186,4878.637
187,4714.259
188,4738.121
189,4653.419
190,4767.061
191,4833.374
