X	Y
213.000	439.500
212.545	440.388
212.090	441.276
211.636	442.165
211.183	443.054
210.731	443.944
210.282	444.835
209.835	445.728
209.391	446.621
208.950	447.517
208.513	448.414
208.080	449.313
207.651	450.214
207.227	451.117
206.807	452.023
206.394	452.931
205.986	453.841
205.584	454.755
205.188	455.671
204.800	456.590
204.418	457.512
204.043	458.437
203.677	459.366
203.318	460.297
202.967	461.231
202.624	462.168
202.290	463.109
201.965	464.052
201.649	464.999
201.342	465.948
201.044	466.901
200.755	467.856
200.477	468.814
200.207	469.775
199.948	470.739
199.698	471.705
199.458	472.674
199.228	473.645
199.007	474.618
198.795	475.593
198.592	476.570
198.396	477.549
198.209	478.529
198.028	479.510
197.854	480.493
197.687	481.477
197.526	482.462
197.371	483.448
197.222	484.434
197.078	485.422
196.939	486.410
196.806	487.399
196.677	488.389
196.552	489.379
196.432	490.369
196.315	491.361
196.203	492.352
196.094	493.344
195.988	494.337
195.886	495.329
195.787	496.322
195.690	497.316
195.597	498.309
195.505	499.303
195.417	500.297
195.330	501.291
195.245	502.285
195.162	503.280
195.080	504.274
195.000	505.269
194.921	506.264
194.843	507.259
194.766	508.254
194.689	509.249
194.613	510.244
194.537	511.239
194.460	512.234
194.384	513.229
194.306	514.224
194.228	515.219
194.148	516.214
194.066	517.208
193.983	518.203
193.897	519.197
193.808	520.191
193.718	521.185
193.625	522.178
193.531	523.172
193.435	524.165
193.337	525.158
193.238	526.151
193.139	527.144
193.038	528.137
192.938	529.130
192.838	530.123
192.739	531.116
192.641	532.109
192.544	533.103
192.451	534.096
192.361	535.090
192.275	536.084
192.195	537.079
192.120	538.074
192.054	539.070
191.997	540.066
191.950	541.063
191.913	542.060
191.887	543.058
191.870	544.056
191.863	545.054
191.865	546.052
191.875	547.049
191.891	548.047
191.913	549.045
191.940	550.043
191.970	551.040
192.001	552.038
192.034	553.035
192.067	554.032
192.101	555.030
192.136	556.027
192.171	557.024
192.206	558.022
192.242	559.019
192.279	560.016
192.315	561.014
192.352	562.011
192.389	563.008
192.426	564.005
192.463	565.003
192.500	566.000
