 ,Value
1,3526.920
2,3544.881
3,3488.411
4,3519.324
5,3484.552
6,3567.458
7,3583.880
8,3508.454
9,3468.572
10,3530.075
11,3507.431
12,3549.879
13,3558.029
14,3539.892
15,3499.627
16,3507.978
17,3519.822
18,3538.373
19,3619.193
20,3608.541
21,3624.881
22,3496.753
23,3587.731
24,3557.986
25,3601.489
26,3583.585
27,3583.461
28,3552.831
29,3569.985
30,3596.156
31,3576.264
32,3534.120
33,3540.599
34,3657.211
35,3615.045
36,3584.819
37,3634.140
38,3639.582
39,3611.898
40,3604.525
41,3558.253
42,3525.409
43,3623.890
44,3573.895
45,3537.841
46,3608.313
47,3637.868
48,3631.467
49,3616.606
50,3537.506
51,3571.452
52,3570.848
53,3637.413
54,3626.332
55,3632.931
56,3573.741
57,3684.471
58,3683.382
59,3626.936
60,3681.054
61,3661.382
62,3619.645
63,3584.192
64,3642.210
65,3566.212
66,3618.620
67,3658.265
68,3633.650
69,3583.320
70,3557.531
71,3517.273
72,3608.426
73,3609.962
74,3543.260
75,3551.358
76,3547.266
77,3610.975
78,3656.078
79,3602.466
80,3648.713
81,3669.309
82,3638.423
83,3606.908
84,3581.576
85,3594.823
86,3632.129
87,3614.997
88,3529.328
89,3569.463
90,3570.008
91,3717.169
92,3651.794
93,3589.298
94,3596.619
95,3667.364
96,3580.212
97,3608.202
98,3662.363
99,3588.581
100,3609.897
101,3542.744
102,3573.457
103,3603.360
104,3633.944
105,3674.951
106,3690.342
107,3782.545
108,3724.127
109,3539.158
110,3540.595
111,3532.226
112,3431.744
113,3444.367
114,3420.186
115,3421.998
116,3446.517
117,3478.991
118,3422.235
119,3474.291
120,3512.577
121,3481.124
122,3454.424
123,3454.090
124,3420.777
125,3481.856
126,3509.827
127,3522.634
128,3496.479
129,3522.444
130,3514.784
131,3480.032
132,3440.734
133,3453.589
134,3482.239
135,3585.590
136,3545.585
137,3491.332
138,3561.196
139,3589.313
140,3522.405
141,3545.464
142,3566.134
143,3576.729
144,3562.905
145,3579.010
146,3597.594
147,3511.541
148,3532.272
149,3602.003
150,3557.308
151,3541.862
152,3528.595
153,3540.118
154,3494.048
