 ,Value
1,3353.625
2,3364.503
3,3298.454
4,3262.986
5,3284.687
6,3310.837
7,3340.396
8,3309.640
9,3274.121
10,3276.716
11,3331.722
12,3401.995
13,3371.947
14,3392.975
15,3347.869
16,3301.657
17,3341.584
18,3371.650
19,3316.118
20,3299.338
21,3328.833
22,3306.655
23,3316.558
24,3346.818
25,3312.590
26,3354.038
27,3327.569
28,3350.178
29,3369.827
30,3313.178
31,3276.062
32,3300.987
33,3334.843
34,3301.988
35,3322.432
36,3304.982
37,3297.702
38,3384.310
39,3392.179
40,3342.910
41,3332.121
42,3357.709
43,3315.544
44,3379.860
45,3343.112
46,3341.043
47,3335.879
48,3307.578
49,3355.220
50,3395.900
51,3377.778
52,3330.239
53,3320.827
54,3395.495
55,3360.113
56,3365.552
57,3294.919
58,3302.576
