 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3632.654	3478.214	3793.469	3629.467	1.138	1.140	1.139
2	3705.743	3631.807	3852.102	3679.373	1.154	1.156	1.162
3	3747.241	3546.817	3971.510	3712.437	1.164	1.166	1.175
4	3875.800	3637.400	4350.885	3790.838	1.189	1.191	1.216
5	4254.015	3748.973	5009.935	4263.957	1.337	1.339	1.334
6	4351.575	3860.486	5539.779	4323.942	1.356	1.358	1.365
7	4302.389	3768.230	5666.598	4179.842	1.311	1.313	1.350
8	4028.261	3584.854	4655.646	3960.232	1.242	1.244	1.264
9	3987.485	3869.864	4282.111	3925.131	1.231	1.233	1.251
10	3992.272	3700.760	4261.973	3996.843	1.254	1.255	1.252
11	3927.665	3808.819	4105.396	3926.042	1.231	1.233	1.232
12	3979.013	3833.292	4118.846	3986.845	1.251	1.252	1.248
13	4154.415	3828.207	4467.713	4181.355	1.312	1.313	1.303
14	4220.079	3869.514	4707.267	4190.297	1.314	1.316	1.324
15	4095.247	3556.632	4889.860	4083.153	1.281	1.283	1.285
16	4084.820	3456.739	4714.730	4040.443	1.267	1.269	1.281
17	4098.127	3534.366	4871.332	3948.653	1.239	1.240	1.285
18	4281.932	3653.781	5317.208	4171.603	1.308	1.310	1.343
19	4232.764	3729.642	5429.940	3983.102	1.249	1.251	1.328
20	4164.464	3740.758	5017.276	3951.092	1.239	1.241	1.306
21	4046.886	3728.021	4584.781	3965.270	1.244	1.246	1.269
22	3906.281	3650.780	4311.049	3828.263	1.201	1.203	1.225
23	3898.351	3637.096	4230.472	3888.923	1.220	1.222	1.223
24	3931.095	3613.555	4251.971	3873.703	1.215	1.217	1.233
25	3988.091	3452.780	4567.263	4008.422	1.257	1.259	1.251
26	4091.379	3578.698	4681.343	4087.615	1.282	1.284	1.283
27	4156.666	3625.517	4794.604	4157.069	1.304	1.306	1.304
28	4028.627	3753.829	4369.054	4081.815	1.280	1.282	1.264
29	3953.381	3722.073	4158.612	3930.656	1.233	1.235	1.240
30	3992.736	3677.732	4380.484	4044.050	1.268	1.270	1.252
31	4171.611	3609.794	4715.582	4187.546	1.313	1.315	1.308
32	4331.723	3807.119	4899.918	4229.455	1.327	1.329	1.359
33	4268.510	4002.531	4650.412	4275.595	1.341	1.343	1.339
34	4136.271	3838.895	4613.458	4021.891	1.262	1.263	1.297
35	4073.372	3743.204	4352.697	4059.528	1.273	1.275	1.278
