 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3458.661	3317.798	3564.974	3486.438	1.043	1.043	1.035
2	3455.621	3287.445	3635.837	3458.729	1.035	1.035	1.034
3	3488.899	3271.908	3612.579	3494.004	1.045	1.045	1.044
4	3516.577	3266.185	3627.392	3518.110	1.052	1.052	1.052
5	3543.221	3427.434	3795.927	3503.310	1.048	1.048	1.060
6	3491.861	3372.374	3613.725	3512.865	1.051	1.051	1.045
7	3531.998	3301.629	3674.973	3570.550	1.068	1.068	1.057
8	3509.289	3347.507	3713.083	3520.439	1.053	1.053	1.050
9	3512.293	3404.662	3810.340	3439.023	1.029	1.029	1.051
10	3527.863	3390.763	3695.724	3495.830	1.046	1.046	1.055
11	3544.719	3438.198	3635.092	3544.490	1.060	1.060	1.060
12	3566.415	3487.533	3662.377	3547.435	1.061	1.061	1.067
13	3608.802	3433.894	3750.002	3614.169	1.081	1.081	1.080
14	3724.447	3476.486	4128.035	3663.030	1.096	1.096	1.114
15	3674.271	3509.027	3952.983	3721.287	1.113	1.113	1.099
16	3668.045	3289.725	3858.334	3729.340	1.116	1.116	1.097
17	3700.351	3397.791	3928.009	3724.591	1.114	1.114	1.107
18	3673.587	3382.204	3888.321	3673.347	1.099	1.099	1.099
19	3656.088	3367.579	4063.036	3620.161	1.083	1.083	1.094
20	3629.290	3293.208	4034.501	3603.921	1.078	1.078	1.086
21	3614.933	3392.813	3897.611	3629.016	1.086	1.086	1.081
22	3596.241	3399.351	3753.344	3567.785	1.067	1.067	1.076
23	3540.102	3351.912	3672.390	3543.197	1.060	1.060	1.059
24	3563.770	3343.694	3954.300	3548.365	1.061	1.061	1.066
25	3602.233	3450.688	3831.328	3608.238	1.079	1.079	1.078
26	3652.579	3467.632	3862.761	3668.889	1.097	1.097	1.093
27	3713.953	3475.235	4088.921	3633.928	1.087	1.087	1.111
28	3700.354	3403.244	4034.563	3665.938	1.097	1.097	1.107
29	3670.599	3475.020	3937.701	3654.022	1.093	1.093	1.098
30	3558.722	3425.693	3744.372	3545.931	1.061	1.061	1.065
31	3492.289	3232.997	3642.366	3507.093	1.049	1.049	1.045
32	3527.682	3395.645	3667.951	3538.337	1.058	1.058	1.055
33	3552.203	3455.230	3698.487	3566.607	1.067	1.067	1.063
34	3623.166	3462.714	3796.757	3635.051	1.087	1.087	1.084
35	3544.904	3482.139	3595.618	3561.157	1.065	1.065	1.060
36	3549.067	3319.109	3728.199	3565.904	1.067	1.067	1.062
37	3614.645	3425.160	3801.958	3627.957	1.085	1.085	1.081
38	3531.199	3329.739	3683.078	3557.175	1.064	1.064	1.056
39	3584.281	3355.895	3887.280	3537.355	1.058	1.058	1.072
