 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	4409.098	4047.856	4791.285	4477.783	1.413	1.413	1.391
2	4330.470	3855.729	4758.460	4312.241	1.360	1.360	1.366
3	4477.676	4100.349	5033.661	4441.733	1.401	1.401	1.413
4	4548.826	4257.984	5202.168	4435.426	1.399	1.399	1.435
5	4327.121	4087.130	4687.137	4272.985	1.348	1.348	1.365
6	4190.986	3995.201	4383.106	4197.464	1.324	1.324	1.322
7	4198.566	3950.366	4541.278	4196.855	1.324	1.324	1.324
8	4243.733	4051.207	4463.982	4255.071	1.342	1.342	1.339
9	4289.833	4134.925	4532.690	4280.542	1.350	1.350	1.353
10	4392.143	3663.727	5090.966	4382.307	1.382	1.382	1.386
11	4486.947	4011.429	6162.604	4311.637	1.360	1.360	1.415
12	4454.444	4057.549	5206.857	4372.388	1.379	1.379	1.405
13	4532.164	4246.287	4988.054	4514.301	1.424	1.424	1.430
14	4682.079	3918.406	5144.521	4838.633	1.526	1.526	1.477
15	4673.078	4132.575	5433.712	4654.548	1.468	1.468	1.474
16	4609.646	3963.189	5597.147	4569.771	1.442	1.442	1.454
17	4611.756	4094.219	5218.406	4701.482	1.483	1.483	1.455
18	4438.915	4152.533	4625.878	4504.258	1.421	1.421	1.400
19	4389.578	4097.002	5013.947	4281.726	1.351	1.351	1.385
20	4351.065	4059.316	4917.556	4204.114	1.326	1.326	1.373
21	4171.983	3923.745	4617.129	4094.400	1.292	1.292	1.316
22	4053.058	3856.338	4287.828	4083.897	1.288	1.288	1.279
23	3963.154	3791.755	4218.102	3949.666	1.246	1.246	1.250
24	4032.923	3851.412	4281.438	4029.693	1.271	1.271	1.272
25	3939.262	3681.506	4219.204	3973.066	1.253	1.253	1.243
26	4000.725	3656.651	4324.948	3981.065	1.256	1.256	1.262
27	4071.815	3770.179	4420.922	4027.686	1.271	1.271	1.284
28	4084.022	3850.048	4281.021	4098.360	1.293	1.293	1.288
29	4007.530	3758.639	4335.354	3995.539	1.260	1.260	1.264
30	3990.190	3873.327	4155.622	3981.651	1.256	1.256	1.259
31	3952.676	3809.599	4123.927	3952.996	1.247	1.247	1.247
32	4281.402	4025.545	4579.973	4279.545	1.350	1.350	1.351
33	4286.656	3936.892	4496.045	4344.370	1.370	1.370	1.352
34	4139.372	3953.384	4365.983	4167.451	1.315	1.315	1.306
35	4198.656	3944.113	4601.073	4114.331	1.298	1.298	1.324
36	4178.058	3920.867	4955.434	4096.371	1.292	1.292	1.318
37	4107.714	3661.146	4860.768	3979.236	1.255	1.255	1.296
38	4202.497	3749.100	4908.480	4086.388	1.289	1.289	1.326
39	4236.799	3659.401	5156.619	4227.033	1.333	1.333	1.337
40	4176.747	3881.165	4938.374	4100.092	1.293	1.293	1.318
41	4187.134	3998.386	4725.403	4103.133	1.294	1.294	1.321
42	4125.079	3875.656	4496.457	4087.795	1.290	1.290	1.301
43	4116.060	3851.842	4419.365	4121.979	1.300	1.300	1.298
44	4127.792	3834.138	4380.707	4138.186	1.305	1.305	1.302
45	4158.057	3984.345	4275.932	4181.024	1.319	1.319	1.312
46	4137.787	3747.359	4489.660	4111.414	1.297	1.297	1.305
47	4159.568	3890.752	4404.192	4155.053	1.311	1.311	1.312
48	4081.522	3945.221	4330.321	4070.489	1.284	1.284	1.288
49	3991.578	3810.565	4235.335	3970.820	1.253	1.253	1.259
50	4022.394	3859.161	4200.701	3998.151	1.261	1.261	1.269
51	3980.249	3695.451	4417.043	3960.459	1.249	1.249	1.256
52	3939.980	3781.758	4151.967	3910.109	1.233	1.233	1.243
53	3969.074	3787.400	4139.320	3976.309	1.254	1.254	1.252
54	4097.866	3938.871	4349.488	4044.660	1.276	1.276	1.293
55	4014.468	3872.528	4196.880	3987.105	1.258	1.258	1.266
56	4054.686	3763.492	4375.484	4034.100	1.273	1.273	1.279
57	3972.899	3722.168	4423.281	3921.372	1.237	1.237	1.253
58	4032.682	3694.627	4283.608	4065.650	1.283	1.283	1.272
59	4288.902	4060.250	4595.623	4304.396	1.358	1.358	1.353
60	4402.361	3967.038	4812.301	4334.453	1.367	1.367	1.389
61	4403.786	3987.566	4962.298	4283.872	1.351	1.351	1.389
62	4337.444	3746.432	4767.669	4325.635	1.365	1.365	1.368
63	4456.672	4068.240	4879.759	4469.763	1.410	1.410	1.406
64	4225.728	3830.520	4512.905	4251.670	1.341	1.341	1.333
65	4026.177	3820.485	4367.177	3995.990	1.261	1.261	1.270
66	4008.036	3805.201	4381.157	3946.644	1.245	1.245	1.264
67	4033.522	3692.228	4840.302	4018.665	1.268	1.268	1.272
68	4012.916	3727.178	4785.286	3836.968	1.210	1.210	1.266
69	3874.743	3634.874	4539.878	3754.229	1.184	1.184	1.222
70	3886.930	3492.490	4445.600	3843.420	1.212	1.212	1.226
