 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3657.012	3526.582	3737.555	3676.160	0.978	0.984	0.973
2	3689.391	3534.860	3838.177	3705.772	0.985	0.992	0.981
3	3773.376	3638.870	3873.854	3761.022	1.000	1.007	1.003
4	3727.077	3536.672	3905.473	3717.609	0.989	0.995	0.991
5	3858.625	3628.892	4066.416	3867.993	1.029	1.036	1.026
6	4095.672	3704.998	4370.621	4130.835	1.099	1.106	1.089
7	4127.101	3512.996	4753.733	4172.133	1.110	1.117	1.098
8	4178.343	3593.634	4804.539	4200.344	1.117	1.125	1.111
9	4164.780	3543.179	4778.080	4158.223	1.106	1.113	1.108
10	4035.941	3650.528	4428.246	4037.467	1.074	1.081	1.073
11	4190.383	3803.556	4532.671	4171.734	1.109	1.117	1.114
12	4349.418	3890.606	4849.580	4336.400	1.153	1.161	1.157
13	4395.646	3719.891	5159.671	4316.797	1.148	1.156	1.169
14	4248.044	3638.396	5129.034	4203.534	1.118	1.125	1.130
15	4101.040	3624.415	4711.613	4059.477	1.080	1.087	1.091
16	3998.316	3724.758	4345.025	3901.495	1.038	1.045	1.063
17	3792.109	3485.103	4086.238	3787.097	1.007	1.014	1.008
18	3838.777	3623.311	4119.649	3818.194	1.015	1.022	1.021
19	3864.875	3547.941	4175.305	3787.127	1.007	1.014	1.028
20	4143.573	3824.112	4939.390	3951.854	1.051	1.058	1.102
21	4433.118	3928.084	5380.496	4182.705	1.112	1.120	1.179
22	4763.116	4101.142	5715.289	4631.409	1.232	1.240	1.267
23	4851.303	4174.510	5744.708	4788.185	1.273	1.282	1.290
24	4589.166	3929.926	5297.477	4651.993	1.237	1.246	1.220
25	4609.169	4057.176	5279.578	4656.886	1.238	1.247	1.226
26	4336.681	3868.041	4923.143	4357.926	1.159	1.167	1.153
27	4172.670	3743.523	4735.675	4078.682	1.085	1.092	1.110
28	4051.528	3610.991	4539.281	3944.259	1.049	1.056	1.077
29	3822.291	3508.876	4138.882	3822.502	1.017	1.023	1.016
30	3881.254	3600.643	4132.102	3882.218	1.032	1.039	1.032
31	3984.255	3762.698	4365.642	3990.552	1.061	1.068	1.060
32	4122.412	3648.286	4744.928	4148.646	1.103	1.111	1.096
33	4369.134	3800.107	5459.590	4368.805	1.162	1.170	1.162
34	4391.728	3665.014	5666.025	4416.842	1.175	1.183	1.168
35	4449.377	3776.557	5345.531	4465.664	1.188	1.196	1.183
36	4551.297	3836.253	5028.325	4665.138	1.241	1.249	1.210
37	4566.227	3890.541	5501.080	4399.340	1.170	1.178	1.214
38	4972.128	3880.130	6729.131	4728.611	1.257	1.266	1.322
39	5524.837	3784.397	8619.555	5012.663	1.333	1.342	1.469
40	5706.658	4032.855	8853.156	4937.221	1.313	1.322	1.518
41	5245.853	3871.922	7471.998	4952.834	1.317	1.326	1.395
42	4489.567	3625.593	5526.844	4272.405	1.136	1.144	1.194
43	4331.045	3732.712	5456.256	4168.868	1.109	1.116	1.152
44	3998.081	3807.373	4343.543	3931.680	1.046	1.053	1.063
45	4007.958	3772.390	4441.400	3989.954	1.061	1.068	1.066
46	4181.725	3766.080	4684.294	4135.532	1.100	1.107	1.112
47	4605.298	3762.274	5815.412	4275.563	1.137	1.145	1.225
48	5228.018	3962.102	6884.893	4869.145	1.295	1.304	1.390
49	5418.572	3891.820	7359.950	5074.169	1.349	1.359	1.441
50	5290.784	3902.180	7254.965	4931.463	1.311	1.320	1.407
51	4841.732	3770.161	6062.316	4867.101	1.294	1.303	1.288
52	4338.075	3624.593	4984.841	4284.638	1.139	1.147	1.154
53	4038.501	3730.812	4372.246	4059.180	1.079	1.087	1.074
54	3862.831	3636.940	4190.991	3795.041	1.009	1.016	1.027
55	3809.798	3645.819	3958.773	3800.801	1.011	1.018	1.013
56	3859.218	3566.118	4169.552	3863.667	1.027	1.034	1.026
57	3935.629	3708.836	4458.480	3811.096	1.013	1.020	1.047
58	3988.091	3650.856	4507.041	3834.359	1.020	1.027	1.061
59	4199.150	3598.608	5023.562	4053.882	1.078	1.085	1.117
60	4268.962	3476.001	5292.585	4035.653	1.073	1.080	1.135
61	4313.159	3693.183	5307.368	4141.108	1.101	1.109	1.147
62	4103.040	3574.567	5052.760	3924.264	1.044	1.051	1.091
63	3885.732	3587.280	4291.401	3817.675	1.015	1.022	1.033
64	3839.443	3649.381	4184.446	3788.989	1.008	1.014	1.021
65	3797.468	3665.417	3997.059	3803.839	1.012	1.018	1.010
66	3794.186	3557.279	3948.008	3796.160	1.010	1.016	1.009
67	3812.735	3589.028	3969.092	3837.697	1.021	1.027	1.014
68	3988.270	3735.612	4256.303	3957.253	1.052	1.060	1.061
69	4195.431	3876.823	4497.536	4230.119	1.125	1.133	1.116
70	4356.454	3749.735	4977.770	4375.255	1.164	1.171	1.159
71	4602.807	3827.164	5610.207	4514.077	1.200	1.209	1.224
72	4759.057	3787.127	5839.692	4852.614	1.290	1.299	1.266
