 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	4396.282	3593.899	5037.581	4348.927	1.137	1.144	1.149
2	4505.110	3833.006	5476.185	4399.109	1.150	1.157	1.177
3	4290.400	3801.263	5386.119	4070.971	1.064	1.071	1.121
4	4204.283	3818.008	4559.438	4242.796	1.109	1.116	1.099
5	4283.334	3805.935	4572.412	4403.904	1.151	1.158	1.119
6	4381.010	3852.999	5158.638	4409.359	1.152	1.160	1.145
7	4386.993	3740.272	4949.819	4504.084	1.177	1.185	1.147
8	4231.286	3801.504	4625.966	4167.020	1.089	1.096	1.106
9	4129.736	3606.465	4615.800	4169.713	1.090	1.097	1.079
10	4095.913	3763.254	4637.651	4056.255	1.060	1.067	1.070
11	4099.493	3550.150	4608.644	4084.319	1.067	1.074	1.071
12	4091.627	3700.421	4400.532	4095.351	1.070	1.077	1.069
13	4070.999	3664.453	4439.250	4129.680	1.079	1.086	1.064
14	4185.725	3827.393	4547.418	4235.567	1.107	1.114	1.094
15	4151.025	3894.319	4408.809	4200.120	1.098	1.105	1.085
16	4216.803	3747.856	4610.037	4232.773	1.106	1.113	1.102
17	4310.171	3774.632	4749.306	4304.910	1.125	1.132	1.126
18	4097.700	3755.311	4448.575	4123.482	1.078	1.085	1.071
19	4200.361	3717.439	4567.212	4238.857	1.108	1.115	1.098
20	4206.753	3752.661	4753.005	4233.950	1.107	1.114	1.099
21	4107.997	3816.833	4519.618	4098.320	1.071	1.078	1.074
22	4237.017	3891.244	4366.988	4276.628	1.118	1.125	1.107
23	4253.112	3861.440	4556.784	4289.438	1.121	1.128	1.112
24	4353.248	3797.443	4860.511	4373.819	1.143	1.150	1.138
25	4260.745	3725.905	4630.188	4305.878	1.125	1.133	1.114
26	4304.363	3695.092	4793.393	4279.192	1.118	1.126	1.125
27	4192.847	3867.978	4487.284	4214.485	1.101	1.108	1.096
28	4282.137	3933.290	4609.690	4299.387	1.124	1.131	1.119
29	4282.983	3965.329	4639.689	4237.314	1.107	1.114	1.119
30	4320.580	3977.729	4613.087	4373.913	1.143	1.150	1.129
31	4301.924	3862.853	4708.596	4305.550	1.125	1.132	1.124
32	4290.563	3700.016	4730.724	4350.011	1.137	1.144	1.121
33	4314.702	3916.047	4688.354	4360.088	1.140	1.147	1.128
