 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3399.248	3312.920	3543.388	3382.017	0.965	0.969	0.970
2	3431.849	3304.315	3559.850	3416.313	0.975	0.979	0.980
3	3457.180	3347.768	3549.967	3464.424	0.989	0.993	0.987
4	3409.925	3322.389	3511.198	3400.177	0.971	0.975	0.973
5	3406.328	3346.678	3470.191	3393.777	0.969	0.973	0.972
6	3473.220	3298.975	3581.768	3473.122	0.991	0.995	0.991
7	3428.142	3318.097	3585.419	3424.291	0.977	0.981	0.979
8	3449.739	3285.990	3574.818	3431.643	0.980	0.984	0.985
9	3432.486	3313.171	3521.209	3445.398	0.983	0.988	0.980
10	3422.627	3342.039	3492.787	3431.571	0.980	0.984	0.977
11	3443.363	3356.154	3518.401	3456.764	0.987	0.991	0.983
12	3467.692	3383.162	3578.983	3444.974	0.983	0.987	0.990
13	3406.424	3259.311	3488.977	3400.349	0.971	0.975	0.972
14	3394.471	3242.217	3556.851	3395.537	0.969	0.973	0.969
15	3407.750	3293.226	3517.008	3404.087	0.972	0.976	0.973
16	3397.223	3312.259	3493.363	3403.216	0.971	0.975	0.970
17	3369.810	3246.283	3490.708	3367.520	0.961	0.965	0.962
18	3395.990	3340.267	3448.823	3406.079	0.972	0.976	0.969
19	3399.250	3226.720	3566.402	3382.549	0.966	0.969	0.970
20	3359.199	3195.461	3627.151	3343.588	0.954	0.958	0.959
21	3412.294	3353.174	3479.653	3413.510	0.974	0.978	0.974
22	3424.762	3351.878	3494.952	3419.788	0.976	0.980	0.978
23	3375.971	3240.445	3542.765	3356.112	0.958	0.962	0.964
24	3400.225	3220.712	3576.708	3416.444	0.975	0.979	0.971
25	3409.104	3271.198	3515.059	3420.368	0.976	0.980	0.973
26	3417.715	3251.787	3602.331	3414.577	0.975	0.979	0.976
27	3445.644	3351.771	3627.990	3402.373	0.971	0.975	0.984
28	3443.783	3348.784	3581.072	3423.331	0.977	0.981	0.983
29	3417.636	3344.433	3510.090	3415.436	0.975	0.979	0.976
30	3497.450	3396.331	3689.532	3456.675	0.987	0.991	0.998
31	3387.300	3300.552	3595.940	3364.227	0.960	0.964	0.967
32	3367.235	3251.002	3461.859	3353.895	0.957	0.961	0.961
33	3421.454	3321.000	3524.907	3432.225	0.980	0.984	0.977
34	3437.260	3311.096	3555.676	3448.584	0.984	0.988	0.981
35	3405.736	3328.677	3497.031	3404.816	0.972	0.976	0.972
36	3382.234	3225.799	3518.029	3398.787	0.970	0.974	0.965
37	3440.626	3278.472	3613.878	3421.443	0.977	0.981	0.982
38	3523.368	3321.974	3800.745	3502.515	1.000	1.004	1.006
39	3540.210	3361.075	3612.967	3569.658	1.019	1.023	1.011
40	3571.422	3406.219	3775.677	3575.592	1.021	1.025	1.019
41	3560.728	3378.659	3779.552	3565.804	1.018	1.022	1.016
42	3585.982	3405.451	3909.303	3523.165	1.006	1.010	1.024
43	3563.404	3434.472	3759.599	3532.236	1.008	1.012	1.017
44	3470.108	3328.559	3608.441	3482.688	0.994	0.998	0.991
45	3464.897	3387.957	3569.298	3465.193	0.989	0.993	0.989
46	3552.710	3336.788	3720.482	3582.766	1.023	1.027	1.014
47	3565.198	3351.778	3798.018	3551.920	1.014	1.018	1.018
48	3596.120	3306.824	3809.259	3638.735	1.039	1.043	1.026
49	3548.737	3336.708	3651.632	3588.962	1.024	1.029	1.013
50	3541.109	3349.437	3668.099	3556.093	1.015	1.019	1.011
51	3546.001	3291.455	3731.617	3538.531	1.010	1.014	1.012
52	3526.604	3367.058	3735.891	3528.577	1.007	1.011	1.007
53	3516.132	3354.274	3725.490	3536.115	1.009	1.014	1.004
54	3548.475	3476.348	3607.270	3565.708	1.018	1.022	1.013
55	3571.166	3439.011	3705.710	3564.317	1.017	1.022	1.019
56	3657.912	3505.022	3780.154	3684.833	1.052	1.056	1.044
