 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	4314.470	3742.251	4740.277	4418.267	1.265	1.265	1.236
2	4500.539	4231.274	4940.875	4434.199	1.270	1.270	1.289
3	4654.907	4096.290	5878.668	4533.399	1.298	1.298	1.333
4	4914.546	4053.214	6812.030	4580.383	1.312	1.312	1.407
5	4958.213	4265.738	6918.162	4553.445	1.304	1.304	1.420
6	5016.556	4156.746	7260.075	4576.135	1.310	1.310	1.437
7	4960.649	4227.913	6774.514	4696.285	1.345	1.345	1.421
8	4760.292	4270.007	6185.238	4539.681	1.300	1.300	1.363
9	4631.385	4339.449	5003.209	4630.833	1.326	1.326	1.326
10	4472.893	4144.040	4733.489	4569.717	1.309	1.309	1.281
11	4300.442	3944.934	4580.424	4329.547	1.240	1.240	1.232
12	4221.987	3982.693	4636.582	4210.121	1.206	1.206	1.209
13	4186.661	3895.451	4513.495	4215.170	1.207	1.207	1.199
14	4169.852	3905.845	4488.758	4140.882	1.186	1.186	1.194
15	4304.828	3962.360	4699.147	4292.204	1.229	1.229	1.233
16	4385.729	4127.166	4666.289	4361.108	1.249	1.249	1.256
17	4359.687	3846.422	4655.828	4468.817	1.280	1.280	1.248
18	4551.095	4025.455	4976.109	4729.118	1.354	1.354	1.303
19	4538.122	4038.614	5090.791	4531.019	1.298	1.298	1.300
20	4425.471	3925.949	4923.242	4464.931	1.279	1.279	1.267
21	4349.899	4044.195	4664.642	4334.080	1.241	1.241	1.246
22	4218.136	4011.865	4447.110	4193.116	1.201	1.201	1.208
23	4217.400	3911.561	4531.210	4138.129	1.185	1.185	1.208
24	4209.396	3984.515	4494.279	4188.903	1.200	1.200	1.205
25	4330.941	4134.064	4581.041	4335.909	1.242	1.242	1.240
26	4364.333	4092.181	5014.099	4338.583	1.242	1.242	1.250
27	4452.398	3908.541	5418.417	4325.750	1.239	1.239	1.275
28	4431.433	4086.014	4870.075	4381.293	1.255	1.255	1.269
29	4501.547	4113.135	5248.884	4440.924	1.272	1.272	1.289
30	4622.505	4145.540	5279.928	4522.559	1.295	1.295	1.324
31	4599.693	4138.776	5224.977	4438.361	1.271	1.271	1.317
32	4449.534	4039.531	4896.005	4435.533	1.270	1.270	1.274
33	4364.668	4003.076	4721.478	4427.409	1.268	1.268	1.250
34	4203.388	4048.988	4455.756	4149.696	1.188	1.188	1.204
35	4254.973	3899.489	4617.280	4274.789	1.224	1.224	1.218
36	4243.283	3831.067	4743.175	4223.119	1.209	1.209	1.215
37	4189.860	3703.811	4683.807	4077.328	1.168	1.168	1.200
38	4119.532	3782.777	4458.195	4143.013	1.186	1.186	1.180
39	4077.216	3739.992	4696.163	4015.461	1.150	1.150	1.168
40	4013.424	3755.268	4349.323	3959.179	1.134	1.134	1.149
41	3994.770	3817.194	4201.169	3951.993	1.132	1.132	1.144
42	3930.105	3765.969	4133.458	3910.019	1.120	1.120	1.125
43	3878.723	3759.130	4172.731	3834.151	1.098	1.098	1.111
44	3880.670	3724.512	4088.010	3882.441	1.112	1.112	1.111
45	3996.211	3745.400	4396.011	4010.691	1.149	1.149	1.144
