 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3371.006	3219.134	3473.470	3376.137	1.000	1.004	0.999
2	3397.462	3301.143	3577.760	3384.885	1.003	1.006	1.006
3	3435.977	3324.976	3561.984	3423.933	1.014	1.018	1.018
4	3457.814	3379.678	3554.502	3457.639	1.024	1.028	1.024
5	3386.605	3318.990	3524.533	3377.312	1.000	1.004	1.003
6	3395.590	3242.975	3516.348	3396.858	1.006	1.010	1.006
7	3435.079	3324.574	3577.465	3424.662	1.014	1.018	1.017
8	3491.722	3351.139	3651.001	3444.426	1.020	1.024	1.034
9	3412.444	3286.108	3518.714	3422.568	1.014	1.017	1.011
10	3440.067	3306.123	3572.267	3438.110	1.018	1.022	1.019
11	3431.431	3255.683	3564.359	3452.215	1.023	1.026	1.016
12	3510.084	3323.515	3742.410	3518.031	1.042	1.046	1.040
13	3440.499	3350.134	3565.030	3445.654	1.021	1.024	1.019
14	3442.088	3324.211	3631.276	3444.896	1.020	1.024	1.020
15	3458.163	3273.278	3599.589	3445.712	1.021	1.024	1.024
16	3520.252	3326.782	3778.941	3484.550	1.032	1.036	1.043
17	3553.036	3280.500	3768.151	3525.289	1.044	1.048	1.052
18	3467.401	3238.973	3812.639	3435.878	1.018	1.021	1.027
19	3522.883	3352.765	3886.294	3439.747	1.019	1.023	1.044
20	3514.910	3297.584	3792.177	3500.321	1.037	1.041	1.041
21	3481.857	3320.089	3726.078	3433.585	1.017	1.021	1.031
22	3498.046	3328.956	3654.883	3517.541	1.042	1.046	1.036
23	3543.215	3471.022	3640.897	3518.951	1.042	1.046	1.050
24	3549.106	3438.898	3693.339	3526.029	1.044	1.048	1.051
25	3554.649	3446.526	3702.916	3552.880	1.052	1.056	1.053
26	3484.348	3427.101	3524.111	3480.625	1.031	1.035	1.032
27	3545.540	3443.645	3636.649	3544.922	1.050	1.054	1.050
28	3548.878	3450.135	3660.195	3534.588	1.047	1.051	1.051
29	3632.311	3538.376	3739.695	3634.819	1.077	1.081	1.076
30	3636.707	3546.879	3818.052	3572.606	1.058	1.062	1.077
31	3582.228	3379.267	3887.533	3577.876	1.060	1.064	1.061
32	3546.625	3316.584	3726.427	3561.384	1.055	1.059	1.051
33	3507.264	3350.643	3661.247	3512.520	1.040	1.044	1.039
34	3510.182	3438.405	3556.908	3517.965	1.042	1.046	1.040
35	3605.713	3396.538	3785.047	3590.958	1.064	1.067	1.068
36	3535.017	3373.658	3711.790	3498.834	1.036	1.040	1.047
37	3496.800	3365.519	3611.264	3495.324	1.035	1.039	1.036
38	3565.869	3427.510	3721.113	3555.938	1.053	1.057	1.056
39	3500.003	3371.411	3634.221	3504.610	1.038	1.042	1.037
40	3526.186	3339.519	3725.355	3514.685	1.041	1.045	1.044
41	3638.143	3505.347	3824.931	3612.124	1.070	1.074	1.078
42	3606.412	3309.859	3746.241	3627.012	1.074	1.078	1.068
43	3618.235	3460.048	3795.776	3587.350	1.063	1.066	1.072
44	3586.544	3367.643	3811.545	3580.757	1.061	1.064	1.062
45	3588.954	3333.684	3875.115	3608.310	1.069	1.073	1.063
46	3542.405	3389.270	3658.153	3545.265	1.050	1.054	1.049
47	3479.635	3338.790	3606.472	3496.705	1.036	1.039	1.031
48	3487.013	3360.531	3727.132	3476.684	1.030	1.033	1.033
49	3517.103	3450.189	3581.132	3531.466	1.046	1.050	1.042
50	3551.564	3501.676	3704.003	3534.417	1.047	1.051	1.052
51	3575.401	3313.098	3861.631	3571.914	1.058	1.062	1.059
52	3552.764	3408.720	3865.676	3516.534	1.042	1.045	1.052
53	3544.419	3390.697	3706.904	3555.955	1.053	1.057	1.050
54	3581.171	3477.126	3736.151	3581.462	1.061	1.065	1.061
