 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	4523.579	3541.398	5216.715	4600.664	1.525	1.525	1.500
2	4418.234	3654.444	5115.119	4438.336	1.472	1.472	1.465
3	4476.498	3656.417	5373.263	4360.438	1.446	1.446	1.484
4	4473.065	3752.433	5388.934	4407.624	1.461	1.461	1.483
5	4400.593	3483.353	5439.803	4395.836	1.458	1.458	1.459
6	4517.829	3414.398	5362.006	4566.778	1.514	1.514	1.498
7	4624.396	3676.719	5660.394	4589.897	1.522	1.522	1.533
8	4397.694	3572.885	5517.639	4278.169	1.418	1.418	1.458
9	4408.994	3329.472	5715.714	4420.122	1.466	1.466	1.462
10	4288.016	3317.964	5110.769	4292.047	1.423	1.423	1.422
11	4164.591	3463.320	4723.492	4204.670	1.394	1.394	1.381
12	4002.807	3293.112	4574.112	4129.098	1.369	1.369	1.327
13	4125.730	3424.028	4788.734	4130.440	1.370	1.370	1.368
14	4226.187	3275.760	5251.711	4190.859	1.390	1.390	1.401
15	4438.494	3366.304	5709.449	4193.004	1.390	1.390	1.472
16	4565.766	3392.339	5921.539	4627.490	1.534	1.534	1.514
17	4478.626	3414.614	5387.700	4372.495	1.450	1.450	1.485
18	4465.753	3249.463	5701.580	4556.699	1.511	1.511	1.481
19	4318.388	3423.610	5172.127	4317.671	1.432	1.432	1.432
20	4157.393	3441.662	4733.384	4267.229	1.415	1.415	1.378
21	4197.420	3527.326	4649.966	4307.270	1.428	1.428	1.392
22	4208.142	3342.303	4995.553	4249.274	1.409	1.409	1.395
23	4163.945	3417.569	5177.670	4048.109	1.342	1.342	1.381
24	4169.845	3394.515	5003.834	4246.419	1.408	1.408	1.383
25	4411.421	3392.846	5334.389	4481.377	1.486	1.486	1.463
26	4342.675	3319.817	5047.982	4583.915	1.520	1.520	1.440
27	4556.424	3341.853	5726.625	4689.970	1.555	1.555	1.511
28	4737.114	3358.854	6091.770	4799.086	1.591	1.591	1.571
29	4792.914	3155.938	6821.325	4648.403	1.541	1.541	1.589
30	4912.532	3221.839	7201.585	4879.260	1.618	1.618	1.629
31	4640.365	3332.179	6324.716	4531.672	1.503	1.503	1.539
32	4747.426	3427.263	6357.272	4449.650	1.475	1.475	1.574
33	4828.809	3496.903	6630.245	4583.785	1.520	1.520	1.601
34	4706.980	3484.146	6623.611	4439.579	1.472	1.472	1.561
35	4671.191	3660.906	6499.278	4260.795	1.413	1.413	1.549
36	4499.338	3595.489	5845.415	4215.885	1.398	1.398	1.492
37	4377.119	3538.261	5557.483	4202.910	1.394	1.394	1.451
38	4340.482	3496.327	5471.837	4128.687	1.369	1.369	1.439
39	4244.888	3371.593	5459.231	4192.427	1.390	1.390	1.407
40	4319.039	3392.115	4969.478	4414.600	1.464	1.464	1.432
41	4236.127	3556.746	5165.370	4120.270	1.366	1.366	1.405
42	4091.149	3443.086	4849.207	4123.467	1.367	1.367	1.356
43	4194.125	3265.218	4888.188	4378.660	1.452	1.452	1.391
44	4301.826	3343.435	5186.390	4447.395	1.475	1.475	1.426
45	4303.595	3335.212	5244.217	4246.929	1.408	1.408	1.427
46	4314.771	3379.314	5429.004	4212.407	1.397	1.397	1.431
47	4641.529	3441.290	5985.680	4611.445	1.529	1.529	1.539
48	4669.966	3340.845	6038.919	4487.986	1.488	1.488	1.548
49	4458.863	3506.359	5547.309	4524.607	1.500	1.500	1.478
50	4487.855	3448.394	5218.751	4643.303	1.540	1.540	1.488
51	4216.169	3388.210	4916.870	4360.120	1.446	1.446	1.398
52	4266.853	3303.320	5082.100	4395.177	1.457	1.457	1.415
53	4435.426	3366.072	5623.603	4373.660	1.450	1.450	1.471
54	4461.383	3708.789	5265.069	4557.539	1.511	1.511	1.479
55	4557.229	3689.559	5693.520	4432.011	1.469	1.469	1.511
56	4400.338	3589.668	5159.802	4281.632	1.420	1.420	1.459
57	4322.342	3786.402	4939.403	4238.608	1.405	1.405	1.433
58	4490.972	3853.164	5296.052	4365.177	1.447	1.447	1.489
59	4795.304	3878.987	5804.793	4566.968	1.514	1.514	1.590
60	4973.881	3839.373	6028.598	4923.243	1.632	1.632	1.649
61	5278.845	3862.313	6455.571	5444.887	1.805	1.805	1.750
62	5131.925	3928.928	5671.735	5392.758	1.788	1.788	1.702
63	4810.806	4018.892	5303.976	4960.480	1.645	1.645	1.595
64	4401.945	3659.605	5036.395	4483.997	1.487	1.487	1.460
65	4370.962	3728.775	4776.784	4368.147	1.448	1.448	1.449
66	4310.394	3602.711	4660.292	4319.348	1.432	1.432	1.429
67	4183.626	3507.009	4559.028	4248.484	1.409	1.409	1.387
68	4136.496	3698.771	4609.366	4101.805	1.360	1.360	1.372
69	4062.965	3769.590	4274.146	4064.743	1.348	1.348	1.347
70	4146.397	3661.890	4507.819	4162.232	1.380	1.380	1.375
71	4530.273	3968.754	5227.618	4435.606	1.471	1.471	1.502
72	4730.195	3789.267	5657.227	4661.976	1.546	1.546	1.568
73	4832.013	4312.431	5131.677	4884.383	1.619	1.619	1.602
74	5354.112	4240.099	5929.782	5534.216	1.835	1.835	1.775
75	5592.318	3753.586	6774.647	5807.670	1.926	1.926	1.854
76	5838.439	3567.268	7855.407	6170.364	2.046	2.046	1.936
77	5539.774	3513.740	6895.446	5782.127	1.917	1.917	1.837
78	4930.681	3314.098	6133.440	5136.453	1.703	1.703	1.635
79	4395.015	3456.079	5310.582	4553.156	1.510	1.510	1.457
80	4278.313	3276.671	5398.653	4421.881	1.466	1.466	1.419
81	4113.012	3260.283	4991.193	4225.090	1.401	1.401	1.364
82	4039.539	3321.877	4780.757	4119.690	1.366	1.366	1.339
83	4149.898	3196.995	5168.577	4085.826	1.355	1.355	1.376
84	4212.765	3173.843	5229.941	4224.929	1.401	1.401	1.397
85	4346.159	3056.241	6115.542	4164.494	1.381	1.381	1.441
86	4612.388	3279.207	6716.946	4260.104	1.413	1.413	1.529
87	4801.103	3162.074	7172.415	4278.296	1.419	1.419	1.592
88	4653.664	3083.435	6719.690	4336.771	1.438	1.438	1.543
89	4500.507	3283.363	6147.178	4200.339	1.393	1.393	1.492
90	4371.257	3284.627	5719.870	3967.875	1.316	1.316	1.449
91	4266.350	3192.463	5228.667	4190.319	1.389	1.389	1.415
92	4260.633	3166.372	5333.994	4527.627	1.501	1.501	1.413
93	4249.318	3131.137	5320.443	4466.396	1.481	1.481	1.409
94	4188.578	3104.027	5115.990	4378.483	1.452	1.452	1.389
95	4097.378	3177.842	5154.933	4135.905	1.371	1.371	1.359
96	4082.416	3151.443	4950.019	4168.549	1.382	1.382	1.354
97	4022.946	3132.365	4632.095	4246.039	1.408	1.408	1.334
98	4086.673	3135.455	4866.450	4229.803	1.402	1.402	1.355
99	4240.298	3148.331	5116.008	4517.733	1.498	1.498	1.406
100	4464.767	3390.289	5601.454	4677.700	1.551	1.551	1.480
101	4454.961	3109.617	5310.718	4838.046	1.604	1.604	1.477
102	4433.638	3101.603	5084.257	4867.542	1.614	1.614	1.470
103	4576.463	3194.698	5473.742	4872.095	1.615	1.615	1.517
104	4780.038	3122.880	6071.448	4933.366	1.636	1.636	1.585
105	4940.791	3378.452	6558.946	5088.730	1.687	1.687	1.638
106	5070.767	3495.989	7018.446	5230.519	1.734	1.734	1.681
107	4896.675	3492.925	5786.414	5193.972	1.722	1.722	1.624
108	4617.567	3479.514	5312.232	4868.967	1.614	1.614	1.531
109	4583.132	3448.628	5148.101	4802.285	1.592	1.592	1.520
110	4553.659	3490.928	5022.133	4742.420	1.572	1.572	1.510
111	4401.402	3270.464	5164.103	4476.690	1.484	1.484	1.459
112	4365.432	3287.928	5070.896	4476.134	1.484	1.484	1.447
113	4663.383	3614.793	5370.508	4883.014	1.619	1.619	1.546
114	4735.417	3730.862	5765.100	4816.672	1.597	1.597	1.570
115	4851.942	3483.185	6004.551	4958.339	1.644	1.644	1.609
116	4674.674	3558.816	5786.890	4580.770	1.519	1.519	1.550
117	4480.026	3460.847	5460.826	4356.063	1.444	1.444	1.485
118	4388.589	3542.210	4990.008	4525.173	1.500	1.500	1.455
119	4213.214	3755.991	4786.399	4171.484	1.383	1.383	1.397
120	4109.748	3611.298	4782.588	4125.676	1.368	1.368	1.363
121	4245.403	3569.283	5007.169	4233.961	1.404	1.404	1.408
122	4253.092	3523.182	4902.229	4165.556	1.381	1.381	1.410
123	4252.899	3545.834	5397.124	3956.435	1.312	1.312	1.410
124	4399.072	3628.254	5534.577	4292.088	1.423	1.423	1.459
125	4706.996	3422.982	5927.637	4766.732	1.580	1.580	1.561
126	4621.658	3280.886	6219.061	4380.029	1.452	1.452	1.532
127	4433.560	3345.087	5708.615	4390.648	1.456	1.456	1.470
128	4349.875	3444.820	5368.416	4405.712	1.461	1.461	1.442
129	4372.041	3405.057	5432.489	4185.148	1.388	1.388	1.450
130	4374.644	3465.503	5267.551	4412.354	1.463	1.463	1.450
131	4257.164	3444.979	4937.077	4188.800	1.389	1.389	1.412
132	4208.250	3522.592	5375.966	4145.452	1.374	1.374	1.395
133	4138.465	3349.320	4897.655	4166.247	1.381	1.381	1.372
134	4202.886	3293.544	4993.764	4240.896	1.406	1.406	1.394
135	4230.090	3427.025	4993.812	4276.091	1.418	1.418	1.403
136	4451.388	3334.533	5613.609	4228.867	1.402	1.402	1.476
137	4531.160	3222.913	5813.854	4391.158	1.456	1.456	1.502
138	4561.253	3508.377	5920.957	4544.664	1.507	1.507	1.512
139	4297.336	3363.089	5243.148	4300.693	1.426	1.426	1.425
140	4172.103	3297.664	4857.604	4224.802	1.401	1.401	1.383
141	4076.777	3332.341	4625.500	4169.734	1.383	1.383	1.352
142	4053.055	3435.076	4559.473	3866.362	1.282	1.282	1.344
143	3966.224	3410.874	4485.583	3903.592	1.294	1.294	1.315
144	3986.451	3529.303	4402.976	4105.881	1.361	1.361	1.322
145	4081.117	3545.753	4762.649	4054.841	1.344	1.344	1.353
146	4017.892	3421.573	4947.681	3884.225	1.288	1.288	1.332
147	3997.691	3372.812	4717.781	3782.025	1.254	1.254	1.325
148	4043.224	3645.401	4847.989	3768.559	1.250	1.250	1.341
149	3953.680	3490.679	4748.033	3793.108	1.258	1.258	1.311
150	4086.359	3406.976	4807.513	4006.421	1.328	1.328	1.355
151	4181.366	3357.235	5148.111	4143.732	1.374	1.374	1.386
152	4101.540	3398.758	5040.693	3912.708	1.297	1.297	1.360
153	4245.837	3450.653	5743.199	3880.531	1.287	1.287	1.408
154	4269.597	3227.446	5539.873	3952.296	1.310	1.310	1.416
155	4228.155	3297.752	5403.991	3889.868	1.290	1.290	1.402
156	4099.563	3250.261	5381.403	4086.655	1.355	1.355	1.359
157	4065.626	3352.854	4773.385	3985.521	1.321	1.321	1.348
158	4281.246	3551.216	5292.499	4168.374	1.382	1.382	1.420
159	4251.319	3329.870	5364.013	4163.184	1.380	1.380	1.410
160	4280.027	3355.457	5397.367	4136.877	1.372	1.372	1.419
161	4246.472	3425.569	5184.204	3966.950	1.315	1.315	1.408
162	4206.615	3406.685	5178.735	4055.957	1.345	1.345	1.395
163	4171.230	3437.969	4934.528	4138.391	1.372	1.372	1.383
164	4203.985	3520.733	5516.414	3969.251	1.316	1.316	1.394
165	4127.232	3255.307	5101.015	4079.438	1.353	1.353	1.368
166	4260.137	3193.442	5330.883	4281.418	1.420	1.420	1.413
167	4296.524	3462.420	5083.809	4506.192	1.494	1.494	1.425
168	4463.009	3567.315	5322.845	4623.633	1.533	1.533	1.480
169	4465.404	3509.009	5486.539	4443.000	1.473	1.473	1.481
170	4398.608	3569.764	5209.176	4545.327	1.507	1.507	1.458
171	4245.026	3268.656	5009.097	4294.720	1.424	1.424	1.408
172	4146.152	3468.987	4889.928	4163.438	1.380	1.380	1.375
173	4064.698	3494.492	4770.341	4147.689	1.375	1.375	1.348
174	4296.139	3569.968	5333.651	4134.102	1.371	1.371	1.424
175	4325.286	3412.177	5368.087	4291.063	1.423	1.423	1.434
176	4213.183	3324.347	5120.250	4281.409	1.420	1.420	1.397
177	4467.375	3409.235	5372.432	4560.030	1.512	1.512	1.481
178	4927.181	3340.689	6391.904	4975.735	1.650	1.650	1.634
179	4931.882	3420.199	6188.707	5314.770	1.762	1.762	1.635
180	4838.654	3499.080	5794.832	4895.558	1.623	1.623	1.604
181	4462.013	3488.460	5119.683	4566.150	1.514	1.514	1.479
182	4437.273	3632.745	4920.234	4595.233	1.524	1.524	1.471
183	4421.628	3555.855	4811.630	4468.276	1.482	1.482	1.466
184	4786.385	4210.629	5497.761	4738.038	1.571	1.571	1.587
185	4632.518	3717.771	5683.250	4507.483	1.495	1.495	1.536
186	4874.039	3670.277	6109.606	4631.977	1.536	1.536	1.616
187	4835.878	3810.757	6124.322	4622.243	1.533	1.533	1.603
188	4588.769	3792.150	5506.792	4550.191	1.509	1.509	1.521
189	4337.954	3337.921	5358.123	4333.571	1.437	1.437	1.438
190	4197.276	3432.191	5061.348	4192.828	1.390	1.390	1.392
191	4436.890	3593.003	5345.140	4422.376	1.466	1.466	1.471
192	4585.140	3450.893	5555.046	4575.193	1.517	1.517	1.520
193	4952.264	3460.517	6618.882	4909.858	1.628	1.628	1.642
194	4915.601	3698.104	6707.311	4491.432	1.489	1.489	1.630
195	4626.341	3707.250	5852.248	4436.561	1.471	1.471	1.534
196	4456.107	3427.812	5832.214	4324.861	1.434	1.434	1.477
197	4369.637	3076.869	5365.316	4492.922	1.490	1.490	1.449
198	4167.994	3216.498	5108.952	4137.720	1.372	1.372	1.382
199	3916.511	3180.406	4479.929	3884.725	1.288	1.288	1.299
200	3824.222	3334.790	4325.415	3809.319	1.263	1.263	1.268
201	3796.548	3461.566	4215.529	3803.408	1.261	1.261	1.259
202	3924.391	3324.472	4557.512	3873.181	1.284	1.284	1.301
203	3992.293	3279.827	4602.107	4044.514	1.341	1.341	1.324
204	4152.073	3348.224	5043.882	4158.875	1.379	1.379	1.377
205	4185.484	3381.485	5420.128	4023.527	1.334	1.334	1.388
206	4144.591	3491.121	4827.590	4076.288	1.352	1.352	1.374
207	3966.770	3312.941	4564.412	3857.784	1.279	1.279	1.315
208	3809.466	3240.122	4335.131	3832.661	1.271	1.271	1.263
209	3671.620	3398.444	4039.902	3630.932	1.204	1.204	1.217
210	3635.171	3444.158	3868.522	3599.232	1.193	1.193	1.205
211	3601.557	3373.174	3815.205	3558.828	1.180	1.180	1.194
212	3607.400	3301.363	3844.944	3573.852	1.185	1.185	1.196
213	3693.798	3212.994	3946.190	3722.055	1.234	1.234	1.225
214	3945.502	3364.871	4456.326	4010.301	1.330	1.330	1.308
215	4117.385	3580.042	4818.332	4063.544	1.347	1.347	1.365
216	4177.023	3755.926	4782.715	4131.494	1.370	1.370	1.385
217	4380.849	3867.928	4987.090	4363.035	1.447	1.447	1.453
218	4156.261	3737.945	5152.521	3980.553	1.320	1.320	1.378
219	4115.052	3768.970	4876.814	3981.785	1.320	1.320	1.364
220	3924.820	3645.868	4323.732	3856.954	1.279	1.279	1.301
221	3899.840	3408.790	4374.687	3876.761	1.285	1.285	1.293
222	3723.973	3296.363	4075.415	3747.710	1.243	1.243	1.235
223	3761.160	3311.844	4228.144	3695.278	1.225	1.225	1.247
224	3880.413	3457.323	4289.360	3950.298	1.310	1.310	1.287
225	3817.545	3405.776	4405.352	3758.551	1.246	1.246	1.266
226	3706.049	3354.651	4087.219	3640.099	1.207	1.207	1.229
227	3693.768	3551.804	4019.635	3638.708	1.206	1.206	1.225
228	3762.907	3473.297	3869.790	3807.624	1.262	1.262	1.248
229	3534.934	3339.567	3739.701	3538.862	1.173	1.173	1.172
230	3645.409	3446.556	3965.798	3614.457	1.198	1.198	1.209
231	3584.634	3431.901	3812.849	3564.647	1.182	1.182	1.189
232	3594.765	3405.695	3851.608	3579.371	1.187	1.187	1.192
233	3670.688	3560.849	3823.647	3656.356	1.212	1.212	1.217
234	3598.126	3317.729	3776.957	3601.842	1.194	1.194	1.193
235	3571.594	3438.558	3832.037	3530.591	1.171	1.171	1.184
236	3636.079	3482.125	4042.337	3580.807	1.187	1.187	1.206
237	3685.421	3473.800	4031.555	3687.778	1.223	1.223	1.222
238	3555.132	3300.958	4054.869	3494.409	1.159	1.159	1.179
239	3705.774	3394.191	4096.688	3664.805	1.215	1.215	1.229
240	3820.859	3549.025	4363.030	3778.221	1.253	1.253	1.267
241	3802.351	3456.395	4154.841	3791.772	1.257	1.257	1.261
242	3814.046	3609.477	4041.847	3777.114	1.252	1.252	1.265
243	3735.805	3426.336	4158.858	3763.347	1.248	1.248	1.239
244	3780.667	3326.540	4574.854	3755.430	1.245	1.245	1.254
245	3712.217	3347.290	3992.018	3764.735	1.248	1.248	1.231
246	3697.020	3395.034	3877.731	3727.818	1.236	1.236	1.226
247	3777.831	3434.054	4068.614	3812.384	1.264	1.264	1.253
248	4019.834	3556.912	4454.147	4054.579	1.344	1.344	1.333
249	4153.161	3361.722	5228.345	4054.027	1.344	1.344	1.377
250	4224.825	3419.483	4977.677	4273.167	1.417	1.417	1.401
251	4026.116	3380.280	4660.627	4120.647	1.366	1.366	1.335
252	3852.291	3139.157	4500.000	3840.976	1.274	1.274	1.277
253	3671.245	3019.396	4184.937	3637.552	1.206	1.206	1.217
254	3655.283	3271.992	3982.112	3711.320	1.231	1.231	1.212
255	3580.296	3287.848	3781.490	3604.203	1.195	1.195	1.187
256	3514.569	3266.362	3801.618	3486.375	1.156	1.156	1.165
257	3507.296	3232.970	3776.502	3508.426	1.163	1.163	1.163
258	3567.703	3219.673	3839.603	3617.433	1.199	1.199	1.183
259	3581.199	3419.521	3729.391	3576.130	1.186	1.186	1.187
260	3604.842	3259.224	3936.450	3610.352	1.197	1.197	1.195
261	3611.405	3171.596	4014.203	3646.875	1.209	1.209	1.197
262	3552.759	3263.867	3902.385	3658.256	1.213	1.213	1.178
263	3436.406	3169.876	3728.324	3442.494	1.141	1.141	1.139
264	3352.689	3081.142	3764.642	3332.484	1.105	1.105	1.112
265	3414.497	3065.341	3850.204	3346.710	1.110	1.110	1.132
