 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3424.956	3355.967	3517.127	3406.442	0.962	0.964	0.967
2	3432.237	3307.111	3534.393	3431.293	0.969	0.971	0.969
3	3434.014	3326.108	3625.802	3421.061	0.966	0.968	0.970
4	3379.752	3260.170	3478.721	3404.236	0.961	0.964	0.954
5	3438.182	3198.294	3590.129	3426.284	0.968	0.970	0.971
6	3412.460	3255.034	3605.527	3405.378	0.962	0.964	0.964
7	3422.612	3352.579	3612.695	3394.263	0.959	0.961	0.967
8	3406.704	3251.829	3500.648	3408.247	0.963	0.965	0.962
9	3382.129	3304.174	3495.178	3381.933	0.955	0.957	0.955
10	3378.772	3295.201	3429.855	3384.625	0.956	0.958	0.954
11	3446.814	3360.954	3552.129	3437.379	0.971	0.973	0.973
12	3375.467	3238.426	3533.649	3364.746	0.950	0.952	0.953
13	3394.256	3284.355	3577.385	3383.254	0.955	0.958	0.959
14	3387.191	3307.258	3577.039	3347.521	0.945	0.948	0.957
15	3355.883	3216.365	3479.005	3347.240	0.945	0.947	0.948
16	3460.485	3317.028	3610.632	3471.472	0.980	0.983	0.977
17	3450.305	3408.702	3530.098	3436.329	0.970	0.973	0.974
18	3445.675	3283.400	3545.896	3469.485	0.980	0.982	0.973
19	3396.322	3220.786	3515.586	3390.671	0.958	0.960	0.959
20	3412.221	3283.206	3547.348	3422.250	0.966	0.969	0.964
21	3432.728	3247.405	3608.840	3449.391	0.974	0.976	0.969
22	3429.604	3338.302	3534.850	3417.149	0.965	0.967	0.969
23	3430.338	3312.977	3489.052	3438.393	0.971	0.973	0.969
24	3430.301	3303.955	3703.740	3398.496	0.960	0.962	0.969
25	3373.751	3259.600	3507.099	3372.817	0.953	0.955	0.953
26	3398.484	3315.249	3551.115	3359.486	0.949	0.951	0.960
27	3440.707	3211.862	3626.493	3431.779	0.969	0.971	0.972
28	3422.085	3312.339	3516.244	3412.732	0.964	0.966	0.966
29	3421.103	3322.616	3535.386	3427.161	0.968	0.970	0.966
30	3411.457	3288.257	3569.687	3403.910	0.961	0.963	0.963
31	3451.123	3333.280	3581.423	3467.857	0.979	0.982	0.975
32	3457.484	3329.899	3499.775	3474.754	0.981	0.984	0.976
33	3413.397	3286.056	3520.869	3415.064	0.964	0.967	0.964
34	3407.861	3326.763	3538.646	3385.406	0.956	0.958	0.962
35	3381.767	3255.896	3469.265	3394.181	0.959	0.961	0.955
36	3352.867	3271.128	3554.338	3327.544	0.940	0.942	0.947
37	3373.732	3249.884	3551.812	3376.606	0.954	0.956	0.953
38	3412.543	3285.024	3500.199	3425.745	0.967	0.970	0.964
39	3445.311	3336.569	3601.140	3428.258	0.968	0.970	0.973
40	3400.664	3304.011	3570.503	3368.874	0.951	0.954	0.960
41	3351.419	3202.710	3573.486	3328.158	0.940	0.942	0.946
42	3349.327	3244.346	3452.308	3352.529	0.947	0.949	0.946
43	3383.465	3301.490	3480.537	3369.327	0.952	0.954	0.956
44	3424.598	3275.132	3502.362	3460.836	0.977	0.980	0.967
45	3402.781	3321.087	3501.698	3394.522	0.959	0.961	0.961
46	3402.937	3264.865	3512.009	3428.227	0.968	0.970	0.961
47	3384.137	3292.344	3491.104	3386.417	0.956	0.959	0.956
48	3402.954	3279.479	3567.465	3369.524	0.952	0.954	0.961
49	3397.501	3302.060	3468.523	3401.452	0.961	0.963	0.960
50	3337.556	3217.698	3451.230	3344.293	0.944	0.947	0.943
51	3401.460	3233.333	3553.713	3402.944	0.961	0.963	0.961
52	3437.791	3315.521	3759.669	3402.168	0.961	0.963	0.971
53	3388.683	3282.191	3518.964	3390.789	0.958	0.960	0.957
54	3379.495	3280.951	3498.810	3378.016	0.954	0.956	0.954
55	3435.056	3335.751	3517.689	3441.030	0.972	0.974	0.970
56	3397.569	3311.849	3487.229	3396.951	0.959	0.961	0.960
57	3401.700	3222.541	3580.421	3424.275	0.967	0.969	0.961
58	3412.149	3294.942	3555.813	3400.753	0.960	0.963	0.964
59	3386.301	3165.489	3562.622	3379.850	0.955	0.957	0.956
60	3386.131	3275.618	3583.203	3363.431	0.950	0.952	0.956
61	3405.173	3242.392	3512.826	3416.827	0.965	0.967	0.962
62	3404.713	3290.601	3593.956	3364.355	0.950	0.952	0.962
63	3415.788	3298.312	3649.021	3383.609	0.956	0.958	0.965
64	3410.692	3280.840	3557.172	3411.256	0.963	0.966	0.963
65	3379.509	3312.566	3436.482	3389.425	0.957	0.959	0.954
66	3431.269	3335.286	3530.785	3423.643	0.967	0.969	0.969
67	3507.644	3395.280	3633.270	3507.029	0.990	0.993	0.991
68	3465.796	3353.940	3616.649	3465.664	0.979	0.981	0.979
69	3413.675	3311.036	3546.885	3400.079	0.960	0.962	0.964
70	3449.753	3330.795	3558.606	3452.853	0.975	0.977	0.974
71	3461.666	3276.742	3560.940	3497.959	0.988	0.990	0.978
72	3415.073	3257.753	3545.395	3438.910	0.971	0.973	0.964
73	3410.817	3283.726	3613.764	3395.391	0.959	0.961	0.963
74	3423.568	3307.272	3617.868	3417.893	0.965	0.967	0.967
75	3485.407	3342.199	3653.726	3490.857	0.986	0.988	0.984
76	3453.154	3330.240	3658.329	3459.990	0.977	0.979	0.975
77	3451.297	3274.421	3617.171	3427.069	0.968	0.970	0.975
