 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3530.255	3431.114	3676.822	3513.716	1.039	1.053	1.044
2	3447.823	3346.353	3562.191	3424.423	1.013	1.026	1.020
3	3494.507	3368.145	3604.001	3506.979	1.037	1.051	1.034
4	3485.739	3343.434	3706.092	3424.877	1.013	1.026	1.031
5	3474.096	3361.506	3606.343	3486.562	1.031	1.045	1.028
6	3492.716	3426.221	3587.899	3477.286	1.029	1.042	1.033
7	3480.115	3407.243	3644.354	3481.125	1.030	1.043	1.029
8	3457.052	3293.944	3597.820	3449.681	1.020	1.034	1.023
9	3476.603	3304.283	3666.663	3502.075	1.036	1.049	1.028
10	3473.099	3288.574	3661.727	3457.304	1.023	1.036	1.027
11	3440.191	3330.985	3538.417	3432.756	1.015	1.029	1.018
12	3441.400	3343.246	3578.949	3428.146	1.014	1.027	1.018
13	3465.824	3299.372	3618.497	3454.680	1.022	1.035	1.025
14	3458.999	3298.585	3566.022	3489.226	1.032	1.046	1.023
15	3424.552	3274.743	3539.453	3447.956	1.020	1.033	1.013
16	3412.416	3324.176	3529.112	3406.631	1.008	1.021	1.009
17	3403.786	3304.326	3504.097	3384.380	1.001	1.014	1.007
18	3440.160	3331.748	3614.131	3451.906	1.021	1.034	1.018
19	3408.768	3355.752	3474.440	3403.678	1.007	1.020	1.008
20	3430.106	3348.236	3517.953	3415.545	1.010	1.024	1.015
21	3471.061	3340.975	3622.456	3428.971	1.014	1.028	1.027
22	3462.171	3351.174	3578.384	3429.466	1.014	1.028	1.024
23	3415.658	3277.544	3510.550	3416.987	1.011	1.024	1.010
24	3461.448	3339.200	3643.541	3446.691	1.019	1.033	1.024
25	3540.071	3435.068	3665.757	3527.342	1.043	1.057	1.047
26	3494.747	3440.101	3551.190	3486.240	1.031	1.045	1.034
27	3471.574	3334.299	3607.453	3484.624	1.031	1.044	1.027
28	3471.189	3275.906	3575.654	3474.107	1.028	1.041	1.027
29	3469.196	3273.836	3687.177	3474.338	1.028	1.041	1.026
30	3515.011	3251.666	3669.520	3506.478	1.037	1.051	1.040
31	3460.188	3265.158	3585.876	3465.980	1.025	1.039	1.023
32	3420.680	3314.209	3600.797	3387.781	1.002	1.015	1.012
33	3439.431	3304.509	3596.827	3443.037	1.018	1.032	1.017
34	3423.396	3291.589	3599.790	3416.760	1.011	1.024	1.013
35	3440.727	3371.056	3507.992	3436.721	1.017	1.030	1.018
36	3458.843	3303.773	3758.639	3430.166	1.015	1.028	1.023
37	3408.228	3255.249	3558.979	3435.896	1.016	1.030	1.008
38	3436.859	3297.915	3555.019	3430.931	1.015	1.028	1.017
39	3432.170	3280.931	3554.139	3430.435	1.015	1.028	1.015
40	3470.805	3237.548	3625.181	3473.070	1.027	1.041	1.027
41	3473.058	3351.828	3566.750	3480.422	1.029	1.043	1.027
42	3446.631	3242.870	3580.779	3450.004	1.020	1.034	1.019
43	3475.092	3361.663	3590.627	3465.018	1.025	1.038	1.028
44	3452.213	3354.389	3710.825	3424.821	1.013	1.026	1.021
45	3402.053	3303.283	3617.602	3358.235	0.993	1.006	1.006
46	3407.022	3337.818	3505.731	3402.069	1.006	1.019	1.008
47	3421.260	3290.864	3490.769	3445.199	1.019	1.032	1.012
48	3409.392	3278.490	3542.167	3403.650	1.007	1.020	1.008
49	3377.210	3160.838	3460.394	3403.952	1.007	1.020	0.999
50	3421.463	3330.890	3539.652	3419.517	1.011	1.025	1.012
51	3414.452	3318.385	3531.756	3424.583	1.013	1.026	1.010
52	3401.672	3234.590	3540.516	3414.547	1.010	1.023	1.006
53	3441.842	3316.676	3567.513	3449.053	1.020	1.034	1.018
54	3434.170	3324.377	3603.686	3441.925	1.018	1.031	1.016
55	3409.730	3275.878	3508.023	3408.084	1.008	1.021	1.009
56	3444.267	3358.530	3557.571	3429.204	1.014	1.028	1.019
57	3468.083	3304.914	3568.112	3486.796	1.031	1.045	1.026
58	3435.710	3321.402	3597.008	3434.967	1.016	1.029	1.016
59	3389.457	3305.725	3548.710	3387.728	1.002	1.015	1.003
60	3453.947	3284.141	3587.611	3452.400	1.021	1.035	1.022
61	3443.478	3231.712	3600.750	3492.500	1.033	1.047	1.019
62	3433.306	3352.606	3566.345	3433.721	1.016	1.029	1.016
63	3440.074	3395.166	3501.903	3434.681	1.016	1.029	1.018
64	3440.093	3344.332	3568.148	3419.653	1.011	1.025	1.018
65	3445.223	3331.185	3598.250	3441.112	1.018	1.031	1.019
66	3449.002	3280.335	3569.866	3443.857	1.019	1.032	1.020
67	3411.236	3214.125	3589.340	3420.328	1.012	1.025	1.009
68	3492.979	3308.676	3623.457	3522.731	1.042	1.056	1.033
69	3502.792	3354.741	3786.961	3456.260	1.022	1.036	1.036
70	3480.540	3374.587	3608.970	3476.451	1.028	1.042	1.030
71	3465.729	3294.306	3613.385	3468.970	1.026	1.040	1.025
72	3426.594	3282.107	3561.279	3439.007	1.017	1.031	1.014
73	3517.700	3314.861	3689.462	3534.711	1.046	1.059	1.040
74	3467.198	3327.733	3704.038	3436.022	1.016	1.030	1.026
75	3417.657	3191.384	3578.152	3421.947	1.012	1.025	1.011
76	3412.671	3293.371	3588.946	3387.348	1.002	1.015	1.009
77	3403.125	3342.874	3516.062	3383.909	1.001	1.014	1.007
78	3447.561	3290.473	3609.993	3428.507	1.014	1.027	1.020
79	3447.709	3334.307	3601.153	3448.084	1.020	1.033	1.020
80	3396.380	3273.523	3455.515	3422.932	1.012	1.026	1.005
81	3390.640	3318.777	3500.528	3378.714	0.999	1.013	1.003
82	3384.376	3273.474	3452.970	3396.032	1.005	1.018	1.001
83	3391.879	3236.313	3527.129	3399.882	1.006	1.019	1.003
84	3457.815	3377.885	3537.017	3452.323	1.021	1.035	1.023
85	3404.307	3294.213	3484.275	3409.574	1.009	1.022	1.007
86	3468.322	3286.979	3617.508	3460.660	1.024	1.037	1.026
87	3434.158	3327.504	3677.896	3415.417	1.010	1.023	1.016
88	3462.110	3292.824	3611.160	3454.642	1.022	1.035	1.024
89	3487.035	3346.133	3538.556	3499.872	1.035	1.049	1.031
90	3467.274	3344.048	3593.367	3445.774	1.019	1.033	1.026
91	3477.995	3334.812	3664.196	3486.121	1.031	1.045	1.029
92	3458.772	3278.114	3557.924	3502.772	1.036	1.050	1.023
93	3451.128	3323.974	3632.875	3414.415	1.010	1.023	1.021
94	3470.475	3364.386	3644.122	3463.947	1.025	1.038	1.027
95	3484.066	3415.944	3584.560	3470.314	1.026	1.040	1.031
96	3475.651	3363.030	3574.779	3492.196	1.033	1.047	1.028
97	3467.427	3367.004	3541.383	3480.305	1.029	1.043	1.026
98	3486.487	3407.007	3639.484	3459.699	1.023	1.037	1.031
99	3459.403	3314.126	3659.055	3429.773	1.014	1.028	1.023
100	3408.908	3295.251	3689.753	3364.619	0.995	1.008	1.008
101	3392.146	3306.934	3552.894	3378.863	0.999	1.013	1.003
102	3512.635	3390.040	3693.906	3531.053	1.044	1.058	1.039
103	3436.954	3389.228	3497.433	3430.538	1.015	1.028	1.017
104	3350.074	3266.717	3462.617	3339.496	0.988	1.001	0.991
105	3446.246	3182.024	3708.728	3402.351	1.006	1.020	1.019
106	3461.368	3263.704	3628.244	3504.356	1.037	1.050	1.024
107	3479.933	3345.188	3590.543	3474.195	1.028	1.041	1.029
108	3479.037	3247.901	3652.824	3515.087	1.040	1.053	1.029
109	3541.904	3394.865	3746.433	3559.882	1.053	1.067	1.048
110	3537.453	3330.581	3676.872	3535.142	1.046	1.059	1.046
111	3529.964	3415.844	3701.989	3502.763	1.036	1.050	1.044
112	3537.015	3428.393	3801.893	3519.396	1.041	1.055	1.046
113	3458.728	3359.834	3591.368	3443.033	1.018	1.032	1.023
114	3428.107	3321.842	3516.896	3438.639	1.017	1.030	1.014
115	3413.064	3296.192	3523.537	3409.717	1.009	1.022	1.010
116	3397.052	3320.509	3484.472	3393.942	1.004	1.017	1.005
117	3360.753	3268.589	3485.074	3358.561	0.993	1.006	0.994
118	3360.207	3228.491	3535.161	3339.610	0.988	1.001	0.994
119	3420.914	3296.334	3540.681	3418.101	1.011	1.024	1.012
120	3437.458	3374.383	3498.459	3435.632	1.016	1.030	1.017
121	3369.480	3281.921	3471.702	3362.539	0.995	1.008	0.997
122	3368.020	3312.559	3462.584	3359.458	0.994	1.007	0.996
123	3430.187	3304.814	3555.690	3416.880	1.011	1.024	1.015
124	3412.882	3300.714	3593.802	3398.860	1.005	1.019	1.009
125	3486.404	3366.271	3691.863	3452.430	1.021	1.035	1.031
126	3450.137	3227.953	3599.945	3508.763	1.038	1.051	1.021
127	3441.491	3256.144	3614.644	3414.772	1.010	1.023	1.018
128	3395.371	3191.478	3505.866	3409.384	1.008	1.022	1.004
129	3397.189	3295.537	3531.578	3388.223	1.002	1.015	1.005
130	3410.923	3255.380	3550.043	3409.478	1.008	1.022	1.009
131	3402.495	3283.343	3499.993	3407.950	1.008	1.021	1.006
132	3404.265	3342.961	3477.781	3385.817	1.001	1.015	1.007
133	3374.729	3278.923	3450.855	3388.768	1.002	1.016	0.998
134	3362.121	3226.506	3448.691	3375.529	0.998	1.012	0.994
135	3400.706	3321.861	3513.002	3387.466	1.002	1.015	1.006
136	3367.937	3249.919	3468.030	3376.157	0.999	1.012	0.996
137	3367.083	3241.548	3452.989	3381.137	1.000	1.013	0.996
138	3381.455	3307.706	3439.603	3380.454	1.000	1.013	1.000
139	3445.498	3347.537	3570.836	3426.816	1.014	1.027	1.019
140	3462.254	3332.616	3618.929	3460.557	1.024	1.037	1.024
141	3435.961	3300.715	3587.524	3424.039	1.013	1.026	1.016
142	3437.187	3313.253	3660.732	3422.723	1.012	1.026	1.017
143	3376.228	3329.565	3415.124	3366.796	0.996	1.009	0.999
144	3382.065	3309.290	3431.096	3390.736	1.003	1.016	1.000
145	3438.746	3348.351	3611.889	3410.836	1.009	1.022	1.017
146	3420.275	3306.153	3567.378	3417.812	1.011	1.024	1.012
147	3422.252	3279.212	3593.545	3426.846	1.014	1.027	1.012
148	3388.423	3333.935	3566.878	3358.532	0.993	1.006	1.002
149	3365.511	3253.748	3472.492	3367.214	0.996	1.009	0.995
150	3366.845	3256.887	3458.140	3362.432	0.995	1.008	0.996
151	3370.041	3210.126	3461.781	3377.565	0.999	1.012	0.997
152	3413.249	3318.553	3565.088	3396.956	1.005	1.018	1.010
153	3383.592	3188.615	3512.264	3387.965	1.002	1.015	1.001
154	3392.389	3282.159	3499.522	3388.195	1.002	1.015	1.003
155	3354.375	3248.865	3488.987	3348.537	0.990	1.003	0.992
156	3419.106	3313.584	3545.184	3414.071	1.010	1.023	1.011
157	3399.428	3254.404	3515.880	3400.880	1.006	1.019	1.006
158	3400.280	3274.787	3509.658	3405.130	1.007	1.020	1.006
159	3369.202	3274.314	3447.093	3376.180	0.999	1.012	0.997
160	3369.004	3289.270	3449.983	3384.651	1.001	1.014	0.997
161	3371.005	3319.730	3435.540	3375.073	0.998	1.011	0.997
162	3338.545	3254.012	3450.235	3345.262	0.989	1.002	0.988
163	3360.693	3247.396	3516.924	3342.223	0.989	1.002	0.994
164	3361.917	3236.453	3512.134	3361.968	0.994	1.007	0.994
165	3332.708	3216.408	3452.986	3349.703	0.991	1.004	0.986
166	3362.813	3276.529	3526.913	3351.982	0.991	1.004	0.995
167	3411.653	3262.072	3529.062	3419.041	1.011	1.025	1.009
168	3361.035	3192.121	3468.912	3381.673	1.000	1.013	0.994
169	3378.231	3248.714	3556.266	3371.506	0.997	1.010	0.999
170	3340.888	3264.277	3443.779	3327.497	0.984	0.997	0.988
171	3343.095	3211.845	3406.771	3353.385	0.992	1.005	0.989
172	3344.951	3239.864	3432.202	3372.571	0.998	1.011	0.989
173	3404.357	3280.599	3526.215	3385.476	1.001	1.015	1.007
174	3358.922	3224.506	3510.972	3369.448	0.997	1.010	0.994
175	3377.333	3116.354	3525.162	3393.629	1.004	1.017	0.999
176	3416.247	3247.407	3539.104	3408.394	1.008	1.021	1.010
177	3365.073	3222.388	3473.985	3382.663	1.001	1.014	0.995
178	3428.415	3300.466	3549.259	3425.188	1.013	1.026	1.014
179	3444.754	3290.436	3565.055	3437.553	1.017	1.030	1.019
180	3408.458	3302.896	3561.938	3413.574	1.010	1.023	1.008
181	3416.923	3322.037	3547.156	3389.924	1.003	1.016	1.011
182	3406.362	3240.198	3658.080	3388.113	1.002	1.015	1.008
183	3368.429	3281.154	3467.082	3369.138	0.997	1.010	0.996
184	3456.484	3330.514	3669.541	3457.878	1.023	1.036	1.022
185	3404.169	3213.322	3531.812	3409.311	1.008	1.022	1.007
186	3405.527	3290.892	3509.790	3411.953	1.009	1.022	1.007
187	3441.875	3304.415	3689.704	3418.804	1.011	1.025	1.018
188	3513.625	3374.948	3607.187	3532.273	1.045	1.059	1.039
189	3453.385	3376.464	3589.961	3429.683	1.014	1.028	1.021
190	3476.124	3354.224	3595.202	3492.674	1.033	1.047	1.028
191	3446.271	3321.613	3525.033	3478.261	1.029	1.042	1.019
192	3434.748	3243.565	3685.771	3432.259	1.015	1.029	1.016
193	3402.905	3256.974	3553.854	3394.915	1.004	1.017	1.007
194	3415.632	3327.489	3532.794	3408.053	1.008	1.021	1.010
195	3399.115	3250.409	3638.324	3375.159	0.998	1.011	1.005
196	3386.798	3248.069	3705.664	3373.823	0.998	1.011	1.002
197	3421.871	3278.473	3586.197	3387.270	1.002	1.015	1.012
198	3493.054	3326.278	3666.052	3496.189	1.034	1.048	1.033
199	3481.380	3355.786	3584.433	3497.893	1.035	1.048	1.030
200	3483.069	3204.469	3627.788	3539.198	1.047	1.061	1.030
201	3495.394	3387.745	3654.982	3464.677	1.025	1.038	1.034
202	3442.836	3275.348	3589.534	3451.846	1.021	1.034	1.018
203	3466.447	3379.394	3665.582	3457.077	1.023	1.036	1.025
204	3402.956	3335.675	3464.916	3402.063	1.006	1.019	1.007
205	3459.888	3355.145	3555.188	3461.824	1.024	1.037	1.023
206	3485.227	3323.503	3642.824	3495.388	1.034	1.047	1.031
207	3529.067	3391.409	3615.408	3540.369	1.047	1.061	1.044
208	3482.371	3352.044	3584.618	3481.953	1.030	1.043	1.030
209	3444.684	3302.976	3585.444	3430.548	1.015	1.028	1.019
210	3394.083	3291.663	3496.320	3404.642	1.007	1.020	1.004
211	3472.591	3369.460	3614.532	3476.446	1.028	1.042	1.027
212	3517.730	3399.410	3651.712	3492.169	1.033	1.046	1.041
213	3423.966	3261.716	3613.683	3385.951	1.002	1.015	1.013
214	3375.985	3219.321	3461.042	3407.617	1.008	1.021	0.999
215	3503.462	3373.433	3574.927	3518.683	1.041	1.054	1.036
216	3472.368	3371.473	3581.492	3484.509	1.031	1.044	1.027
217	3453.670	3320.759	3576.106	3469.460	1.026	1.040	1.022
218	3506.097	3362.785	3683.901	3492.331	1.033	1.047	1.037
