 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3631.288	3471.477	3739.760	3652.718	1.030	1.038	1.024
2	3660.838	3441.640	3845.414	3660.743	1.033	1.041	1.033
3	3702.916	3584.645	3907.937	3705.517	1.045	1.053	1.045
4	3631.943	3473.627	3956.872	3593.854	1.014	1.022	1.025
5	3560.923	3331.553	3697.188	3582.361	1.011	1.018	1.005
6	3546.795	3416.067	3664.850	3535.187	0.997	1.005	1.001
7	3580.439	3406.533	3710.916	3571.316	1.007	1.015	1.010
8	3559.006	3476.918	3655.268	3566.061	1.006	1.014	1.004
9	3569.218	3407.972	3671.485	3575.579	1.009	1.016	1.007
10	3613.181	3468.269	3696.000	3614.801	1.020	1.028	1.019
11	3661.519	3486.282	3943.154	3652.125	1.030	1.038	1.033
12	3635.211	3472.462	3950.512	3577.593	1.009	1.017	1.025
13	3589.119	3403.642	3795.114	3584.387	1.011	1.019	1.012
14	3551.755	3471.655	3760.059	3540.893	0.999	1.007	1.002
15	3542.220	3430.770	3650.937	3536.194	0.998	1.005	0.999
16	3535.576	3446.486	3719.393	3511.616	0.991	0.998	0.997
17	3592.401	3455.939	3743.707	3606.371	1.017	1.025	1.013
18	3564.061	3364.097	3759.134	3545.705	1.000	1.008	1.005
19	3595.768	3419.010	3726.531	3626.403	1.023	1.031	1.014
20	3604.538	3513.615	3768.549	3584.310	1.011	1.019	1.017
21	3537.871	3458.371	3640.343	3533.771	0.997	1.004	0.998
22	3536.201	3483.853	3625.953	3529.250	0.996	1.003	0.998
23	3559.062	3428.582	3655.403	3547.388	1.001	1.008	1.004
24	3597.003	3414.964	3791.372	3618.474	1.021	1.029	1.015
25	3566.388	3403.875	3795.646	3563.398	1.005	1.013	1.006
26	3497.797	3236.157	3782.094	3511.843	0.991	0.998	0.987
27	3495.648	3384.604	3607.378	3513.082	0.991	0.999	0.986
28	3485.733	3386.236	3550.288	3503.746	0.988	0.996	0.983
29	3552.948	3439.780	3641.361	3575.620	1.009	1.016	1.002
30	3499.028	3409.015	3677.430	3492.770	0.985	0.993	0.987
31	3516.217	3421.781	3660.060	3498.867	0.987	0.995	0.992
32	3596.514	3412.619	3920.680	3593.047	1.014	1.021	1.015
33	3619.246	3478.551	3846.948	3585.484	1.011	1.019	1.021
34	3583.777	3478.510	3689.287	3603.460	1.017	1.024	1.011
35	3562.594	3482.747	3643.924	3559.013	1.004	1.012	1.005
36	3572.974	3419.044	3793.666	3540.521	0.999	1.006	1.008
37	3603.942	3472.477	3872.703	3595.974	1.014	1.022	1.017
38	3564.478	3457.429	3650.823	3582.773	1.011	1.018	1.006
39	3602.057	3346.161	3771.382	3594.974	1.014	1.022	1.016
40	3600.905	3482.717	3896.636	3537.615	0.998	1.006	1.016
41	3688.483	3496.594	3919.000	3649.193	1.029	1.037	1.041
