 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3685.605	3356.029	3911.945	3706.764	1.165	1.172	1.158
2	3616.890	3462.691	3906.097	3601.831	1.132	1.139	1.137
3	3584.876	3468.501	3706.120	3576.378	1.124	1.131	1.126
4	3673.959	3497.794	3791.546	3701.140	1.163	1.170	1.154
5	3619.087	3474.955	3779.454	3621.588	1.138	1.145	1.137
6	3580.279	3447.727	3663.075	3606.004	1.133	1.140	1.125
7	3574.893	3449.280	3721.548	3582.731	1.126	1.133	1.123
8	3600.537	3473.306	3754.359	3586.000	1.127	1.134	1.131
9	3598.824	3475.888	3922.658	3553.982	1.117	1.124	1.131
10	3580.537	3436.055	3766.968	3553.828	1.117	1.124	1.125
11	3538.923	3446.609	3719.254	3510.699	1.103	1.110	1.112
12	3528.307	3383.503	3693.319	3490.698	1.097	1.104	1.109
13	3627.409	3403.513	3881.906	3607.562	1.134	1.141	1.140
14	3623.338	3502.518	3795.666	3604.704	1.133	1.140	1.139
15	3570.629	3427.727	3673.375	3588.147	1.127	1.135	1.122
16	3592.452	3473.171	3790.176	3585.485	1.127	1.134	1.129
17	3595.428	3497.485	3754.257	3578.656	1.125	1.132	1.130
18	3596.111	3519.976	3655.402	3599.767	1.131	1.138	1.130
19	3561.727	3415.171	3624.432	3582.114	1.126	1.133	1.119
20	3535.109	3421.771	3641.877	3539.490	1.112	1.119	1.111
21	3562.437	3399.556	3745.399	3554.328	1.117	1.124	1.119
22	3622.313	3480.345	3788.539	3619.227	1.137	1.144	1.138
23	3507.553	3388.849	3628.508	3512.372	1.104	1.111	1.102
24	3487.034	3340.622	3610.354	3482.921	1.094	1.101	1.096
25	3558.704	3469.559	3683.373	3558.046	1.118	1.125	1.118
26	3606.033	3468.139	3748.581	3601.393	1.132	1.139	1.133
27	3653.916	3402.763	3967.904	3654.155	1.148	1.155	1.148
28	3592.115	3347.964	3800.693	3588.231	1.128	1.135	1.129
29	3566.719	3457.143	3738.672	3545.732	1.114	1.121	1.121
30	3568.842	3455.550	3662.635	3581.893	1.126	1.133	1.121
31	3669.271	3533.475	3806.415	3679.585	1.156	1.164	1.153
32	3632.286	3431.939	3773.193	3677.229	1.155	1.163	1.141
33	3642.259	3475.694	3912.465	3609.229	1.134	1.141	1.145
34	3613.432	3496.118	3784.157	3582.934	1.126	1.133	1.135
35	3610.042	3499.441	3795.158	3586.660	1.127	1.134	1.134
36	3596.898	3498.569	3769.272	3577.841	1.124	1.131	1.130
37	3605.785	3506.849	3827.334	3557.989	1.118	1.125	1.133
38	3631.668	3481.566	3896.846	3588.791	1.128	1.135	1.141
39	3512.094	3335.029	3707.541	3514.480	1.104	1.111	1.104
40	3550.150	3365.363	3706.281	3563.942	1.120	1.127	1.116
41	3598.517	3501.101	3784.040	3557.604	1.118	1.125	1.131
