 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3336.890	3229.990	3410.578	3329.013	1.022	1.024	1.024
2	3326.641	3188.340	3495.606	3322.438	1.020	1.022	1.021
3	3318.117	3186.752	3438.594	3331.399	1.023	1.024	1.019
4	3358.177	3230.449	3490.813	3345.222	1.027	1.029	1.031
5	3370.698	3251.159	3507.366	3358.346	1.031	1.033	1.035
6	3309.224	3259.252	3359.112	3310.866	1.016	1.018	1.016
7	3298.749	3250.042	3357.882	3296.228	1.012	1.014	1.013
8	3327.558	3255.425	3513.295	3304.739	1.014	1.016	1.021
9	3360.378	3256.346	3446.572	3388.850	1.040	1.042	1.031
10	3347.283	3221.541	3423.351	3373.781	1.036	1.037	1.027
11	3366.522	3282.406	3502.455	3345.946	1.027	1.029	1.033
12	3374.468	3280.337	3466.110	3380.498	1.038	1.040	1.036
13	3337.209	3265.720	3459.722	3308.261	1.015	1.017	1.024
14	3329.557	3218.962	3417.508	3314.288	1.017	1.019	1.022
15	3326.196	3224.617	3434.543	3322.052	1.020	1.022	1.021
16	3362.166	3321.328	3455.248	3348.141	1.028	1.030	1.032
17	3366.856	3288.057	3429.667	3372.823	1.035	1.037	1.033
18	3373.306	3301.052	3501.898	3363.629	1.032	1.034	1.035
19	3358.236	3251.586	3486.610	3360.310	1.031	1.033	1.031
20	3364.502	3273.959	3475.497	3347.959	1.028	1.030	1.033
21	3346.160	3266.697	3437.401	3341.766	1.026	1.028	1.027
22	3314.669	3214.263	3365.792	3327.112	1.021	1.023	1.017
23	3282.619	3164.536	3470.247	3266.977	1.003	1.005	1.008
24	3289.070	3145.370	3417.324	3305.112	1.015	1.016	1.010
25	3280.642	3188.739	3400.785	3281.485	1.007	1.009	1.007
26	3339.189	3286.475	3434.919	3319.593	1.019	1.021	1.025
27	3402.210	3238.476	3543.792	3398.848	1.043	1.045	1.044
28	3387.870	3217.292	3548.175	3362.676	1.032	1.034	1.040
29	3340.485	3235.986	3517.844	3304.731	1.014	1.016	1.025
30	3307.540	3202.967	3393.232	3303.618	1.014	1.016	1.015
31	3285.780	3223.458	3348.552	3283.513	1.008	1.010	1.009
32	3317.273	3228.146	3396.156	3321.721	1.020	1.021	1.018
33	3326.584	3223.755	3424.251	3317.961	1.018	1.020	1.021
34	3318.868	3197.134	3386.376	3355.310	1.030	1.032	1.019
35	3297.781	3206.894	3475.086	3271.997	1.004	1.006	1.012
36	3342.627	3258.627	3485.253	3326.864	1.021	1.023	1.026
37	3320.414	3238.420	3429.309	3312.646	1.017	1.019	1.019
38	3321.932	3223.206	3476.102	3308.199	1.015	1.017	1.020
39	3325.121	3222.602	3458.338	3320.681	1.019	1.021	1.021
40	3333.773	3277.866	3408.153	3316.167	1.018	1.020	1.023
41	3297.755	3259.602	3414.952	3274.970	1.005	1.007	1.012
42	3313.559	3218.750	3481.383	3279.909	1.007	1.009	1.017
43	3303.074	3177.523	3389.756	3309.212	1.016	1.018	1.014
44	3347.467	3266.128	3415.060	3344.218	1.027	1.028	1.028
45	3398.486	3303.967	3490.690	3382.390	1.038	1.040	1.043
46	3358.983	3255.598	3543.260	3326.185	1.021	1.023	1.031
47	3383.491	3209.206	3611.631	3361.296	1.032	1.034	1.039
48	3403.398	3283.856	3717.011	3347.441	1.028	1.029	1.045
49	3371.801	3252.656	3598.538	3365.175	1.033	1.035	1.035
50	3393.550	3241.205	3580.021	3348.898	1.028	1.030	1.042
51	3384.577	3224.195	3599.100	3347.966	1.028	1.030	1.039
52	3422.417	3230.202	3569.929	3407.940	1.046	1.048	1.051
53	3408.453	3280.667	3517.852	3429.518	1.053	1.055	1.046
54	3393.615	3344.094	3481.621	3380.547	1.038	1.040	1.042
55	3387.436	3199.151	3599.714	3356.355	1.030	1.032	1.040
56	3390.996	3119.257	3593.272	3372.748	1.035	1.037	1.041
57	3395.972	3280.048	3575.783	3373.397	1.035	1.037	1.042
58	3370.976	3235.264	3518.174	3367.272	1.034	1.035	1.035
59	3408.770	3314.000	3488.391	3423.543	1.051	1.053	1.046
60	3441.265	3304.749	3687.673	3418.708	1.049	1.051	1.056
61	3384.778	3290.234	3522.298	3369.119	1.034	1.036	1.039
62	3361.657	3264.597	3549.930	3315.699	1.018	1.020	1.032
63	3351.600	3176.922	3561.342	3355.789	1.030	1.032	1.029
64	3347.846	3247.542	3412.786	3362.376	1.032	1.034	1.028
65	3348.567	3298.638	3406.274	3340.987	1.026	1.027	1.028
66	3375.866	3266.716	3500.720	3366.476	1.033	1.035	1.036
67	3361.725	3297.684	3426.227	3361.548	1.032	1.034	1.032
68	3298.551	3226.519	3398.281	3295.905	1.012	1.014	1.012
69	3327.565	3246.417	3415.352	3324.923	1.021	1.022	1.021
70	3318.412	3239.094	3379.146	3317.278	1.018	1.020	1.019
71	3354.650	3202.456	3494.731	3353.163	1.029	1.031	1.030
72	3344.603	3272.865	3439.117	3344.321	1.027	1.028	1.027
73	3317.117	3256.607	3374.597	3324.676	1.021	1.022	1.018
74	3278.972	3170.562	3375.595	3283.168	1.008	1.010	1.006
75	3316.474	3192.516	3434.936	3325.276	1.021	1.023	1.018
76	3323.717	3250.989	3483.901	3299.956	1.013	1.015	1.020
77	3295.600	3231.097	3398.397	3306.197	1.015	1.017	1.012
78	3283.373	3167.217	3410.110	3284.470	1.008	1.010	1.008
79	3299.391	3195.390	3378.556	3309.735	1.016	1.018	1.013
80	3342.397	3258.798	3429.975	3345.575	1.027	1.029	1.026
81	3333.730	3230.617	3427.955	3328.985	1.022	1.024	1.023
82	3383.849	3231.872	3569.857	3394.888	1.042	1.044	1.039
83	3348.105	3232.837	3450.683	3361.262	1.032	1.034	1.028
84	3341.216	3200.334	3470.577	3335.642	1.024	1.026	1.026
85	3335.221	3214.246	3514.171	3325.614	1.021	1.023	1.024
86	3295.786	3195.602	3367.404	3302.314	1.014	1.015	1.012
87	3279.816	3176.780	3351.661	3282.709	1.008	1.009	1.007
88	3348.835	3244.000	3543.962	3323.066	1.020	1.022	1.028
89	3361.951	3229.622	3497.984	3359.008	1.031	1.033	1.032
90	3319.113	3259.681	3404.460	3326.221	1.021	1.023	1.019
91	3263.245	3123.202	3332.738	3281.588	1.007	1.009	1.002
92	3301.864	3185.897	3594.102	3262.032	1.001	1.003	1.014
93	3322.962	3229.768	3492.678	3314.854	1.018	1.019	1.020
94	3297.060	3213.706	3387.646	3294.426	1.011	1.013	1.012
95	3274.796	3136.310	3344.792	3295.428	1.012	1.013	1.005
96	3312.985	3241.903	3362.446	3310.792	1.016	1.018	1.017
97	3325.857	3268.612	3420.075	3323.370	1.020	1.022	1.021
98	3296.194	3186.047	3402.149	3303.944	1.014	1.016	1.012
99	3264.886	3186.204	3347.961	3253.041	0.999	1.000	1.002
100	3329.646	3236.038	3417.182	3332.129	1.023	1.025	1.022
101	3303.466	3151.743	3441.082	3297.147	1.012	1.014	1.014
102	3353.278	3224.119	3461.968	3370.964	1.035	1.037	1.029
103	3409.382	3298.238	3477.430	3430.941	1.053	1.055	1.047
104	3386.962	3234.419	3466.390	3396.765	1.043	1.045	1.040
105	3349.808	3170.037	3587.762	3316.379	1.018	1.020	1.028
106	3349.733	3173.730	3533.148	3351.952	1.029	1.031	1.028
107	3347.870	3206.656	3446.873	3363.545	1.032	1.034	1.028
108	3370.343	3294.729	3449.649	3387.113	1.040	1.042	1.035
109	3365.842	3250.734	3488.969	3371.414	1.035	1.037	1.033
110	3419.709	3285.136	3556.368	3413.985	1.048	1.050	1.050
111	3438.778	3365.770	3515.114	3436.450	1.055	1.057	1.056
112	3431.210	3372.965	3500.452	3431.570	1.053	1.055	1.053
113	3476.219	3324.861	3617.860	3488.185	1.071	1.073	1.067
114	3541.487	3404.467	3631.284	3550.503	1.090	1.092	1.087
115	3483.247	3288.685	3743.905	3445.988	1.058	1.060	1.069
116	3538.470	3344.272	3837.797	3487.162	1.070	1.072	1.086
117	3496.176	3222.871	3688.091	3517.454	1.080	1.082	1.073
118	3553.795	3388.626	3734.121	3554.449	1.091	1.093	1.091
119	3543.511	3442.582	3632.105	3553.108	1.091	1.093	1.088
120	3539.960	3341.382	3677.335	3560.650	1.093	1.095	1.087
121	3513.190	3325.583	3676.559	3496.865	1.073	1.075	1.078
122	3602.772	3304.980	3880.680	3598.806	1.105	1.107	1.106
123	3549.420	3326.895	3778.784	3537.823	1.086	1.088	1.090
124	3464.679	3322.926	3634.903	3458.019	1.061	1.063	1.063
125	3432.840	3306.262	3587.499	3426.991	1.052	1.054	1.054
126	3446.408	3343.992	3514.533	3449.219	1.059	1.061	1.058
127	3405.440	3272.186	3537.581	3400.696	1.044	1.046	1.045
128	3475.618	3370.282	3569.331	3485.040	1.070	1.072	1.067
129	3439.029	3301.391	3662.259	3435.955	1.055	1.057	1.056
130	3491.395	3356.907	3648.319	3442.370	1.057	1.059	1.072
131	3533.799	3365.856	3745.909	3512.673	1.078	1.080	1.085
132	3607.177	3374.869	3790.734	3652.452	1.121	1.123	1.107
133	3551.064	3360.885	3769.784	3555.835	1.091	1.093	1.090
134	3479.980	3381.075	3610.021	3479.444	1.068	1.070	1.068
135	3414.611	3294.750	3587.598	3388.737	1.040	1.042	1.048
136	3419.352	3342.156	3507.287	3420.480	1.050	1.052	1.050
137	3418.710	3182.540	3527.016	3441.266	1.056	1.058	1.049
138	3378.562	3223.907	3450.808	3415.552	1.048	1.050	1.037
139	3467.542	3387.291	3705.078	3436.760	1.055	1.057	1.064
140	3476.994	3401.878	3595.819	3466.526	1.064	1.066	1.067
141	3443.142	3335.880	3541.369	3453.431	1.060	1.062	1.057
142	3444.852	3288.360	3599.598	3431.027	1.053	1.055	1.057
143	3453.635	3358.348	3635.215	3445.417	1.058	1.059	1.060
144	3466.180	3336.947	3557.678	3483.352	1.069	1.071	1.064
145	3488.706	3318.437	3699.604	3493.562	1.072	1.074	1.071
146	3482.612	3393.889	3607.166	3484.274	1.070	1.071	1.069
147	3466.929	3334.611	3618.903	3449.243	1.059	1.061	1.064
148	3466.489	3311.253	3562.353	3461.040	1.062	1.064	1.064
149	3494.454	3431.343	3550.033	3491.994	1.072	1.074	1.073
150	3530.574	3331.991	3628.823	3562.956	1.094	1.096	1.084
151	3513.026	3315.100	3678.838	3526.621	1.083	1.084	1.078
152	3604.761	3487.781	3884.463	3553.988	1.091	1.093	1.106
153	3508.966	3402.267	3645.706	3497.807	1.074	1.076	1.077
154	3493.181	3331.752	3750.438	3431.088	1.053	1.055	1.072
155	3457.698	3300.330	3675.753	3447.098	1.058	1.060	1.061
156	3461.291	3248.916	3710.676	3463.227	1.063	1.065	1.062
157	3478.668	3245.492	3648.266	3497.413	1.074	1.075	1.068
158	3520.033	3393.214	3660.137	3500.183	1.074	1.076	1.080
159	3572.566	3378.199	3710.164	3578.116	1.098	1.100	1.097
160	3555.398	3410.360	3699.748	3559.236	1.093	1.094	1.091
161	3560.031	3307.732	3836.175	3551.772	1.090	1.092	1.093
162	3573.411	3360.368	3833.757	3547.279	1.089	1.091	1.097
163	3566.448	3405.251	3742.936	3581.094	1.099	1.101	1.095
164	3563.320	3310.245	3815.325	3573.323	1.097	1.099	1.094
165	3573.225	3411.559	3756.167	3602.420	1.106	1.108	1.097
166	3595.475	3436.389	3720.592	3598.107	1.104	1.106	1.104
167	3460.242	3335.463	3616.837	3457.101	1.061	1.063	1.062
168	3440.599	3311.630	3543.365	3448.424	1.059	1.060	1.056
169	3497.423	3376.628	3732.147	3436.948	1.055	1.057	1.074
170	3553.831	3423.844	3698.295	3563.048	1.094	1.096	1.091
171	3522.342	3394.632	3653.565	3525.033	1.082	1.084	1.081
172	3533.140	3422.935	3669.284	3523.525	1.082	1.083	1.085
173	3582.481	3429.205	3754.359	3577.284	1.098	1.100	1.100
174	3561.747	3465.273	3741.443	3543.361	1.088	1.090	1.093
175	3553.313	3462.137	3626.667	3558.466	1.092	1.094	1.091
176	3471.116	3355.779	3606.771	3464.138	1.063	1.065	1.065
177	3469.329	3393.708	3625.790	3448.035	1.058	1.060	1.065
178	3497.697	3321.897	3625.016	3521.281	1.081	1.083	1.074
179	3571.570	3361.744	3658.487	3577.178	1.098	1.100	1.096
180	3580.569	3368.766	3735.915	3575.163	1.097	1.099	1.099
181	3607.439	3308.627	3849.335	3600.054	1.105	1.107	1.107
182	3578.537	3459.009	3757.897	3546.697	1.089	1.091	1.098
183	3547.943	3458.911	3685.528	3547.970	1.089	1.091	1.089
