 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3696.872	3557.267	3893.247	3701.738	1.134	1.136	1.132
2	3723.640	3538.051	3828.461	3719.341	1.139	1.141	1.140
3	3770.968	3598.244	3985.871	3767.284	1.154	1.156	1.155
4	3766.134	3526.744	4226.265	3686.615	1.129	1.131	1.153
5	3716.750	3490.358	4050.614	3655.836	1.120	1.122	1.138
6	3617.888	3440.865	3829.202	3606.247	1.104	1.107	1.108
7	3617.748	3493.792	3728.406	3620.463	1.109	1.111	1.108
8	3624.210	3554.538	3739.628	3605.410	1.104	1.106	1.110
9	3599.641	3432.739	3829.491	3591.571	1.100	1.102	1.102
10	3608.680	3461.785	3746.949	3623.976	1.110	1.112	1.105
11	3621.870	3280.504	3732.930	3658.597	1.120	1.123	1.109
12	3600.426	3517.605	3779.185	3575.721	1.095	1.097	1.103
13	3586.009	3425.276	3765.435	3589.195	1.099	1.101	1.098
14	3581.262	3438.131	3735.847	3584.453	1.098	1.100	1.097
15	3571.028	3394.734	3683.638	3583.368	1.097	1.100	1.094
16	3558.543	3366.013	3679.650	3576.567	1.095	1.097	1.090
17	3534.697	3417.288	3727.652	3525.027	1.080	1.082	1.082
18	3547.603	3412.484	3682.936	3550.467	1.087	1.089	1.086
19	3469.539	3357.147	3589.871	3471.630	1.063	1.065	1.063
20	3425.408	3357.050	3553.603	3417.689	1.047	1.049	1.049
21	3466.415	3362.687	3595.098	3448.020	1.056	1.058	1.062
22	3492.526	3356.663	3654.965	3494.310	1.070	1.072	1.070
23	3467.059	3321.097	3721.506	3435.251	1.052	1.054	1.062
24	3525.748	3364.163	3797.564	3499.052	1.072	1.074	1.080
25	3480.313	3317.218	3658.515	3499.722	1.072	1.074	1.066
26	3544.273	3477.286	3646.396	3541.178	1.084	1.087	1.085
27	3570.850	3411.462	3683.893	3593.589	1.101	1.103	1.094
28	3479.913	3302.904	3606.490	3501.558	1.072	1.074	1.066
29	3538.166	3388.330	3677.996	3542.434	1.085	1.087	1.084
30	3552.080	3387.642	3631.635	3590.615	1.100	1.102	1.088
31	3528.871	3402.751	3614.721	3544.530	1.085	1.088	1.081
32	3502.168	3322.053	3710.646	3491.193	1.069	1.071	1.073
33	3538.492	3415.848	3673.162	3519.754	1.078	1.080	1.084
34	3565.624	3388.894	3893.619	3528.610	1.081	1.083	1.092
35	3548.012	3441.450	3689.044	3531.539	1.082	1.084	1.087
36	3573.993	3376.688	3765.282	3600.651	1.103	1.105	1.095
37	3618.984	3501.805	3707.863	3630.700	1.112	1.114	1.108
38	3702.100	3414.499	3937.217	3732.002	1.143	1.145	1.134
39	3779.883	3481.626	4168.711	3751.049	1.149	1.151	1.158
40	3853.317	3430.029	4369.595	3799.505	1.164	1.166	1.180
41	3918.579	3411.655	4790.112	3787.878	1.160	1.162	1.200
42	3860.234	3371.227	4853.100	3748.108	1.148	1.150	1.182
43	3740.511	3509.715	4167.343	3693.459	1.131	1.133	1.145
44	3767.060	3433.358	4080.175	3798.228	1.163	1.165	1.154
45	3759.989	3454.179	4171.300	3755.674	1.150	1.152	1.151
46	3713.098	3504.123	4060.705	3707.476	1.135	1.138	1.137
47	3653.588	3464.054	3791.118	3670.705	1.124	1.126	1.119
48	3578.799	3379.582	3743.480	3606.555	1.104	1.107	1.096
49	3519.170	3479.301	3574.888	3514.954	1.076	1.079	1.078
50	3482.310	3361.562	3575.196	3478.825	1.065	1.067	1.066
51	3565.977	3432.448	3910.509	3527.218	1.080	1.082	1.092
52	3585.271	3404.784	3784.584	3574.837	1.095	1.097	1.098
53	3585.466	3418.436	3762.624	3575.445	1.095	1.097	1.098
54	3595.501	3370.790	3775.701	3591.690	1.100	1.102	1.101
55	3596.256	3453.645	3732.275	3586.852	1.098	1.101	1.101
56	3522.975	3422.140	3614.965	3526.192	1.080	1.082	1.079
57	3467.816	3336.506	3677.488	3460.234	1.060	1.062	1.062
58	3519.688	3332.806	3633.333	3522.574	1.079	1.081	1.078
59	3604.292	3495.642	3694.336	3624.383	1.110	1.112	1.104
60	3526.700	3437.342	3627.081	3531.560	1.082	1.084	1.080
61	3520.072	3323.604	3604.120	3533.050	1.082	1.084	1.078
62	3514.695	3396.224	3701.137	3491.733	1.069	1.071	1.076
63	3447.964	3272.832	3606.615	3461.057	1.060	1.062	1.056
64	3452.488	3350.586	3639.511	3408.268	1.044	1.046	1.057
65	3429.310	3264.354	3578.224	3426.042	1.049	1.051	1.050
66	3438.552	3183.707	3624.904	3456.875	1.059	1.061	1.053
67	3473.923	3326.952	3537.090	3503.866	1.073	1.075	1.064
68	3504.728	3348.071	3677.504	3515.307	1.077	1.079	1.073
69	3491.557	3272.208	3787.120	3460.587	1.060	1.062	1.069
70	3463.290	3366.815	3623.225	3468.065	1.062	1.064	1.061
71	3513.598	3365.483	3701.715	3485.716	1.067	1.070	1.076
72	3533.019	3411.415	3691.660	3509.804	1.075	1.077	1.082
73	3502.667	3350.917	3626.993	3522.008	1.079	1.081	1.073
74	3531.741	3385.347	3640.676	3543.051	1.085	1.087	1.082
75	3512.941	3409.076	3662.185	3514.888	1.076	1.079	1.076
76	3567.378	3466.912	3700.971	3548.117	1.087	1.089	1.092
77	3617.518	3421.078	3870.860	3602.401	1.103	1.105	1.108
78	3639.452	3368.889	4032.464	3597.729	1.102	1.104	1.115
79	3576.288	3383.590	3745.196	3565.697	1.092	1.094	1.095
80	3597.627	3532.615	3648.979	3604.794	1.104	1.106	1.102
81	3619.218	3503.106	3772.886	3627.398	1.111	1.113	1.108
82	3533.763	3429.031	3633.846	3541.845	1.085	1.087	1.082
83	3502.394	3337.544	3651.694	3471.202	1.063	1.065	1.073
84	3531.957	3271.788	3688.693	3547.097	1.086	1.088	1.082
85	3576.786	3374.152	3715.132	3631.084	1.112	1.114	1.095
86	3585.831	3500.189	3761.784	3566.809	1.092	1.094	1.098
87	3602.332	3388.354	3837.767	3620.369	1.109	1.111	1.103
88	3600.846	3422.794	3734.821	3635.859	1.113	1.116	1.103
89	3585.093	3363.306	3799.255	3591.082	1.100	1.102	1.098
90	3631.507	3436.406	3796.452	3614.041	1.107	1.109	1.112
91	3606.859	3356.335	3735.941	3610.562	1.106	1.108	1.105
92	3579.608	3477.478	3746.586	3571.157	1.094	1.096	1.096
93	3588.466	3440.516	3674.749	3618.008	1.108	1.110	1.099
94	3600.343	3382.459	3753.255	3647.062	1.117	1.119	1.103
95	3643.431	3444.154	3946.199	3639.999	1.115	1.117	1.116
96	3580.168	3422.741	3761.870	3574.497	1.095	1.097	1.096
97	3575.756	3459.993	3873.204	3543.640	1.085	1.087	1.095
98	3520.270	3406.955	3615.536	3529.336	1.081	1.083	1.078
99	3525.749	3300.645	3687.146	3534.438	1.082	1.085	1.080
100	3573.760	3317.773	3923.757	3512.028	1.076	1.078	1.094
101	3626.190	3375.810	4023.459	3583.713	1.097	1.100	1.110
102	3580.870	3414.936	3812.711	3551.932	1.088	1.090	1.097
103	3554.403	3283.842	3827.595	3522.065	1.079	1.081	1.089
