 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3572.211	3401.044	3720.432	3550.106	1.117	1.123	1.124
2	3684.447	3562.492	3840.282	3687.351	1.160	1.167	1.159
3	3624.857	3450.016	3904.538	3617.221	1.138	1.145	1.140
4	3597.177	3469.592	3720.175	3597.011	1.132	1.138	1.132
5	3606.524	3507.916	3781.056	3570.677	1.123	1.130	1.135
6	3530.044	3412.740	3668.179	3543.025	1.115	1.121	1.111
7	3548.206	3474.006	3628.130	3541.658	1.114	1.121	1.116
8	3605.536	3502.299	3717.043	3610.792	1.136	1.143	1.134
9	3623.947	3211.662	3793.038	3714.910	1.169	1.176	1.140
10	3555.955	3400.407	3710.683	3573.663	1.124	1.131	1.119
11	3537.928	3455.052	3664.376	3543.759	1.115	1.121	1.113
12	3566.488	3463.391	3675.104	3558.086	1.119	1.126	1.122
13	3525.869	3311.772	3685.907	3558.856	1.120	1.126	1.109
14	3501.558	3355.696	3611.843	3526.445	1.110	1.116	1.102
15	3624.776	3498.946	3720.359	3646.669	1.147	1.154	1.140
16	3658.511	3473.709	3805.205	3662.985	1.152	1.159	1.151
17	3600.777	3531.017	3760.097	3579.129	1.126	1.133	1.133
18	3524.358	3418.719	3659.151	3503.542	1.102	1.109	1.109
19	3490.903	3347.842	3627.155	3496.961	1.100	1.107	1.098
20	3519.622	3368.615	3626.164	3518.277	1.107	1.113	1.107
21	3538.766	3429.212	3606.116	3535.405	1.112	1.119	1.113
22	3546.208	3387.047	3681.867	3556.100	1.119	1.125	1.116
23	3594.792	3398.134	3882.919	3578.021	1.126	1.132	1.131
24	3606.336	3417.487	3894.062	3569.972	1.123	1.130	1.135
25	3630.741	3522.708	3825.509	3614.236	1.137	1.144	1.142
26	3591.258	3486.073	3730.838	3581.620	1.127	1.133	1.130
27	3627.248	3461.175	3846.845	3595.424	1.131	1.138	1.141
28	3618.179	3508.221	3721.246	3614.393	1.137	1.144	1.138
29	3570.573	3354.878	3765.732	3553.427	1.118	1.125	1.123
30	3537.290	3344.760	3769.659	3534.913	1.112	1.119	1.113
31	3496.041	3415.259	3790.849	3478.237	1.094	1.101	1.100
32	3519.061	3391.689	3706.465	3514.235	1.106	1.112	1.107
33	3529.427	3303.383	3733.865	3523.911	1.109	1.115	1.110
34	3561.560	3462.180	3803.138	3513.417	1.105	1.112	1.121
35	3528.569	3417.904	3743.649	3499.166	1.101	1.107	1.110
36	3477.441	3344.055	3708.958	3443.261	1.083	1.090	1.094
37	3520.897	3289.577	3824.771	3523.170	1.108	1.115	1.108
