 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3340.540	3303.959	3418.849	3333.615	1.071	1.074	1.074
2	3317.108	3158.373	3459.814	3317.519	1.066	1.069	1.066
3	3331.259	3233.271	3421.354	3338.531	1.073	1.076	1.071
4	3318.485	3217.167	3415.113	3311.697	1.064	1.067	1.066
5	3387.631	3271.105	3507.141	3400.901	1.093	1.096	1.089
6	3353.811	3191.022	3418.710	3371.877	1.084	1.087	1.078
7	3350.468	3266.408	3463.191	3354.745	1.078	1.081	1.077
8	3334.703	3286.937	3427.395	3309.678	1.064	1.067	1.072
9	3302.068	3208.385	3417.674	3292.275	1.058	1.061	1.061
10	3338.962	3257.979	3437.943	3329.236	1.070	1.073	1.073
11	3325.093	3251.935	3415.685	3325.105	1.069	1.072	1.069
12	3296.372	3247.900	3377.032	3291.106	1.058	1.061	1.059
13	3331.022	3276.466	3455.761	3322.189	1.068	1.071	1.070
14	3371.851	3211.601	3479.020	3377.303	1.085	1.089	1.084
15	3300.057	3201.953	3384.914	3317.914	1.066	1.069	1.060
16	3311.863	3175.342	3415.600	3323.690	1.068	1.071	1.064
17	3301.036	3219.163	3430.659	3271.105	1.051	1.054	1.061
18	3294.341	3207.094	3441.819	3291.281	1.058	1.061	1.059
19	3313.582	3190.230	3412.572	3329.709	1.070	1.073	1.065
20	3338.155	3222.614	3516.945	3334.028	1.071	1.075	1.073
21	3342.040	3257.891	3468.402	3339.175	1.073	1.076	1.074
22	3332.694	3216.579	3401.543	3337.811	1.073	1.076	1.071
23	3329.844	3212.229	3459.387	3344.106	1.075	1.078	1.070
24	3345.491	3278.137	3444.592	3333.062	1.071	1.074	1.075
25	3347.559	3225.744	3474.303	3355.814	1.078	1.082	1.076
26	3339.944	3184.627	3469.946	3355.586	1.078	1.082	1.073
27	3325.596	3262.665	3452.529	3312.003	1.064	1.068	1.069
28	3322.859	3228.164	3432.971	3320.162	1.067	1.070	1.068
29	3323.383	3260.417	3443.746	3316.063	1.066	1.069	1.068
30	3296.114	3202.486	3361.104	3285.436	1.056	1.059	1.059
31	3292.371	3247.919	3351.736	3282.923	1.055	1.058	1.058
32	3273.434	3214.150	3317.516	3276.210	1.053	1.056	1.052
33	3281.780	3233.714	3354.420	3269.340	1.051	1.054	1.055
34	3336.102	3265.289	3409.608	3326.926	1.069	1.072	1.072
35	3332.607	3233.624	3469.926	3333.610	1.071	1.074	1.071
36	3329.439	3259.740	3440.033	3302.554	1.061	1.064	1.070
37	3317.083	3253.659	3420.877	3298.963	1.060	1.063	1.066
38	3347.247	3202.744	3455.941	3352.921	1.077	1.081	1.076
39	3348.772	3146.191	3501.709	3368.806	1.083	1.086	1.076
40	3357.426	3169.478	3545.333	3359.017	1.079	1.083	1.079
41	3345.590	3234.886	3461.203	3358.383	1.079	1.082	1.075
42	3337.637	3259.736	3427.716	3331.905	1.071	1.074	1.073
43	3368.341	3299.948	3490.580	3343.610	1.074	1.078	1.082
44	3331.628	3289.342	3359.988	3341.873	1.074	1.077	1.071
45	3307.252	3230.993	3395.620	3301.694	1.061	1.064	1.063
46	3358.765	3295.984	3420.647	3358.581	1.079	1.083	1.079
47	3334.173	3242.657	3412.186	3340.386	1.073	1.077	1.071
48	3312.760	3221.119	3380.695	3320.155	1.067	1.070	1.065
49	3330.655	3213.052	3431.498	3321.192	1.067	1.070	1.070
50	3356.711	3248.536	3465.013	3397.598	1.092	1.095	1.079
51	3315.353	3166.269	3483.127	3305.146	1.062	1.065	1.065
52	3343.130	3211.853	3531.180	3330.701	1.070	1.074	1.074
53	3347.597	3242.783	3432.914	3370.242	1.083	1.086	1.076
54	3293.755	3205.817	3384.277	3291.973	1.058	1.061	1.058
55	3309.119	3196.630	3503.726	3315.775	1.066	1.069	1.063
56	3331.010	3234.914	3476.212	3314.229	1.065	1.068	1.070
57	3333.674	3237.540	3387.207	3339.519	1.073	1.076	1.071
58	3360.861	3266.913	3454.325	3338.455	1.073	1.076	1.080
59	3359.568	3237.728	3445.229	3379.974	1.086	1.089	1.080
60	3346.577	3192.404	3450.509	3365.349	1.081	1.085	1.075
61	3340.928	3234.607	3403.290	3344.255	1.075	1.078	1.074
62	3349.176	3252.927	3416.489	3358.758	1.079	1.083	1.076
63	3376.007	3300.244	3521.521	3361.602	1.080	1.084	1.085
64	3346.175	3239.078	3426.024	3359.947	1.080	1.083	1.075
65	3390.782	3269.903	3562.119	3366.340	1.082	1.085	1.090
66	3349.251	3220.195	3433.648	3352.268	1.077	1.081	1.076
67	3351.665	3272.651	3470.675	3345.848	1.075	1.078	1.077
68	3373.055	3263.827	3480.088	3381.109	1.087	1.090	1.084
69	3333.940	3198.935	3438.522	3333.656	1.071	1.075	1.071
70	3318.724	3214.228	3450.174	3310.395	1.064	1.067	1.066
71	3335.528	3263.880	3446.469	3333.483	1.071	1.074	1.072
72	3332.398	3270.040	3435.492	3335.527	1.072	1.075	1.071
73	3340.670	3203.625	3410.606	3367.572	1.082	1.085	1.074
74	3356.040	3216.642	3470.006	3377.091	1.085	1.089	1.078
75	3308.284	3242.335	3406.246	3278.200	1.053	1.057	1.063
76	3332.911	3252.420	3424.982	3331.087	1.070	1.074	1.071
77	3328.038	3245.578	3448.338	3323.383	1.068	1.071	1.069
78	3309.922	3233.542	3454.038	3293.515	1.058	1.062	1.064
79	3291.013	3191.943	3418.340	3287.056	1.056	1.059	1.058
80	3323.496	3224.868	3386.283	3342.618	1.074	1.077	1.068
81	3314.423	3200.356	3402.488	3316.473	1.066	1.069	1.065
82	3348.826	3189.218	3465.830	3374.729	1.084	1.088	1.076
83	3323.951	3246.169	3486.270	3310.904	1.064	1.067	1.068
84	3342.739	3259.891	3414.639	3350.108	1.077	1.080	1.074
85	3338.993	3222.065	3455.513	3340.028	1.073	1.077	1.073
86	3315.486	3116.715	3475.622	3348.067	1.076	1.079	1.065
87	3317.513	3155.786	3476.663	3334.510	1.072	1.075	1.066
88	3361.001	3263.123	3580.835	3353.038	1.078	1.081	1.080
89	3318.113	3182.924	3447.789	3306.692	1.063	1.066	1.066
90	3307.859	3232.299	3426.233	3296.374	1.059	1.062	1.063
91	3349.064	3202.805	3513.505	3349.624	1.076	1.080	1.076
92	3321.774	3225.654	3380.475	3332.949	1.071	1.074	1.067
93	3306.677	3196.102	3411.612	3309.898	1.064	1.067	1.063
94	3293.788	3199.295	3397.039	3287.209	1.056	1.060	1.058
95	3310.010	3220.923	3426.421	3302.215	1.061	1.064	1.064
96	3294.087	3203.262	3365.637	3291.285	1.058	1.061	1.059
97	3295.605	3202.217	3401.902	3296.652	1.059	1.063	1.059
98	3311.847	3222.205	3406.252	3311.698	1.064	1.067	1.064
99	3311.744	3223.735	3402.726	3302.534	1.061	1.064	1.064
100	3312.148	3225.589	3409.941	3317.597	1.066	1.069	1.064
101	3300.899	3192.669	3358.351	3313.833	1.065	1.068	1.061
