 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3248.821	3193.634	3373.721	3228.304	0.931	0.931	0.937
2	3257.056	3194.937	3300.689	3256.246	0.939	0.939	0.940
3	3177.936	3101.401	3218.629	3185.575	0.919	0.919	0.917
4	3240.186	3194.660	3342.676	3223.985	0.930	0.930	0.935
5	3265.620	3182.803	3330.360	3274.342	0.945	0.945	0.942
6	3238.178	3160.752	3316.326	3238.363	0.934	0.934	0.934
7	3222.429	3156.332	3339.246	3206.645	0.925	0.925	0.930
8	3252.629	3177.597	3354.585	3244.955	0.936	0.936	0.938
9	3229.003	3088.167	3318.561	3232.108	0.933	0.933	0.932
10	3244.560	3191.817	3341.488	3225.623	0.931	0.931	0.936
11	3263.740	3148.746	3381.626	3257.300	0.940	0.940	0.942
12	3246.458	3154.989	3347.117	3223.685	0.930	0.930	0.937
13	3234.863	3110.730	3339.032	3257.687	0.940	0.940	0.933
14	3248.048	3145.381	3375.835	3259.141	0.940	0.940	0.937
15	3228.198	3131.041	3378.312	3222.554	0.930	0.930	0.931
16	3230.730	3079.655	3412.772	3223.146	0.930	0.930	0.932
17	3257.739	3156.341	3337.124	3272.051	0.944	0.944	0.940
18	3248.112	3107.157	3384.507	3238.378	0.934	0.934	0.937
19	3270.712	3159.356	3372.936	3273.139	0.944	0.944	0.944
20	3251.257	3193.757	3339.102	3241.167	0.935	0.935	0.938
21	3298.344	3199.581	3369.806	3303.627	0.953	0.953	0.952
22	3291.808	3244.308	3366.711	3287.692	0.949	0.949	0.950
23	3286.013	3142.082	3434.584	3290.977	0.950	0.950	0.948
24	3241.107	3125.795	3379.822	3212.209	0.927	0.927	0.935
25	3232.247	3126.938	3317.658	3236.466	0.934	0.934	0.933
26	3261.527	3174.011	3437.043	3235.566	0.934	0.934	0.941
27	3269.091	3166.480	3364.727	3275.434	0.945	0.945	0.943
28	3271.786	3149.354	3379.727	3283.282	0.947	0.947	0.944
29	3252.949	3135.698	3359.865	3256.874	0.940	0.940	0.939
30	3253.642	3170.092	3372.181	3221.782	0.930	0.930	0.939
31	3217.061	3149.500	3293.766	3206.500	0.925	0.925	0.928
32	3212.593	3157.821	3253.544	3219.641	0.929	0.929	0.927
33	3194.891	3092.580	3250.644	3204.646	0.925	0.925	0.922
34	3252.262	3200.016	3292.988	3260.716	0.941	0.941	0.938
35	3264.370	3212.742	3360.841	3250.138	0.938	0.938	0.942
36	3308.145	3168.190	3475.358	3301.929	0.953	0.953	0.954
37	3239.927	3079.013	3407.709	3237.392	0.934	0.934	0.935
38	3272.872	3133.729	3410.132	3286.194	0.948	0.948	0.944
39	3282.976	3188.559	3354.006	3277.748	0.946	0.946	0.947
40	3271.242	3224.606	3321.402	3262.122	0.941	0.941	0.944
41	3263.507	3187.450	3353.372	3272.261	0.944	0.944	0.942
42	3222.483	3188.583	3296.722	3215.471	0.928	0.928	0.930
43	3228.169	3167.368	3313.033	3197.137	0.922	0.922	0.931
44	3239.450	3176.868	3300.961	3237.455	0.934	0.934	0.935
45	3261.122	3167.058	3327.736	3258.654	0.940	0.940	0.941
46	3236.341	3162.567	3326.324	3243.655	0.936	0.936	0.934
47	3218.645	3132.973	3272.221	3224.421	0.930	0.930	0.929
