 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3360.905	3226.887	3488.042	3363.843	0.912	0.912	0.911
2	3404.694	3338.118	3480.450	3408.465	0.924	0.924	0.923
3	3400.160	3302.081	3491.298	3401.786	0.922	0.922	0.922
4	3392.565	3243.961	3566.232	3412.244	0.925	0.925	0.920
5	3386.230	3234.146	3517.368	3386.427	0.918	0.918	0.918
6	3403.746	3300.728	3512.883	3390.359	0.919	0.919	0.923
7	3377.046	3293.260	3458.884	3367.318	0.913	0.913	0.915
8	3384.873	3298.231	3425.417	3395.746	0.921	0.921	0.918
9	3384.800	3327.926	3452.057	3379.146	0.916	0.916	0.918
10	3373.697	3213.828	3486.795	3389.414	0.919	0.919	0.915
11	3361.691	3276.114	3456.833	3371.142	0.914	0.914	0.911
12	3362.148	3273.550	3433.926	3393.945	0.920	0.920	0.911
13	3393.696	3287.081	3460.257	3404.011	0.923	0.923	0.920
14	3426.910	3298.227	3538.947	3430.404	0.930	0.930	0.929
15	3395.492	3284.637	3588.901	3390.241	0.919	0.919	0.920
16	3414.974	3302.095	3535.597	3399.980	0.922	0.922	0.926
17	3405.204	3254.716	3492.964	3432.721	0.931	0.931	0.923
18	3347.266	3253.007	3435.611	3352.114	0.909	0.909	0.907
19	3422.910	3279.612	3592.317	3403.619	0.923	0.923	0.928
20	3362.098	3202.231	3493.911	3359.458	0.911	0.911	0.911
21	3348.600	3249.760	3512.605	3330.926	0.903	0.903	0.908
22	3376.790	3231.784	3464.139	3388.610	0.919	0.919	0.915
23	3404.140	3293.832	3486.724	3420.643	0.927	0.927	0.923
24	3383.277	3232.194	3465.219	3407.379	0.924	0.924	0.917
25	3396.378	3274.470	3470.692	3401.510	0.922	0.922	0.921
26	3367.633	3224.830	3527.132	3404.908	0.923	0.923	0.913
27	3332.803	3233.553	3405.798	3344.351	0.907	0.907	0.903
28	3329.351	3268.002	3452.821	3320.720	0.900	0.900	0.903
29	3418.558	3297.755	3527.168	3421.042	0.927	0.927	0.927
30	3361.407	3218.164	3498.750	3373.357	0.914	0.914	0.911
31	3353.230	3201.197	3475.220	3355.388	0.910	0.910	0.909
32	3313.138	3217.502	3407.280	3310.496	0.897	0.897	0.898
33	3349.927	3162.744	3492.879	3406.883	0.924	0.924	0.908
34	3378.430	3165.876	3573.213	3430.884	0.930	0.930	0.916
35	3331.267	3199.454	3418.024	3340.758	0.906	0.906	0.903
36	3334.678	3195.840	3488.670	3330.248	0.903	0.903	0.904
37	3375.472	3264.494	3577.068	3350.234	0.908	0.908	0.915
38	3348.119	3207.304	3453.177	3393.999	0.920	0.920	0.908
39	3309.579	3195.092	3459.877	3299.752	0.894	0.894	0.897
40	3353.316	3213.572	3469.420	3375.785	0.915	0.915	0.909
41	3343.041	3165.074	3472.420	3351.318	0.908	0.908	0.906
42	3336.896	3269.785	3468.521	3318.622	0.900	0.900	0.905
43	3350.039	3213.283	3437.182	3354.964	0.909	0.909	0.908
44	3349.546	3181.150	3548.769	3353.319	0.909	0.909	0.908
45	3389.780	3239.893	3548.239	3430.062	0.930	0.930	0.919
46	3337.517	3163.736	3495.296	3313.849	0.898	0.898	0.905
47	3357.057	3155.377	3617.297	3371.890	0.914	0.914	0.910
48	3338.646	3192.120	3447.777	3379.768	0.916	0.916	0.905
49	3322.187	3148.433	3498.648	3366.445	0.913	0.913	0.901
50	3367.343	3163.947	3576.602	3365.239	0.912	0.912	0.913
51	3360.959	3129.842	3487.164	3395.882	0.921	0.921	0.911
52	3332.358	3166.518	3430.286	3372.679	0.914	0.914	0.903
53	3345.067	3162.938	3449.956	3359.534	0.911	0.911	0.907
54	3366.792	3232.628	3562.551	3375.570	0.915	0.915	0.913
55	3399.226	3212.653	3575.027	3446.899	0.934	0.934	0.921
56	3395.457	3214.134	3531.071	3444.344	0.934	0.934	0.920
57	3364.936	3228.129	3597.332	3332.787	0.903	0.903	0.912
58	3333.973	3206.002	3485.663	3328.335	0.902	0.902	0.904
59	3364.971	3198.586	3478.192	3388.948	0.919	0.919	0.912
60	3348.419	3189.156	3464.366	3379.946	0.916	0.916	0.908
61	3348.711	3247.758	3445.444	3360.276	0.911	0.911	0.908
62	3384.802	3226.735	3572.846	3373.257	0.914	0.914	0.918
63	3361.804	3205.670	3511.878	3380.486	0.916	0.916	0.911
64	3338.025	3205.933	3467.185	3340.233	0.905	0.905	0.905
65	3347.425	3146.011	3514.871	3359.118	0.911	0.911	0.907
66	3351.934	3215.647	3467.044	3351.954	0.909	0.909	0.909
67	3341.870	3194.174	3442.864	3357.782	0.910	0.910	0.906
68	3374.503	3285.284	3520.316	3352.111	0.909	0.909	0.915
69	3351.720	3267.347	3445.161	3353.490	0.909	0.909	0.909
70	3344.660	3219.830	3459.336	3345.602	0.907	0.907	0.907
71	3428.388	3324.051	3581.646	3398.465	0.921	0.921	0.929
72	3384.723	3225.359	3536.692	3399.648	0.922	0.922	0.918
73	3381.163	3156.757	3528.505	3420.502	0.927	0.927	0.917
74	3374.658	3206.762	3452.686	3408.743	0.924	0.924	0.915
75	3398.024	3220.639	3548.954	3417.092	0.926	0.926	0.921
76	3383.792	3118.074	3513.067	3418.066	0.927	0.927	0.917
77	3416.408	3230.268	3539.397	3428.207	0.929	0.929	0.926
78	3375.290	3248.729	3526.705	3351.527	0.909	0.909	0.915
79	3372.521	3191.760	3501.819	3408.267	0.924	0.924	0.914
80	3354.544	3270.659	3425.330	3357.497	0.910	0.910	0.909
81	3381.440	3281.614	3492.514	3377.911	0.916	0.916	0.917
82	3367.369	3203.220	3517.461	3378.799	0.916	0.916	0.913
83	3445.159	3295.877	3581.199	3467.044	0.940	0.940	0.934
84	3393.428	3216.872	3495.174	3402.919	0.922	0.922	0.920
85	3347.539	3194.493	3448.052	3348.562	0.908	0.908	0.907
86	3383.230	3236.332	3505.399	3405.969	0.923	0.923	0.917
87	3412.777	3242.883	3598.946	3375.144	0.915	0.915	0.925
88	3380.682	3260.006	3514.351	3378.282	0.916	0.916	0.916
89	3391.044	3281.773	3490.932	3388.863	0.919	0.919	0.919
90	3356.714	3259.805	3454.340	3358.769	0.910	0.910	0.910
91	3366.388	3221.644	3438.158	3388.121	0.918	0.918	0.913
