 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3381.979	3296.979	3488.612	3376.767	1.059	1.066	1.061
2	3371.304	3263.165	3508.971	3387.172	1.063	1.070	1.058
3	3336.232	3276.541	3425.315	3335.067	1.046	1.053	1.047
4	3358.607	3225.128	3496.170	3361.977	1.055	1.062	1.054
5	3369.936	3301.200	3446.954	3363.055	1.055	1.062	1.057
6	3341.719	3259.081	3401.984	3348.940	1.051	1.057	1.048
7	3332.605	3192.639	3428.469	3350.813	1.051	1.058	1.046
8	3370.275	3265.310	3458.221	3369.679	1.057	1.064	1.057
9	3362.476	3211.318	3450.760	3394.148	1.065	1.072	1.055
10	3349.343	3297.697	3415.627	3344.037	1.049	1.056	1.051
11	3382.404	3328.255	3513.782	3370.291	1.057	1.064	1.061
12	3363.908	3271.447	3472.717	3377.474	1.060	1.066	1.055
13	3430.674	3350.363	3617.080	3401.379	1.067	1.074	1.076
14	3386.927	3313.224	3533.418	3392.622	1.064	1.071	1.063
15	3333.711	3287.084	3406.018	3326.984	1.044	1.051	1.046
16	3379.453	3287.921	3577.961	3377.632	1.060	1.067	1.060
17	3354.782	3294.314	3450.509	3343.739	1.049	1.056	1.052
18	3357.155	3283.512	3471.720	3342.118	1.049	1.055	1.053
19	3323.261	3275.843	3431.242	3307.186	1.038	1.044	1.043
20	3336.446	3254.071	3471.296	3317.985	1.041	1.048	1.047
21	3403.676	3336.716	3495.629	3391.317	1.064	1.071	1.068
22	3333.268	3242.489	3401.479	3335.536	1.046	1.053	1.046
23	3373.168	3252.878	3431.646	3409.664	1.070	1.077	1.058
24	3374.727	3275.312	3539.143	3358.630	1.054	1.061	1.059
25	3348.882	3291.151	3491.365	3328.706	1.044	1.051	1.051
26	3362.245	3289.510	3467.627	3345.728	1.050	1.056	1.055
27	3359.316	3212.854	3489.393	3356.116	1.053	1.060	1.054
28	3363.993	3306.501	3425.063	3358.497	1.054	1.060	1.055
29	3341.546	3214.879	3443.327	3354.178	1.052	1.059	1.048
30	3301.310	3198.454	3402.930	3315.057	1.040	1.047	1.036
31	3333.937	3249.725	3416.456	3332.824	1.046	1.052	1.046
32	3360.866	3289.280	3418.445	3357.579	1.053	1.060	1.054
33	3318.078	3216.804	3449.990	3280.178	1.029	1.036	1.041
34	3349.927	3202.779	3503.822	3334.482	1.046	1.053	1.051
35	3324.761	3172.412	3425.309	3341.970	1.048	1.055	1.043
36	3337.390	3289.987	3378.084	3343.357	1.049	1.056	1.047
37	3365.003	3267.169	3449.087	3358.975	1.054	1.061	1.056
38	3389.588	3316.164	3511.384	3384.512	1.062	1.069	1.063
39	3329.322	3274.301	3409.973	3313.311	1.039	1.046	1.044
40	3328.803	3263.635	3502.385	3313.238	1.039	1.046	1.044
41	3326.635	3212.193	3505.933	3345.010	1.049	1.056	1.044
42	3310.085	3234.101	3376.887	3310.799	1.039	1.045	1.038
43	3350.914	3269.707	3462.463	3343.904	1.049	1.056	1.051
44	3383.392	3310.531	3546.333	3360.436	1.054	1.061	1.061
45	3366.951	3236.369	3454.447	3368.317	1.057	1.064	1.056
46	3363.936	3181.950	3514.919	3374.611	1.059	1.066	1.055
47	3333.730	3257.231	3429.888	3329.123	1.044	1.051	1.046
48	3344.655	3282.521	3404.679	3343.650	1.049	1.056	1.049
49	3296.811	3215.888	3423.760	3291.684	1.033	1.039	1.034
50	3332.694	3211.196	3424.943	3342.503	1.049	1.055	1.046
51	3350.789	3270.212	3442.582	3330.967	1.045	1.052	1.051
52	3374.188	3254.997	3472.817	3360.264	1.054	1.061	1.059
53	3313.610	3247.117	3438.679	3303.484	1.036	1.043	1.040
54	3347.755	3245.057	3429.924	3353.470	1.052	1.059	1.050
55	3356.057	3254.221	3427.183	3360.671	1.054	1.061	1.053
56	3338.301	3245.571	3437.048	3331.221	1.045	1.052	1.047
57	3343.218	3255.264	3407.076	3356.839	1.053	1.060	1.049
58	3352.156	3316.942	3388.887	3353.846	1.052	1.059	1.052
