 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3501.847	3359.375	3646.421	3498.639	0.968	0.968	0.969
2	3503.800	3404.172	3643.277	3464.376	0.959	0.959	0.970
3	3479.885	3422.306	3574.694	3460.257	0.958	0.958	0.963
4	3479.277	3303.407	3592.602	3507.031	0.971	0.971	0.963
5	3517.309	3378.014	3604.741	3542.061	0.980	0.980	0.974
6	3550.052	3285.737	3721.293	3592.780	0.994	0.994	0.983
7	3500.893	3309.842	3724.279	3492.920	0.967	0.967	0.969
8	3573.842	3274.838	3768.926	3609.448	0.999	0.999	0.989
9	3483.156	3334.608	3616.125	3482.398	0.964	0.964	0.964
10	3464.158	3261.429	3724.748	3454.468	0.956	0.956	0.959
11	3472.515	3290.242	3589.848	3477.763	0.963	0.963	0.961
12	3425.973	3227.035	3572.125	3421.302	0.947	0.947	0.948
13	3475.500	3371.270	3585.305	3471.503	0.961	0.961	0.962
14	3441.764	3322.632	3625.251	3424.261	0.948	0.948	0.953
15	3452.894	3344.966	3623.983	3433.067	0.950	0.950	0.956
16	3458.937	3300.994	3596.641	3441.815	0.953	0.953	0.957
17	3461.014	3249.024	3608.314	3477.341	0.962	0.962	0.958
18	3521.944	3346.558	3608.692	3536.044	0.979	0.979	0.975
19	3499.634	3361.519	3595.877	3510.387	0.972	0.972	0.969
20	3504.864	3365.953	3636.356	3534.560	0.978	0.978	0.970
21	3492.616	3307.431	3674.068	3489.648	0.966	0.966	0.967
22	3444.176	3352.291	3536.721	3431.188	0.950	0.950	0.953
23	3476.309	3277.993	3578.878	3507.303	0.971	0.971	0.962
24	3451.812	3298.982	3646.493	3408.733	0.943	0.943	0.955
25	3451.747	3286.462	3639.409	3432.817	0.950	0.950	0.955
26	3479.075	3357.799	3629.289	3460.431	0.958	0.958	0.963
27	3456.663	3355.631	3603.879	3440.632	0.952	0.952	0.957
28	3457.007	3372.043	3527.110	3448.610	0.955	0.955	0.957
29	3510.002	3368.600	3722.517	3484.638	0.964	0.964	0.971
30	3486.395	3374.560	3558.943	3495.821	0.968	0.968	0.965
31	3451.031	3309.331	3597.252	3432.002	0.950	0.950	0.955
32	3475.434	3360.876	3537.493	3504.547	0.970	0.970	0.962
33	3503.802	3403.775	3584.497	3489.113	0.966	0.966	0.970
34	3417.619	3324.373	3585.597	3401.818	0.942	0.942	0.946
35	3418.462	3308.028	3552.249	3421.190	0.947	0.947	0.946
36	3499.011	3378.376	3584.933	3509.985	0.971	0.971	0.968
37	3472.382	3414.259	3528.836	3471.510	0.961	0.961	0.961
38	3482.193	3358.982	3564.162	3495.477	0.967	0.967	0.964
39	3484.992	3322.324	3640.500	3500.796	0.969	0.969	0.965
40	3470.865	3356.195	3550.929	3484.059	0.964	0.964	0.961
41	3489.823	3339.141	3648.069	3516.975	0.973	0.973	0.966
42	3483.459	3295.676	3637.310	3494.694	0.967	0.967	0.964
43	3511.295	3405.645	3630.243	3493.996	0.967	0.967	0.972
44	3532.299	3402.170	3644.632	3560.405	0.985	0.985	0.978
45	3473.127	3379.630	3548.370	3490.354	0.966	0.966	0.961
46	3464.056	3238.323	3584.960	3483.772	0.964	0.964	0.959
47	3475.492	3360.770	3592.094	3472.072	0.961	0.961	0.962
48	3489.985	3415.396	3580.000	3484.300	0.964	0.964	0.966
49	3515.410	3411.189	3628.854	3510.937	0.972	0.972	0.973
50	3525.199	3443.582	3621.576	3513.707	0.973	0.973	0.976
51	3494.845	3425.782	3588.503	3486.801	0.965	0.965	0.967
52	3496.135	3366.138	3622.435	3492.618	0.967	0.967	0.968
53	3496.260	3402.777	3617.280	3478.468	0.963	0.963	0.968
54	3490.058	3410.881	3600.607	3483.035	0.964	0.964	0.966
55	3471.057	3367.868	3576.093	3460.451	0.958	0.958	0.961
56	3499.670	3354.474	3640.269	3506.927	0.971	0.971	0.969
57	3512.179	3414.594	3622.094	3508.305	0.971	0.971	0.972
58	3515.494	3267.228	3660.036	3508.697	0.971	0.971	0.973
59	3515.776	3311.622	3692.641	3532.839	0.978	0.978	0.973
60	3529.863	3369.258	3663.680	3557.808	0.985	0.985	0.977
61	3526.721	3346.450	3715.655	3483.231	0.964	0.964	0.976
62	3583.633	3358.677	3789.317	3560.259	0.985	0.985	0.992
63	3555.213	3382.822	3671.991	3581.219	0.991	0.991	0.984
64	3497.057	3369.449	3646.401	3479.148	0.963	0.963	0.968
65	3519.278	3372.250	3605.207	3544.793	0.981	0.981	0.974
66	3525.295	3442.482	3738.376	3480.232	0.963	0.963	0.976
67	3503.200	3396.748	3612.607	3496.458	0.968	0.968	0.970
68	3485.344	3323.309	3614.266	3520.804	0.974	0.974	0.965
69	3503.197	3400.926	3704.361	3493.939	0.967	0.967	0.970
70	3522.899	3383.070	3678.455	3509.282	0.971	0.971	0.975
71	3491.760	3352.603	3656.780	3433.822	0.950	0.950	0.966
72	3531.768	3441.970	3666.627	3525.616	0.976	0.976	0.978
73	3561.260	3450.579	3664.382	3541.965	0.980	0.980	0.986
74	3574.560	3421.904	3695.187	3586.189	0.993	0.993	0.989
75	3561.470	3419.922	3711.548	3560.024	0.985	0.985	0.986
76	3560.707	3438.868	3733.881	3550.325	0.983	0.983	0.986
77	3590.283	3498.057	3774.985	3565.033	0.987	0.987	0.994
78	3616.860	3478.316	3794.933	3582.919	0.992	0.992	1.001
79	3576.589	3477.622	3716.092	3570.396	0.988	0.988	0.990
80	3627.000	3510.444	3800.078	3598.289	0.996	0.996	1.004
81	3640.483	3472.831	3891.262	3680.299	1.019	1.019	1.008
82	3577.803	3450.878	3711.869	3566.964	0.987	0.987	0.990
83	3631.521	3485.033	3775.497	3619.236	1.002	1.002	1.005
84	3657.973	3476.719	3840.989	3699.293	1.024	1.024	1.012
85	3644.734	3516.562	3820.686	3651.507	1.011	1.011	1.009
86	3666.881	3532.979	3742.213	3684.764	1.020	1.020	1.015
87	3597.830	3366.006	3784.131	3606.129	0.998	0.998	0.996
88	3641.576	3519.618	3740.290	3645.375	1.009	1.009	1.008
89	3638.987	3529.475	3719.999	3639.777	1.007	1.007	1.007
90	3553.580	3418.115	3699.091	3547.909	0.982	0.982	0.984
91	3546.130	3429.177	3608.454	3571.452	0.989	0.989	0.981
92	3542.964	3405.358	3621.694	3561.854	0.986	0.986	0.981
93	3531.835	3467.202	3600.042	3531.715	0.978	0.978	0.978
94	3531.227	3472.480	3624.285	3530.089	0.977	0.977	0.977
95	3548.089	3457.654	3683.895	3530.809	0.977	0.977	0.982
96	3634.851	3501.945	3727.233	3639.115	1.007	1.007	1.006
97	3597.498	3343.791	3745.770	3639.756	1.007	1.007	0.996
98	3575.904	3472.351	3671.444	3575.909	0.990	0.990	0.990
99	3595.099	3460.451	3742.520	3582.189	0.991	0.991	0.995
100	3563.059	3480.120	3683.813	3551.343	0.983	0.983	0.986
101	3534.908	3490.768	3597.908	3530.212	0.977	0.977	0.978
102	3542.855	3409.493	3644.436	3547.875	0.982	0.982	0.981
103	3524.403	3393.451	3651.150	3504.963	0.970	0.970	0.975
104	3592.903	3438.215	3767.858	3611.309	1.000	1.000	0.994
105	3620.842	3487.549	3871.359	3591.570	0.994	0.994	1.002
106	3555.833	3445.736	3686.992	3555.026	0.984	0.984	0.984
107	3558.635	3453.122	3802.435	3542.974	0.981	0.981	0.985
108	3565.753	3441.679	3753.223	3556.680	0.984	0.984	0.987
109	3563.891	3455.249	3653.447	3578.350	0.990	0.990	0.986
110	3523.144	3338.763	3649.793	3532.047	0.978	0.978	0.975
111	3555.826	3350.778	3676.296	3578.177	0.990	0.990	0.984
112	3554.580	3356.852	3791.376	3552.054	0.983	0.983	0.984
113	3539.188	3388.268	3673.465	3529.493	0.977	0.977	0.980
114	3510.044	3442.802	3597.030	3485.129	0.965	0.965	0.972
115	3544.812	3450.356	3618.921	3529.096	0.977	0.977	0.981
116	3490.530	3371.721	3573.963	3502.977	0.970	0.970	0.966
117	3486.085	3382.952	3593.945	3497.321	0.968	0.968	0.965
118	3520.729	3474.414	3582.665	3508.836	0.971	0.971	0.974
119	3548.213	3455.753	3825.913	3493.918	0.967	0.967	0.982
120	3494.158	3410.763	3638.187	3473.421	0.961	0.961	0.967
121	3492.543	3357.413	3592.358	3493.156	0.967	0.967	0.967
122	3494.029	3363.538	3611.942	3482.899	0.964	0.964	0.967
123	3483.946	3341.296	3676.176	3506.033	0.970	0.970	0.964
124	3489.998	3370.791	3554.221	3505.073	0.970	0.970	0.966
125	3505.317	3449.964	3566.822	3498.964	0.968	0.968	0.970
126	3476.970	3406.027	3566.248	3461.212	0.958	0.958	0.962
127	3436.464	3338.422	3520.752	3444.943	0.953	0.953	0.951
128	3429.464	3362.174	3518.595	3435.684	0.951	0.951	0.949
129	3415.735	3324.330	3541.956	3411.029	0.944	0.944	0.945
130	3477.212	3340.976	3592.873	3464.668	0.959	0.959	0.962
131	3456.068	3369.323	3529.827	3468.290	0.960	0.960	0.957
132	3492.683	3379.765	3565.770	3498.648	0.968	0.968	0.967
133	3479.694	3359.826	3540.319	3496.264	0.968	0.968	0.963
134	3423.052	3317.957	3545.280	3439.248	0.952	0.952	0.947
135	3500.887	3423.786	3632.680	3485.818	0.965	0.965	0.969
136	3561.384	3400.350	3700.179	3545.299	0.981	0.981	0.986
137	3446.017	3293.661	3551.971	3477.173	0.962	0.962	0.954
138	3464.175	3314.160	3582.065	3480.448	0.963	0.963	0.959
139	3453.337	3351.152	3536.927	3454.561	0.956	0.956	0.956
140	3428.461	3339.331	3550.753	3410.207	0.944	0.944	0.949
141	3488.107	3363.849	3670.958	3491.694	0.966	0.966	0.965
142	3507.638	3403.262	3633.199	3484.441	0.964	0.964	0.971
143	3508.611	3413.076	3572.091	3519.603	0.974	0.974	0.971
144	3524.453	3453.410	3648.590	3501.047	0.969	0.969	0.975
145	3523.505	3357.611	3739.668	3467.912	0.960	0.960	0.975
146	3506.731	3387.416	3643.129	3503.433	0.970	0.970	0.971
147	3466.182	3407.318	3543.505	3461.631	0.958	0.958	0.959
148	3473.078	3409.568	3528.511	3489.688	0.966	0.966	0.961
149	3502.376	3421.679	3597.065	3505.161	0.970	0.970	0.969
150	3451.541	3370.713	3514.047	3453.506	0.956	0.956	0.955
151	3458.567	3354.565	3583.311	3467.465	0.960	0.960	0.957
152	3486.637	3346.968	3729.843	3502.997	0.970	0.970	0.965
153	3420.941	3266.067	3539.197	3422.203	0.947	0.947	0.947
154	3472.430	3363.440	3653.112	3466.585	0.959	0.959	0.961
155	3459.491	3358.464	3599.212	3460.255	0.958	0.958	0.958
156	3468.285	3409.938	3544.819	3467.555	0.960	0.960	0.960
157	3513.263	3431.668	3614.733	3513.238	0.972	0.972	0.972
158	3483.326	3426.940	3581.264	3490.591	0.966	0.966	0.964
159	3483.870	3420.434	3558.934	3469.238	0.960	0.960	0.964
160	3455.087	3390.361	3522.631	3458.941	0.957	0.957	0.956
161	3480.447	3360.005	3661.336	3450.693	0.955	0.955	0.963
162	3470.687	3374.217	3605.656	3462.878	0.958	0.958	0.961
163	3493.430	3403.525	3573.688	3515.874	0.973	0.973	0.967
164	3492.205	3417.552	3564.890	3495.515	0.967	0.967	0.967
165	3487.035	3428.131	3568.234	3489.689	0.966	0.966	0.965
166	3486.263	3377.971	3660.058	3460.130	0.958	0.958	0.965
167	3465.686	3320.554	3682.008	3429.956	0.949	0.949	0.959
168	3452.852	3350.956	3611.725	3404.177	0.942	0.942	0.956
169	3474.173	3351.171	3629.198	3477.083	0.962	0.962	0.962
170	3502.070	3367.068	3587.630	3517.358	0.974	0.974	0.969
171	3479.965	3366.757	3703.430	3470.911	0.961	0.961	0.963
172	3438.754	3298.204	3560.942	3434.048	0.950	0.950	0.952
173	3449.446	3266.422	3698.909	3430.234	0.949	0.949	0.955
174	3451.177	3353.761	3616.360	3455.969	0.957	0.957	0.955
175	3454.868	3333.891	3545.018	3461.505	0.958	0.958	0.956
176	3362.001	3257.105	3467.147	3367.016	0.932	0.932	0.931
177	3443.917	3362.350	3534.704	3468.111	0.960	0.960	0.953
178	3480.294	3314.420	3636.368	3491.595	0.966	0.966	0.963
179	3467.445	3259.189	3605.935	3476.890	0.962	0.962	0.960
180	3435.558	3335.050	3681.523	3401.819	0.942	0.942	0.951
181	3441.532	3309.830	3596.271	3411.410	0.944	0.944	0.953
182	3439.355	3320.729	3536.365	3441.890	0.953	0.953	0.952
183	3487.314	3333.222	3660.973	3482.009	0.964	0.964	0.965
184	3445.521	3353.030	3525.777	3442.121	0.953	0.953	0.954
185	3460.933	3375.381	3514.197	3474.592	0.962	0.962	0.958
186	3530.197	3435.273	3641.428	3517.532	0.974	0.974	0.977
187	3522.453	3449.708	3662.970	3508.368	0.971	0.971	0.975
188	3490.590	3391.652	3546.249	3523.302	0.975	0.975	0.966
189	3507.728	3394.751	3675.674	3523.824	0.975	0.975	0.971
190	3504.075	3347.379	3690.328	3504.742	0.970	0.970	0.970
191	3456.102	3240.243	3610.987	3493.754	0.967	0.967	0.957
192	3468.646	3338.694	3683.003	3467.929	0.960	0.960	0.960
193	3464.226	3372.240	3599.399	3462.502	0.958	0.958	0.959
194	3477.443	3368.708	3583.958	3495.444	0.967	0.967	0.962
195	3499.502	3412.990	3571.258	3515.355	0.973	0.973	0.969
196	3541.471	3389.168	3625.602	3551.857	0.983	0.983	0.980
197	3537.878	3427.570	3617.951	3540.022	0.980	0.980	0.979
198	3448.433	3340.396	3542.582	3452.528	0.956	0.956	0.954
199	3447.510	3367.473	3525.767	3437.280	0.951	0.951	0.954
200	3431.208	3356.348	3532.452	3420.096	0.947	0.947	0.950
201	3467.755	3389.152	3581.200	3455.278	0.956	0.956	0.960
202	3500.046	3307.751	3632.277	3511.736	0.972	0.972	0.969
203	3464.096	3323.479	3679.355	3464.544	0.959	0.959	0.959
204	3510.122	3393.308	3664.500	3497.876	0.968	0.968	0.972
205	3472.873	3266.566	3597.210	3493.985	0.967	0.967	0.961
206	3453.360	3279.828	3586.254	3462.730	0.958	0.958	0.956
207	3454.398	3371.125	3505.882	3471.102	0.961	0.961	0.956
208	3484.697	3352.043	3565.443	3508.557	0.971	0.971	0.964
209	3468.149	3383.276	3565.804	3466.665	0.959	0.959	0.960
210	3468.712	3398.176	3532.305	3464.725	0.959	0.959	0.960
211	3479.762	3410.217	3514.577	3475.977	0.962	0.962	0.963
212	3494.145	3404.980	3597.930	3484.893	0.965	0.965	0.967
213	3469.797	3392.685	3552.550	3481.683	0.964	0.964	0.960
214	3435.854	3245.142	3550.469	3491.670	0.966	0.966	0.951
215	3428.992	3234.276	3616.969	3434.167	0.951	0.951	0.949
216	3437.961	3337.069	3522.651	3475.712	0.962	0.962	0.952
217	3420.623	3338.380	3532.947	3410.900	0.944	0.944	0.947
218	3430.822	3327.250	3531.803	3431.249	0.950	0.950	0.950
219	3439.369	3327.664	3548.698	3441.650	0.953	0.953	0.952
220	3457.544	3336.318	3552.707	3465.763	0.959	0.959	0.957
221	3440.089	3356.645	3520.396	3438.222	0.952	0.952	0.952
222	3438.555	3311.906	3579.711	3427.386	0.949	0.949	0.952
223	3442.607	3308.119	3578.304	3457.094	0.957	0.957	0.953
224	3428.139	3307.202	3526.140	3415.891	0.945	0.945	0.949
225	3482.756	3323.262	3625.017	3455.805	0.956	0.956	0.964
226	3488.465	3350.645	3611.811	3487.329	0.965	0.965	0.966
227	3453.416	3347.525	3563.528	3449.038	0.955	0.955	0.956
228	3468.317	3349.180	3556.514	3468.784	0.960	0.960	0.960
229	3502.536	3364.655	3620.951	3519.142	0.974	0.974	0.969
230	3513.159	3366.340	3641.356	3542.506	0.980	0.980	0.972
231	3496.109	3353.074	3610.659	3497.064	0.968	0.968	0.968
232	3491.921	3332.513	3629.121	3513.926	0.973	0.973	0.966
233	3504.540	3331.493	3714.539	3485.780	0.965	0.965	0.970
234	3500.337	3401.423	3714.417	3476.520	0.962	0.962	0.969
235	3464.198	3347.877	3680.239	3438.938	0.952	0.952	0.959
236	3497.437	3347.078	3665.226	3483.221	0.964	0.964	0.968
237	3520.550	3392.953	3657.935	3527.453	0.976	0.976	0.974
238	3506.185	3361.941	3667.784	3492.995	0.967	0.967	0.970
239	3468.100	3293.866	3638.297	3468.871	0.960	0.960	0.960
240	3463.589	3348.728	3602.560	3438.168	0.952	0.952	0.959
241	3495.460	3399.376	3610.737	3486.403	0.965	0.965	0.967
242	3488.535	3384.399	3589.970	3453.857	0.956	0.956	0.966
243	3471.051	3342.643	3608.329	3455.925	0.957	0.957	0.961
244	3448.343	3366.800	3545.808	3451.624	0.955	0.955	0.954
245	3466.766	3378.396	3544.927	3469.032	0.960	0.960	0.960
246	3510.596	3297.743	3641.560	3517.895	0.974	0.974	0.972
247	3503.763	3375.675	3694.730	3485.442	0.965	0.965	0.970
248	3486.004	3419.058	3594.589	3476.933	0.962	0.962	0.965
249	3494.656	3345.915	3706.524	3469.475	0.960	0.960	0.967
250	3517.203	3320.737	3611.506	3531.903	0.978	0.978	0.973
251	3482.194	3346.711	3600.514	3493.710	0.967	0.967	0.964
252	3505.595	3326.258	3664.768	3518.530	0.974	0.974	0.970
253	3500.252	3367.431	3602.249	3499.273	0.969	0.969	0.969
254	3463.755	3289.704	3592.096	3469.327	0.960	0.960	0.959
255	3466.384	3297.725	3562.340	3480.518	0.963	0.963	0.959
