 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3341.502	3302.776	3387.813	3343.118	1.032	1.032	1.031
2	3325.338	3248.888	3379.844	3326.105	1.026	1.026	1.026
3	3343.885	3259.359	3453.873	3334.238	1.029	1.029	1.032
4	3334.489	3223.302	3516.306	3317.826	1.024	1.024	1.029
5	3327.486	3267.076	3460.041	3319.856	1.024	1.024	1.027
6	3334.971	3251.763	3453.090	3329.851	1.027	1.027	1.029
7	3357.528	3259.577	3435.510	3362.042	1.037	1.037	1.036
8	3361.605	3259.702	3507.271	3345.163	1.032	1.032	1.037
9	3331.755	3233.737	3425.943	3329.263	1.027	1.027	1.028
10	3322.446	3251.485	3386.625	3319.074	1.024	1.024	1.025
11	3303.769	3218.367	3391.552	3308.839	1.021	1.021	1.019
12	3300.323	3236.472	3444.220	3275.594	1.011	1.011	1.018
13	3293.989	3197.727	3361.089	3309.136	1.021	1.021	1.016
14	3389.160	3350.323	3450.333	3379.511	1.043	1.043	1.046
15	3359.731	3269.914	3446.846	3345.662	1.032	1.032	1.037
16	3351.144	3268.466	3518.333	3342.959	1.031	1.031	1.034
17	3327.343	3231.404	3427.456	3328.425	1.027	1.027	1.027
18	3334.146	3211.373	3452.635	3335.522	1.029	1.029	1.029
19	3330.270	3258.979	3422.416	3314.063	1.023	1.023	1.028
20	3312.903	3210.960	3420.910	3324.136	1.026	1.026	1.022
21	3301.231	3155.668	3402.410	3313.149	1.022	1.022	1.019
22	3311.058	3184.770	3414.008	3317.930	1.024	1.024	1.022
23	3296.966	3162.465	3360.574	3302.688	1.019	1.019	1.017
24	3316.050	3190.098	3397.653	3322.926	1.025	1.025	1.023
25	3299.083	3240.165	3337.708	3308.835	1.021	1.021	1.018
26	3336.302	3239.688	3401.609	3343.150	1.032	1.032	1.029
27	3357.094	3281.907	3490.778	3343.226	1.032	1.032	1.036
28	3355.520	3235.225	3419.646	3379.344	1.043	1.043	1.035
29	3344.706	3210.869	3493.202	3325.047	1.026	1.026	1.032
30	3328.962	3251.524	3377.235	3341.540	1.031	1.031	1.027
31	3310.151	3178.221	3435.037	3309.596	1.021	1.021	1.021
32	3321.635	3245.510	3392.249	3319.242	1.024	1.024	1.025
33	3324.381	3209.391	3402.592	3332.104	1.028	1.028	1.026
34	3335.948	3248.571	3388.181	3347.940	1.033	1.033	1.029
35	3322.697	3188.307	3468.941	3308.189	1.021	1.021	1.025
36	3358.030	3283.917	3457.938	3353.025	1.035	1.035	1.036
37	3336.469	3231.449	3407.603	3336.749	1.030	1.030	1.029
38	3318.864	3238.122	3386.970	3331.126	1.028	1.028	1.024
39	3329.932	3242.361	3412.969	3317.581	1.024	1.024	1.027
40	3332.489	3263.740	3389.393	3336.505	1.029	1.029	1.028
41	3317.725	3190.170	3526.453	3296.290	1.017	1.017	1.024
42	3329.467	3222.606	3466.160	3326.109	1.026	1.026	1.027
43	3395.795	3330.240	3486.437	3399.140	1.049	1.049	1.048
44	3368.372	3296.518	3462.270	3369.951	1.040	1.040	1.039
45	3373.605	3264.616	3464.121	3388.657	1.046	1.046	1.041
46	3371.967	3265.312	3480.113	3371.036	1.040	1.040	1.040
47	3356.789	3224.422	3539.419	3354.606	1.035	1.035	1.036
48	3341.206	3229.434	3389.017	3360.951	1.037	1.037	1.031
49	3373.228	3267.101	3446.687	3372.434	1.041	1.041	1.041
50	3342.804	3194.573	3452.805	3370.577	1.040	1.040	1.031
51	3332.819	3278.101	3401.142	3331.700	1.028	1.028	1.028
52	3333.420	3273.502	3405.346	3331.471	1.028	1.028	1.029
53	3315.507	3217.685	3449.099	3319.510	1.024	1.024	1.023
54	3330.735	3245.256	3390.422	3338.158	1.030	1.030	1.028
55	3340.966	3288.936	3404.659	3338.282	1.030	1.030	1.031
56	3352.472	3239.383	3500.664	3353.468	1.035	1.035	1.034
57	3364.889	3273.789	3466.234	3372.682	1.041	1.041	1.038
58	3357.859	3275.358	3428.676	3350.058	1.034	1.034	1.036
59	3334.007	3246.535	3451.427	3324.326	1.026	1.026	1.029
60	3337.945	3252.902	3410.696	3340.568	1.031	1.031	1.030
61	3343.174	3227.202	3404.727	3348.236	1.033	1.033	1.032
62	3351.476	3211.088	3492.147	3352.377	1.034	1.034	1.034
63	3296.440	3228.724	3411.138	3283.353	1.013	1.013	1.017
64	3336.534	3279.988	3394.366	3335.973	1.029	1.029	1.029
65	3363.312	3294.703	3413.465	3367.592	1.039	1.039	1.038
66	3353.468	3305.081	3405.146	3355.703	1.035	1.035	1.035
67	3395.801	3299.197	3465.282	3408.641	1.052	1.052	1.048
68	3377.677	3268.028	3585.807	3362.876	1.038	1.038	1.042
69	3343.948	3268.675	3514.354	3330.764	1.028	1.028	1.032
70	3323.751	3194.556	3509.506	3327.221	1.027	1.027	1.026
71	3340.147	3294.726	3429.830	3336.836	1.030	1.030	1.031
72	3333.474	3223.375	3416.256	3348.247	1.033	1.033	1.029
73	3330.939	3252.784	3425.291	3333.331	1.028	1.028	1.028
74	3306.818	3274.759	3342.972	3300.102	1.018	1.018	1.020
75	3297.217	3211.092	3354.221	3298.086	1.018	1.018	1.017
76	3328.907	3241.050	3418.811	3333.293	1.028	1.028	1.027
77	3358.136	3196.643	3654.458	3343.560	1.032	1.032	1.036
78	3307.673	3176.206	3431.789	3303.510	1.019	1.019	1.021
79	3306.828	3183.546	3396.787	3313.926	1.023	1.023	1.020
80	3337.395	3208.031	3387.944	3364.132	1.038	1.038	1.030
81	3333.103	3296.445	3378.478	3330.942	1.028	1.028	1.028
82	3344.982	3239.358	3425.331	3347.434	1.033	1.033	1.032
83	3322.102	3272.422	3409.644	3317.829	1.024	1.024	1.025
84	3343.762	3265.565	3431.855	3346.251	1.032	1.032	1.032
85	3356.229	3295.452	3408.082	3369.609	1.040	1.040	1.036
86	3296.263	3259.010	3361.785	3290.045	1.015	1.015	1.017
87	3307.437	3212.862	3375.804	3321.877	1.025	1.025	1.020
88	3302.957	3157.101	3426.627	3304.339	1.020	1.020	1.019
89	3334.160	3268.568	3468.957	3313.552	1.022	1.022	1.029
90	3355.892	3224.755	3458.783	3360.171	1.037	1.037	1.035
91	3339.858	3156.337	3462.405	3364.011	1.038	1.038	1.031
92	3314.514	3117.445	3405.817	3328.709	1.027	1.027	1.023
93	3335.610	3183.263	3456.760	3333.839	1.029	1.029	1.029
94	3337.246	3240.848	3450.004	3343.366	1.032	1.032	1.030
95	3344.579	3260.576	3420.912	3348.319	1.033	1.033	1.032
96	3333.871	3230.037	3383.955	3357.403	1.036	1.036	1.029
97	3322.880	3194.922	3375.758	3340.388	1.031	1.031	1.025
98	3345.666	3222.320	3430.845	3360.681	1.037	1.037	1.032
99	3362.514	3184.927	3481.630	3380.530	1.043	1.043	1.037
100	3315.598	3140.362	3477.674	3304.518	1.020	1.020	1.023
101	3308.111	3109.543	3486.872	3336.303	1.029	1.029	1.021
102	3381.641	3220.873	3529.260	3388.985	1.046	1.046	1.043
103	3328.871	3250.927	3397.246	3325.613	1.026	1.026	1.027
104	3285.041	3187.072	3365.520	3279.930	1.012	1.012	1.014
105	3352.180	3139.204	3467.495	3371.800	1.040	1.040	1.034
106	3365.760	3144.014	3479.433	3407.831	1.051	1.051	1.038
107	3402.227	3187.236	3588.312	3441.773	1.062	1.062	1.050
108	3350.925	3261.611	3446.261	3354.507	1.035	1.035	1.034
109	3317.005	3148.754	3485.645	3339.857	1.031	1.031	1.023
110	3310.898	3165.156	3433.101	3320.344	1.024	1.024	1.022
111	3339.395	3184.487	3484.361	3360.359	1.037	1.037	1.030
112	3365.966	3269.112	3451.464	3359.594	1.037	1.037	1.039
113	3357.041	3205.127	3470.471	3390.629	1.046	1.046	1.036
114	3362.385	3267.883	3449.489	3387.432	1.045	1.045	1.037
115	3368.685	3219.080	3535.316	3377.447	1.042	1.042	1.039
116	3350.295	3229.000	3441.223	3371.059	1.040	1.040	1.034
117	3395.690	3277.003	3498.322	3401.869	1.050	1.050	1.048
118	3390.450	3210.487	3538.775	3403.073	1.050	1.050	1.046
119	3386.188	3232.950	3473.660	3408.038	1.052	1.052	1.045
120	3334.447	3157.654	3415.983	3345.369	1.032	1.032	1.029
121	3357.779	3245.844	3438.874	3375.395	1.041	1.041	1.036
122	3405.589	3225.157	3555.923	3407.989	1.052	1.052	1.051
123	3371.089	3251.061	3502.057	3360.390	1.037	1.037	1.040
124	3406.390	3296.463	3517.085	3406.231	1.051	1.051	1.051
125	3433.002	3324.986	3596.521	3396.681	1.048	1.048	1.059
126	3429.355	3293.069	3586.984	3442.370	1.062	1.062	1.058
127	3369.844	3224.161	3510.159	3343.422	1.032	1.032	1.040
128	3366.611	3289.625	3545.875	3348.249	1.033	1.033	1.039
129	3362.097	3293.642	3432.386	3374.354	1.041	1.041	1.037
130	3434.239	3345.084	3559.474	3423.760	1.056	1.056	1.060
131	3418.041	3285.220	3483.193	3439.525	1.061	1.061	1.055
132	3380.825	3335.262	3442.523	3363.993	1.038	1.038	1.043
133	3395.127	3231.699	3478.792	3413.905	1.053	1.053	1.048
134	3371.196	3213.217	3488.780	3372.373	1.041	1.041	1.040
135	3377.701	3296.130	3506.894	3349.777	1.034	1.034	1.042
136	3382.633	3296.337	3514.594	3373.987	1.041	1.041	1.044
137	3382.115	3284.309	3509.002	3378.948	1.043	1.043	1.044
138	3451.253	3354.124	3533.642	3457.924	1.067	1.067	1.065
139	3436.735	3308.750	3511.751	3451.692	1.065	1.065	1.060
140	3469.462	3368.355	3622.429	3484.921	1.075	1.075	1.070
141	3487.129	3299.544	3607.951	3502.124	1.081	1.081	1.076
142	3480.389	3416.033	3555.477	3478.999	1.073	1.073	1.074
143	3455.005	3300.738	3582.134	3444.829	1.063	1.063	1.066
144	3447.721	3352.365	3588.354	3438.533	1.061	1.061	1.064
145	3455.927	3346.282	3572.689	3455.184	1.066	1.066	1.066
146	3427.071	3282.820	3508.326	3428.053	1.058	1.058	1.057
147	3485.316	3335.230	3748.117	3487.490	1.076	1.076	1.075
148	3447.843	3286.835	3614.268	3448.422	1.064	1.064	1.064
149	3484.537	3362.832	3596.981	3495.035	1.078	1.078	1.075
150	3466.479	3376.578	3600.844	3449.310	1.064	1.064	1.070
151	3452.103	3366.469	3510.852	3463.575	1.069	1.069	1.065
152	3457.396	3323.143	3609.646	3454.058	1.066	1.066	1.067
153	3514.368	3434.185	3624.297	3523.843	1.087	1.087	1.084
154	3511.709	3380.545	3632.201	3497.576	1.079	1.079	1.084
155	3511.306	3358.256	3672.534	3525.454	1.088	1.088	1.083
156	3479.599	3316.752	3630.330	3479.715	1.074	1.074	1.074
157	3527.506	3365.253	3754.656	3484.248	1.075	1.075	1.088
158	3496.907	3379.554	3637.586	3487.406	1.076	1.076	1.079
159	3485.433	3287.451	3622.363	3458.358	1.067	1.067	1.075
160	3539.722	3374.459	3625.931	3562.907	1.099	1.099	1.092
161	3495.705	3335.272	3605.532	3534.151	1.090	1.090	1.079
162	3507.919	3428.253	3609.116	3501.066	1.080	1.080	1.082
163	3461.814	3278.577	3677.488	3463.548	1.069	1.069	1.068
164	3513.873	3394.893	3656.804	3505.515	1.082	1.082	1.084
165	3529.271	3283.138	3792.118	3523.430	1.087	1.087	1.089
166	3537.751	3436.223	3622.931	3543.125	1.093	1.093	1.092
167	3463.990	3372.255	3542.111	3469.897	1.071	1.071	1.069
168	3492.149	3347.838	3609.870	3494.479	1.078	1.078	1.077
169	3540.103	3393.905	3618.621	3564.377	1.100	1.100	1.092
170	3545.616	3456.658	3641.927	3543.804	1.093	1.093	1.094
171	3493.244	3357.311	3577.212	3514.372	1.084	1.084	1.078
172	3483.959	3272.935	3585.604	3503.027	1.081	1.081	1.075
173	3583.285	3362.968	3678.512	3599.950	1.111	1.111	1.106
174	3542.476	3342.617	3655.954	3562.294	1.099	1.099	1.093
175	3567.683	3353.746	3764.066	3573.971	1.103	1.103	1.101
176	3600.804	3347.977	3746.859	3604.775	1.112	1.112	1.111
177	3594.705	3439.047	3788.815	3603.366	1.112	1.112	1.109
178	3597.814	3400.520	3709.333	3615.222	1.115	1.115	1.110
179	3657.541	3392.871	3775.531	3663.581	1.130	1.130	1.129
180	3582.853	3434.031	3687.375	3595.087	1.109	1.109	1.105
181	3517.857	3356.668	3635.357	3525.791	1.088	1.088	1.085
182	3497.693	3392.210	3699.035	3484.816	1.075	1.075	1.079
183	3452.956	3340.375	3567.037	3451.461	1.065	1.065	1.065
184	3510.380	3354.202	3637.761	3514.961	1.085	1.085	1.083
185	3527.288	3396.319	3694.652	3510.500	1.083	1.083	1.088
186	3559.282	3374.025	3676.263	3572.178	1.102	1.102	1.098
187	3551.595	3345.928	3689.956	3566.849	1.101	1.101	1.096
188	3559.634	3342.445	3792.308	3537.618	1.092	1.092	1.098
189	3589.311	3354.989	3724.669	3609.044	1.114	1.114	1.107
190	3592.917	3412.531	3700.844	3618.837	1.117	1.117	1.109
191	3549.361	3400.311	3755.104	3494.806	1.078	1.078	1.095
192	3528.184	3399.711	3711.944	3498.176	1.079	1.079	1.089
193	3513.629	3390.860	3644.506	3506.726	1.082	1.082	1.084
194	3564.854	3396.112	3701.084	3602.915	1.112	1.112	1.100
195	3575.517	3437.127	3801.458	3560.799	1.099	1.099	1.103
196	3527.489	3422.124	3645.738	3537.288	1.091	1.091	1.088
197	3529.199	3381.040	3638.094	3550.280	1.095	1.095	1.089
198	3560.440	3313.482	3790.953	3555.957	1.097	1.097	1.099
199	3570.408	3416.107	3745.699	3592.448	1.108	1.108	1.102
200	3623.275	3506.986	3777.218	3610.873	1.114	1.114	1.118
201	3628.201	3453.891	3806.582	3621.470	1.117	1.117	1.119
202	3619.017	3441.423	3735.398	3614.870	1.115	1.115	1.117
203	3679.395	3491.174	3794.823	3688.639	1.138	1.138	1.135
204	3588.400	3462.344	3747.379	3558.264	1.098	1.098	1.107
205	3558.611	3390.366	3667.196	3569.983	1.102	1.102	1.098
206	3578.811	3504.553	3708.189	3570.089	1.102	1.102	1.104
207	3573.828	3499.529	3766.867	3543.939	1.093	1.093	1.103
208	3563.079	3457.362	3656.165	3574.951	1.103	1.103	1.099
209	3597.098	3446.181	3679.278	3636.287	1.122	1.122	1.110
210	3676.610	3493.717	3882.658	3706.709	1.144	1.144	1.134
211	3631.739	3487.623	3739.655	3643.972	1.124	1.124	1.121
212	3674.363	3525.575	3853.729	3694.244	1.140	1.140	1.134
213	3645.774	3430.305	3888.894	3603.071	1.112	1.112	1.125
214	3585.027	3370.757	3755.561	3548.940	1.095	1.095	1.106
215	3624.517	3473.179	3767.115	3634.956	1.122	1.122	1.118
216	3554.518	3386.397	3712.915	3575.284	1.103	1.103	1.097
217	3526.103	3429.743	3626.666	3531.272	1.090	1.090	1.088
218	3573.975	3465.233	3659.095	3580.121	1.105	1.105	1.103
219	3567.954	3321.086	3763.427	3575.243	1.103	1.103	1.101
220	3640.319	3520.524	3730.638	3647.077	1.125	1.125	1.123
221	3644.944	3560.117	3794.521	3618.052	1.116	1.116	1.125
222	3674.667	3494.277	3870.953	3676.871	1.134	1.134	1.134
223	3630.221	3415.081	3764.489	3620.293	1.117	1.117	1.120
224	3641.824	3508.269	3763.683	3619.460	1.117	1.117	1.124
225	3582.802	3435.755	3745.189	3583.079	1.106	1.106	1.105
226	3637.813	3482.090	3731.756	3643.947	1.124	1.124	1.122
227	3673.413	3539.669	3847.961	3657.206	1.128	1.128	1.133
228	3613.374	3410.202	4015.683	3601.296	1.111	1.111	1.115
229	3613.479	3455.624	3735.172	3624.222	1.118	1.118	1.115
230	3671.204	3497.165	3746.570	3695.561	1.140	1.140	1.133
231	3638.198	3517.111	3735.038	3642.458	1.124	1.124	1.123
232	3584.080	3424.684	3696.471	3613.721	1.115	1.115	1.106
233	3596.268	3432.238	3687.707	3641.445	1.124	1.124	1.110
234	3522.410	3421.761	3594.614	3530.536	1.089	1.089	1.087
235	3570.385	3449.379	3705.822	3564.411	1.100	1.100	1.102
236	3525.841	3428.333	3664.578	3492.040	1.077	1.077	1.088
237	3595.383	3461.458	3737.436	3594.014	1.109	1.109	1.109
238	3580.191	3439.789	3735.031	3587.418	1.107	1.107	1.105
239	3566.501	3489.919	3639.661	3556.478	1.097	1.097	1.100
240	3541.235	3428.999	3621.732	3543.452	1.093	1.093	1.093
241	3582.336	3443.180	3784.498	3557.722	1.098	1.098	1.105
242	3542.066	3346.144	3617.847	3581.049	1.105	1.105	1.093
243	3586.762	3458.178	3760.901	3585.971	1.106	1.106	1.107
244	3609.516	3477.369	3767.723	3616.146	1.116	1.116	1.114
245	3574.263	3412.244	3753.755	3578.603	1.104	1.104	1.103
246	3580.471	3433.151	3704.323	3575.216	1.103	1.103	1.105
247	3602.963	3422.909	3779.123	3624.427	1.118	1.118	1.112
