 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3404.452	3188.340	3590.057	3440.380	1.028	1.028	1.017
2	3393.405	3267.980	3521.439	3404.187	1.017	1.017	1.014
3	3448.269	3353.504	3542.195	3462.229	1.034	1.034	1.030
4	3433.786	3258.352	3594.923	3424.442	1.023	1.023	1.026
5	3386.273	3154.216	3550.265	3408.521	1.018	1.018	1.011
6	3436.640	3269.042	3525.409	3494.684	1.044	1.044	1.026
7	3470.782	3317.998	3637.373	3455.472	1.032	1.032	1.037
8	3487.283	3336.424	3678.464	3482.055	1.040	1.040	1.042
9	3447.831	3335.645	3555.041	3445.068	1.029	1.029	1.030
10	3444.337	3316.060	3577.683	3426.775	1.024	1.024	1.029
11	3435.613	3339.391	3508.694	3433.938	1.026	1.026	1.026
12	3451.741	3358.272	3604.340	3421.276	1.022	1.022	1.031
13	3472.316	3358.562	3574.740	3447.904	1.030	1.030	1.037
14	3447.117	3381.644	3539.653	3437.554	1.027	1.027	1.030
15	3430.741	3300.110	3481.106	3453.713	1.032	1.032	1.025
16	3488.168	3391.253	3645.474	3467.192	1.036	1.036	1.042
17	3505.732	3409.997	3584.753	3505.164	1.047	1.047	1.047
18	3539.126	3448.001	3619.549	3544.895	1.059	1.059	1.057
19	3511.029	3378.813	3617.371	3521.239	1.052	1.052	1.049
20	3493.825	3374.922	3716.309	3450.558	1.031	1.031	1.044
21	3468.104	3386.711	3528.618	3471.699	1.037	1.037	1.036
22	3428.925	3338.475	3509.625	3443.958	1.029	1.029	1.024
23	3472.769	3323.472	3701.105	3442.029	1.028	1.028	1.037
24	3479.405	3391.494	3618.486	3446.616	1.029	1.029	1.039
25	3494.006	3347.046	3588.806	3517.848	1.051	1.051	1.044
26	3525.979	3407.678	3634.270	3539.353	1.057	1.057	1.053
27	3524.937	3366.917	3685.282	3531.176	1.055	1.055	1.053
28	3521.552	3406.601	3625.909	3534.908	1.056	1.056	1.052
29	3518.223	3427.979	3651.027	3504.434	1.047	1.047	1.051
30	3413.875	3179.288	3602.197	3429.449	1.024	1.024	1.020
31	3450.324	3331.012	3583.533	3455.798	1.032	1.032	1.031
32	3442.161	3255.125	3548.765	3468.794	1.036	1.036	1.028
33	3455.305	3329.173	3547.771	3447.579	1.030	1.030	1.032
34	3482.568	3355.643	3579.849	3485.443	1.041	1.041	1.040
35	3526.287	3391.341	3637.641	3529.999	1.054	1.054	1.053
36	3497.183	3420.107	3646.256	3488.605	1.042	1.042	1.045
37	3497.957	3323.057	3622.653	3489.933	1.042	1.042	1.045
38	3491.872	3404.601	3570.253	3503.984	1.047	1.047	1.043
39	3460.359	3387.737	3521.221	3469.041	1.036	1.036	1.034
40	3505.380	3425.471	3740.032	3481.373	1.040	1.040	1.047
41	3469.267	3408.180	3566.291	3451.483	1.031	1.031	1.036
42	3446.880	3304.682	3565.900	3452.272	1.031	1.031	1.030
43	3429.815	3274.829	3525.384	3438.648	1.027	1.027	1.024
44	3418.212	3317.678	3497.619	3431.368	1.025	1.025	1.021
45	3421.725	3332.928	3519.451	3430.457	1.025	1.025	1.022
46	3416.554	3291.921	3556.462	3411.983	1.019	1.019	1.020
47	3418.136	3263.754	3615.159	3419.720	1.021	1.021	1.021
48	3449.347	3355.868	3647.088	3435.122	1.026	1.026	1.030
49	3417.279	3182.348	3561.109	3409.675	1.018	1.018	1.021
50	3454.536	3336.448	3680.253	3437.439	1.027	1.027	1.032
51	3378.391	3253.807	3500.994	3398.012	1.015	1.015	1.009
52	3353.407	3264.589	3502.343	3335.968	0.996	0.996	1.002
53	3365.592	3313.494	3434.316	3352.444	1.001	1.001	1.005
54	3395.603	3309.907	3489.635	3385.836	1.011	1.011	1.014
55	3413.462	3284.114	3544.433	3418.640	1.021	1.021	1.020
56	3427.373	3314.998	3614.621	3403.478	1.017	1.017	1.024
57	3370.911	3291.084	3402.215	3375.296	1.008	1.008	1.007
58	3396.644	3298.594	3485.237	3400.376	1.016	1.016	1.015
59	3485.744	3364.798	3622.368	3484.721	1.041	1.041	1.041
60	3484.368	3392.107	3613.049	3463.788	1.035	1.035	1.041
61	3446.039	3218.653	3655.099	3423.128	1.022	1.022	1.029
62	3481.116	3361.459	3720.020	3472.754	1.037	1.037	1.040
63	3567.782	3324.780	3714.796	3572.951	1.067	1.067	1.066
64	3567.058	3388.427	3704.852	3609.424	1.078	1.078	1.065
65	3598.868	3379.739	3800.031	3588.353	1.072	1.072	1.075
66	3527.432	3289.765	3620.910	3552.726	1.061	1.061	1.054
67	3477.235	3284.990	3593.817	3497.165	1.045	1.045	1.039
68	3516.493	3301.133	3696.340	3488.893	1.042	1.042	1.050
69	3445.193	3335.950	3568.996	3431.118	1.025	1.025	1.029
70	3446.535	3308.064	3569.128	3448.573	1.030	1.030	1.029
71	3433.433	3292.172	3578.828	3431.993	1.025	1.025	1.026
72	3387.110	3278.646	3564.120	3374.267	1.008	1.008	1.012
73	3435.964	3265.146	3635.900	3433.513	1.026	1.026	1.026
74	3479.927	3346.906	3641.260	3493.958	1.044	1.044	1.039
75	3383.742	3307.521	3448.861	3383.649	1.011	1.011	1.011
76	3359.453	3275.942	3410.614	3372.630	1.007	1.007	1.003
77	3382.577	3241.644	3466.108	3392.284	1.013	1.013	1.010
78	3386.335	3262.179	3470.999	3398.952	1.015	1.015	1.011
79	3398.030	3284.489	3498.898	3397.423	1.015	1.015	1.015
80	3401.969	3320.604	3493.188	3398.264	1.015	1.015	1.016
81	3413.492	3213.864	3571.771	3414.403	1.020	1.020	1.020
82	3464.670	3139.661	3696.167	3460.525	1.034	1.034	1.035
83	3456.483	3243.634	3539.869	3499.680	1.045	1.045	1.032
84	3476.434	3266.001	3641.376	3476.594	1.038	1.038	1.038
85	3442.001	3287.438	3766.505	3405.737	1.017	1.017	1.028
86	3402.146	3225.547	3568.896	3382.737	1.010	1.010	1.016
87	3445.050	3267.494	3634.173	3453.771	1.032	1.032	1.029
88	3419.827	3228.929	3633.358	3392.422	1.013	1.013	1.021
89	3385.161	3130.675	3625.696	3340.650	0.998	0.998	1.011
90	3426.056	3264.240	3573.688	3411.426	1.019	1.019	1.023
91	3434.715	3295.297	3642.616	3404.962	1.017	1.017	1.026
92	3407.551	3156.521	3558.278	3460.165	1.034	1.034	1.018
93	3497.747	3265.865	3636.696	3503.703	1.047	1.047	1.045
94	3463.284	3245.883	3651.128	3461.671	1.034	1.034	1.034
95	3455.696	3271.331	3605.063	3480.791	1.040	1.040	1.032
96	3430.032	3301.376	3538.708	3422.989	1.022	1.022	1.025
97	3421.120	3264.421	3606.960	3424.343	1.023	1.023	1.022
98	3450.979	3286.898	3641.133	3483.187	1.040	1.040	1.031
99	3434.503	3205.690	3588.781	3437.379	1.027	1.027	1.026
100	3544.749	3340.397	3704.767	3561.055	1.064	1.064	1.059
101	3543.463	3252.887	3695.317	3567.417	1.066	1.066	1.058
102	3510.902	3353.029	3632.732	3552.776	1.061	1.061	1.049
103	3485.038	3422.275	3572.459	3482.657	1.040	1.040	1.041
104	3433.748	3337.851	3558.287	3431.855	1.025	1.025	1.026
105	3429.765	3362.096	3526.146	3423.280	1.022	1.022	1.024
106	3410.180	3313.055	3537.661	3399.605	1.015	1.015	1.019
107	3454.518	3324.502	3546.240	3461.542	1.034	1.034	1.032
108	3460.327	3338.711	3681.152	3434.348	1.026	1.026	1.034
109	3477.206	3411.522	3568.592	3452.630	1.031	1.031	1.039
110	3462.629	3326.906	3563.484	3472.513	1.037	1.037	1.034
111	3491.494	3365.253	3682.986	3467.222	1.036	1.036	1.043
112	3493.955	3343.556	3641.622	3478.550	1.039	1.039	1.044
113	3563.437	3389.709	3728.955	3559.684	1.063	1.063	1.064
114	3585.827	3325.603	3685.122	3640.521	1.087	1.087	1.071
115	3657.564	3330.701	3874.462	3675.934	1.098	1.098	1.092
116	3634.186	3341.344	3809.613	3656.690	1.092	1.092	1.085
117	3633.769	3414.138	3859.261	3619.188	1.081	1.081	1.085
118	3544.348	3265.379	3748.184	3560.031	1.063	1.063	1.059
119	3562.704	3277.433	3802.954	3584.183	1.071	1.071	1.064
120	3530.372	3280.000	3715.507	3572.978	1.067	1.067	1.054
121	3532.982	3326.641	3722.698	3533.280	1.055	1.055	1.055
122	3516.044	3262.943	3678.160	3582.138	1.070	1.070	1.050
123	3437.242	3331.160	3567.214	3426.820	1.024	1.024	1.027
124	3498.140	3350.396	3726.276	3465.452	1.035	1.035	1.045
125	3474.462	3281.104	3805.836	3429.039	1.024	1.024	1.038
126	3468.681	3324.292	3636.728	3431.360	1.025	1.025	1.036
127	3547.097	3450.134	3727.815	3524.197	1.053	1.053	1.059
128	3523.421	3367.704	3678.928	3492.615	1.043	1.043	1.052
129	3471.763	3225.127	3614.529	3484.197	1.041	1.041	1.037
130	3464.679	3319.886	3560.807	3457.057	1.033	1.033	1.035
131	3484.584	3271.433	3679.117	3439.844	1.027	1.027	1.041
