 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3302.355	3219.035	3440.491	3279.629	1.049	1.054	1.057
2	3295.535	3137.986	3449.108	3308.999	1.059	1.063	1.055
3	3306.768	3163.690	3437.911	3308.010	1.058	1.063	1.058
4	3302.683	3232.983	3368.119	3297.427	1.055	1.060	1.057
5	3355.210	3223.870	3584.616	3339.978	1.069	1.073	1.074
6	3334.043	3245.028	3455.963	3334.145	1.067	1.072	1.067
7	3329.846	3210.590	3436.996	3347.655	1.071	1.076	1.065
8	3297.483	3174.475	3414.983	3280.110	1.050	1.054	1.055
9	3340.354	3236.109	3623.814	3318.572	1.062	1.067	1.069
10	3347.949	3267.445	3411.252	3346.197	1.071	1.075	1.071
11	3350.624	3255.485	3437.994	3361.250	1.076	1.080	1.072
12	3315.182	3237.905	3383.946	3317.942	1.062	1.066	1.061
13	3313.865	3198.953	3366.332	3335.922	1.067	1.072	1.060
14	3322.855	3225.714	3426.499	3332.631	1.066	1.071	1.063
15	3345.406	3271.039	3401.419	3356.674	1.074	1.079	1.070
16	3348.670	3251.789	3464.123	3339.948	1.069	1.073	1.072
17	3360.772	3272.232	3459.271	3365.740	1.077	1.082	1.075
18	3395.997	3282.759	3490.678	3393.054	1.086	1.090	1.087
19	3377.760	3262.894	3492.386	3369.350	1.078	1.083	1.081
20	3382.262	3230.875	3548.475	3387.372	1.084	1.089	1.082
21	3378.794	3243.562	3646.147	3356.465	1.074	1.079	1.081
22	3378.348	3296.491	3521.104	3383.477	1.083	1.087	1.081
23	3347.568	3228.309	3518.523	3329.526	1.065	1.070	1.071
24	3323.574	3201.453	3456.598	3324.548	1.064	1.068	1.063
25	3311.681	3234.084	3390.854	3309.984	1.059	1.064	1.060
26	3239.128	3169.933	3320.902	3245.833	1.039	1.043	1.036
27	3291.962	3165.418	3393.654	3304.687	1.057	1.062	1.053
28	3296.729	3197.074	3429.315	3283.439	1.051	1.055	1.055
29	3308.648	3265.573	3363.917	3304.390	1.057	1.062	1.059
30	3381.842	3282.404	3514.222	3383.641	1.083	1.087	1.082
31	3304.835	3234.398	3383.162	3299.677	1.056	1.060	1.057
32	3341.898	3248.089	3410.461	3343.442	1.070	1.075	1.069
33	3315.590	3251.377	3366.411	3324.245	1.064	1.068	1.061
34	3279.698	3170.021	3429.277	3270.469	1.046	1.051	1.049
35	3304.054	3198.416	3492.261	3280.800	1.050	1.054	1.057
36	3282.986	3183.288	3416.315	3276.570	1.048	1.053	1.050
37	3296.020	3178.133	3478.384	3278.647	1.049	1.054	1.055
38	3285.715	3163.345	3440.597	3268.728	1.046	1.051	1.051
39	3302.021	3180.380	3412.789	3284.243	1.051	1.056	1.057
40	3347.098	3248.443	3444.577	3340.704	1.069	1.074	1.071
41	3356.859	3243.941	3425.010	3373.089	1.079	1.084	1.074
42	3304.585	3234.193	3364.061	3312.393	1.060	1.065	1.057
43	3268.625	3215.011	3359.302	3265.237	1.045	1.049	1.046
44	3297.026	3238.896	3332.808	3300.366	1.056	1.061	1.055
45	3306.662	3185.406	3452.520	3302.778	1.057	1.061	1.058
46	3258.260	3163.420	3407.798	3252.221	1.041	1.045	1.043
47	3342.572	3227.388	3504.460	3346.597	1.071	1.076	1.070
48	3327.286	3206.358	3459.729	3333.824	1.067	1.071	1.065
49	3329.750	3138.918	3426.761	3354.671	1.073	1.078	1.065
50	3308.562	3176.664	3460.921	3303.655	1.057	1.062	1.059
51	3307.154	3215.137	3385.241	3311.995	1.060	1.064	1.058
52	3269.460	3172.189	3374.886	3276.726	1.048	1.053	1.046
53	3279.699	3199.645	3334.463	3293.048	1.054	1.058	1.049
54	3284.300	3223.750	3323.281	3292.287	1.053	1.058	1.051
55	3318.636	3198.877	3375.654	3332.841	1.066	1.071	1.062
56	3353.878	3255.807	3511.849	3351.957	1.073	1.077	1.073
57	3309.637	3187.412	3420.169	3318.765	1.062	1.067	1.059
58	3308.903	3220.073	3348.360	3319.564	1.062	1.067	1.059
59	3287.993	3170.034	3365.340	3293.819	1.054	1.059	1.052
60	3235.645	3158.514	3350.148	3225.040	1.032	1.036	1.035
61	3278.319	3208.463	3321.797	3295.759	1.055	1.059	1.049
62	3293.163	3194.136	3385.083	3302.234	1.057	1.061	1.054
63	3285.275	3144.629	3440.099	3290.138	1.053	1.057	1.051
64	3299.780	3250.280	3364.995	3292.373	1.053	1.058	1.056
65	3297.784	3240.436	3375.094	3294.035	1.054	1.059	1.055
66	3252.948	3176.724	3308.855	3255.984	1.042	1.046	1.041
67	3277.729	3238.675	3353.424	3263.338	1.044	1.049	1.049
68	3315.309	3249.053	3411.402	3312.505	1.060	1.065	1.061
69	3273.563	3169.990	3346.043	3269.781	1.046	1.051	1.047
70	3277.719	3170.544	3386.895	3282.716	1.050	1.055	1.049
71	3319.271	3165.452	3552.167	3295.424	1.054	1.059	1.062
72	3297.580	3189.049	3416.725	3312.178	1.060	1.064	1.055
73	3305.736	3175.931	3454.973	3314.396	1.061	1.065	1.058
74	3297.989	3182.200	3435.686	3268.602	1.046	1.050	1.055
75	3321.851	3231.740	3420.464	3334.517	1.067	1.072	1.063
76	3270.289	3187.130	3338.458	3279.474	1.049	1.054	1.046
77	3269.697	3159.982	3330.795	3290.350	1.053	1.057	1.046
78	3279.754	3122.686	3397.270	3315.100	1.061	1.065	1.049
79	3302.387	3172.625	3395.757	3324.811	1.064	1.069	1.057
80	3281.162	3154.676	3429.544	3279.875	1.049	1.054	1.050
81	3254.646	3164.666	3453.655	3199.828	1.024	1.028	1.041
82	3263.465	3090.673	3436.356	3243.175	1.038	1.042	1.044
83	3295.828	3155.708	3441.105	3310.927	1.059	1.064	1.055
84	3287.624	3189.915	3432.482	3271.906	1.047	1.052	1.052
85	3268.714	3150.102	3362.543	3272.371	1.047	1.052	1.046
86	3238.843	3118.260	3346.285	3244.600	1.038	1.043	1.036
87	3235.793	3159.688	3315.115	3237.195	1.036	1.040	1.035
88	3253.079	3165.771	3374.163	3243.397	1.038	1.042	1.041
89	3242.509	3135.863	3383.600	3240.707	1.037	1.042	1.038
90	3273.442	3177.088	3507.877	3253.474	1.041	1.046	1.047
91	3257.507	3182.488	3427.372	3232.180	1.034	1.039	1.042
92	3250.862	3170.469	3464.096	3205.519	1.026	1.030	1.040
93	3226.775	3176.268	3389.244	3215.902	1.029	1.034	1.033
94	3233.632	3145.747	3299.390	3245.364	1.038	1.043	1.035
95	3203.622	3135.884	3270.985	3194.167	1.022	1.027	1.025
96	3233.961	3107.749	3354.908	3237.022	1.036	1.040	1.035
97	3200.115	3091.397	3354.177	3172.298	1.015	1.020	1.024
98	3227.870	3171.646	3308.085	3206.907	1.026	1.031	1.033
99	3233.230	3121.138	3385.188	3212.248	1.028	1.032	1.035
100	3237.273	3160.500	3367.838	3212.904	1.028	1.033	1.036
101	3270.592	3129.645	3341.040	3276.024	1.048	1.053	1.047
102	3245.428	3159.776	3402.603	3222.814	1.031	1.036	1.038
103	3243.523	3123.337	3435.824	3205.181	1.026	1.030	1.038
104	3256.859	3181.005	3390.159	3249.440	1.040	1.044	1.042
105	3255.420	3195.431	3352.780	3247.881	1.039	1.044	1.042
106	3253.620	3196.432	3316.377	3261.149	1.044	1.048	1.041
107	3234.498	3111.019	3353.195	3225.509	1.032	1.037	1.035
108	3242.916	3023.692	3349.839	3251.413	1.040	1.045	1.038
109	3254.079	3171.445	3421.195	3235.911	1.035	1.040	1.041
110	3235.281	3140.148	3349.981	3212.853	1.028	1.033	1.035
111	3286.805	3189.099	3381.639	3289.944	1.053	1.057	1.052
112	3311.682	3217.719	3382.912	3322.952	1.063	1.068	1.060
113	3282.022	3136.383	3429.274	3271.885	1.047	1.052	1.050
