 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3343.696	3241.864	3436.665	3340.081	0.979	0.979	0.981
2	3304.816	3262.833	3344.135	3305.176	0.969	0.969	0.969
3	3332.725	3240.478	3432.395	3338.769	0.979	0.979	0.977
4	3338.669	3203.807	3456.754	3338.691	0.979	0.979	0.979
5	3351.933	3197.220	3467.564	3370.309	0.988	0.988	0.983
6	3372.244	3248.780	3451.993	3386.409	0.993	0.993	0.989
7	3362.345	3286.856	3491.098	3352.888	0.983	0.983	0.986
8	3357.394	3277.263	3441.429	3353.515	0.983	0.983	0.985
9	3356.738	3245.807	3559.093	3348.454	0.982	0.982	0.984
10	3356.553	3273.479	3409.263	3360.418	0.985	0.985	0.984
11	3359.278	3315.195	3449.719	3341.850	0.980	0.980	0.985
12	3345.108	3243.724	3412.520	3334.750	0.978	0.978	0.981
13	3371.852	3274.759	3494.109	3385.770	0.993	0.993	0.989
14	3349.872	3197.917	3417.401	3362.460	0.986	0.986	0.982
15	3350.931	3275.696	3476.083	3342.043	0.980	0.980	0.983
16	3333.709	3305.599	3395.108	3327.768	0.976	0.976	0.978
17	3367.587	3291.358	3472.231	3368.616	0.988	0.988	0.988
18	3325.798	3235.943	3424.969	3340.762	0.980	0.980	0.975
19	3311.662	3265.745	3360.595	3307.820	0.970	0.970	0.971
20	3339.568	3291.634	3379.203	3342.912	0.980	0.980	0.979
21	3350.228	3274.702	3467.141	3328.841	0.976	0.976	0.982
22	3338.058	3218.548	3477.520	3325.850	0.975	0.975	0.979
23	3336.434	3222.916	3497.483	3326.917	0.976	0.976	0.978
24	3336.431	3237.975	3390.853	3343.033	0.980	0.980	0.978
25	3344.018	3309.304	3378.874	3336.264	0.978	0.978	0.981
26	3327.333	3231.886	3414.197	3328.673	0.976	0.976	0.976
27	3362.323	3309.289	3441.805	3353.592	0.983	0.983	0.986
28	3325.016	3248.714	3412.341	3317.844	0.973	0.973	0.975
29	3347.525	3313.035	3389.272	3356.211	0.984	0.984	0.982
30	3344.421	3254.810	3442.230	3340.956	0.980	0.980	0.981
31	3302.778	3215.400	3365.907	3302.635	0.969	0.969	0.969
32	3319.411	3233.687	3420.241	3326.134	0.975	0.975	0.973
33	3334.002	3234.269	3446.784	3323.769	0.975	0.975	0.978
34	3335.389	3253.488	3422.654	3327.541	0.976	0.976	0.978
35	3329.539	3102.762	3460.413	3345.349	0.981	0.981	0.976
