 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3499.906	3381.090	3632.542	3490.739	0.946	0.946	0.949
2	3507.976	3327.020	3735.980	3479.217	0.943	0.943	0.951
3	3495.905	3318.840	3669.278	3520.513	0.954	0.954	0.948
4	3509.083	3274.041	3721.879	3463.927	0.939	0.939	0.951
5	3478.630	3292.670	3686.923	3529.928	0.957	0.957	0.943
6	3460.282	3276.001	3695.152	3422.721	0.928	0.928	0.938
7	3513.068	3284.381	3881.872	3453.354	0.936	0.936	0.952
8	3477.723	3213.943	3643.961	3513.296	0.952	0.952	0.943
9	3456.675	3272.671	3650.686	3453.773	0.936	0.936	0.937
10	3514.973	3355.997	3591.532	3555.055	0.964	0.964	0.953
11	3485.770	3324.338	3560.476	3501.332	0.949	0.949	0.945
12	3434.621	3312.579	3560.250	3451.534	0.936	0.936	0.931
13	3466.006	3299.221	3619.401	3464.801	0.939	0.939	0.940
14	3495.036	3317.998	3681.845	3509.718	0.951	0.951	0.947
15	3449.110	3309.504	3607.066	3479.518	0.943	0.943	0.935
16	3445.408	3351.129	3557.741	3461.034	0.938	0.938	0.934
17	3415.999	3340.208	3487.973	3408.822	0.924	0.924	0.926
18	3445.519	3326.146	3603.615	3399.435	0.922	0.922	0.934
19	3475.761	3266.552	3691.184	3438.889	0.932	0.932	0.942
20	3494.617	3271.446	3692.900	3469.061	0.940	0.940	0.947
21	3518.700	3347.772	3683.016	3515.188	0.953	0.953	0.954
22	3493.165	3245.423	3659.453	3511.284	0.952	0.952	0.947
23	3515.426	3283.407	3743.044	3527.324	0.956	0.956	0.953
24	3485.473	3236.791	3749.935	3470.627	0.941	0.941	0.945
25	3552.284	3390.647	3767.467	3509.986	0.951	0.951	0.963
26	3472.164	3299.779	3770.927	3428.193	0.929	0.929	0.941
27	3491.543	3283.292	3708.950	3490.107	0.946	0.946	0.946
28	3429.522	3126.473	3682.470	3429.961	0.930	0.930	0.930
