 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3255.102	3192.743	3341.529	3238.727	1.033	1.039	1.039
2	3256.326	3172.212	3328.861	3258.850	1.040	1.046	1.039
3	3257.719	3183.623	3355.854	3269.711	1.043	1.049	1.039
4	3271.213	3193.694	3358.716	3263.514	1.041	1.047	1.044
5	3320.810	3235.239	3462.309	3296.796	1.052	1.058	1.059
6	3311.342	3247.218	3404.274	3313.183	1.057	1.063	1.056
7	3269.026	3147.219	3339.462	3279.130	1.046	1.052	1.043
8	3269.997	3133.020	3332.998	3292.381	1.050	1.057	1.043
9	3265.140	3128.920	3360.134	3264.765	1.042	1.048	1.042
10	3312.542	3218.591	3415.210	3337.053	1.065	1.071	1.057
11	3284.338	3222.351	3346.667	3284.945	1.048	1.054	1.048
12	3359.471	3301.533	3456.489	3351.980	1.069	1.076	1.072
13	3315.967	3266.744	3354.268	3320.365	1.059	1.066	1.058
14	3317.105	3257.930	3370.923	3322.448	1.060	1.066	1.058
15	3306.522	3179.495	3455.239	3311.349	1.056	1.063	1.055
16	3265.742	3164.828	3318.944	3278.637	1.046	1.052	1.042
17	3244.351	3204.726	3335.358	3226.778	1.029	1.036	1.035
18	3271.913	3221.632	3374.775	3258.246	1.040	1.046	1.044
19	3293.209	3211.775	3388.143	3302.900	1.054	1.060	1.051
20	3296.077	3201.587	3370.179	3289.642	1.050	1.056	1.052
21	3354.639	3273.041	3463.572	3351.185	1.069	1.075	1.070
22	3325.097	3248.286	3422.965	3321.677	1.060	1.066	1.061
23	3296.971	3183.290	3407.394	3297.172	1.052	1.058	1.052
24	3276.604	3224.068	3330.437	3278.443	1.046	1.052	1.045
25	3289.286	3215.840	3388.739	3277.253	1.046	1.052	1.049
26	3323.620	3214.774	3490.695	3317.974	1.059	1.065	1.060
27	3318.102	3163.923	3407.309	3314.090	1.057	1.064	1.059
28	3286.567	3208.973	3340.238	3289.282	1.049	1.056	1.049
29	3300.346	3179.529	3425.344	3296.196	1.052	1.058	1.053
30	3338.651	3248.303	3517.826	3318.230	1.059	1.065	1.065
31	3312.219	3245.218	3412.218	3276.411	1.045	1.051	1.057
32	3302.313	3232.149	3438.943	3285.244	1.048	1.054	1.054
33	3257.788	3131.440	3351.875	3264.343	1.041	1.048	1.039
34	3285.430	3191.880	3417.854	3280.051	1.046	1.053	1.048
35	3281.439	3166.813	3414.572	3274.677	1.045	1.051	1.047
36	3347.752	3272.749	3439.667	3338.007	1.065	1.071	1.068
37	3309.415	3252.593	3369.223	3314.394	1.057	1.064	1.056
38	3304.075	3187.116	3371.291	3309.103	1.056	1.062	1.054
39	3314.426	3214.183	3382.752	3313.059	1.057	1.063	1.057
40	3355.787	3265.949	3486.478	3324.078	1.061	1.067	1.071
41	3330.731	3200.762	3429.026	3334.548	1.064	1.070	1.063
42	3327.792	3289.732	3381.871	3324.880	1.061	1.067	1.062
43	3286.702	3201.936	3356.620	3286.010	1.048	1.055	1.049
44	3320.494	3251.041	3416.301	3287.676	1.049	1.055	1.059
45	3293.358	3191.375	3361.508	3315.658	1.058	1.064	1.051
46	3298.120	3219.113	3372.969	3301.130	1.053	1.059	1.052
47	3277.805	3130.864	3409.404	3278.185	1.046	1.052	1.046
48	3282.964	3177.092	3355.728	3273.000	1.044	1.050	1.047
