 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3508.488	3391.575	3706.697	3482.117	1.060	1.060	1.068
2	3482.201	3360.867	3659.093	3463.713	1.055	1.055	1.060
3	3500.485	3428.808	3597.168	3488.062	1.062	1.062	1.066
4	3547.580	3429.978	3677.797	3537.812	1.077	1.077	1.080
5	3608.339	3398.612	3835.594	3575.042	1.089	1.089	1.099
6	3573.432	3399.747	3789.370	3539.415	1.078	1.078	1.088
7	3570.321	3400.601	3751.808	3562.346	1.085	1.085	1.087
8	3577.029	3317.207	3763.763	3586.276	1.092	1.092	1.089
9	3568.361	3450.586	3665.000	3609.122	1.099	1.099	1.087
10	3569.667	3439.209	3670.557	3581.250	1.091	1.091	1.087
11	3621.274	3424.963	3775.432	3631.356	1.106	1.106	1.103
12	3526.939	3444.842	3689.188	3520.949	1.072	1.072	1.074
13	3548.781	3459.996	3745.273	3520.194	1.072	1.072	1.081
14	3566.263	3427.324	3735.062	3558.280	1.084	1.084	1.086
15	3578.025	3396.601	3736.036	3569.528	1.087	1.087	1.090
16	3617.999	3464.343	3853.811	3601.865	1.097	1.097	1.102
17	3510.756	3418.208	3634.686	3507.434	1.068	1.068	1.069
18	3434.171	3311.952	3614.000	3413.481	1.039	1.039	1.046
19	3515.156	3362.394	3624.066	3537.415	1.077	1.077	1.070
20	3577.631	3444.029	3709.782	3554.798	1.082	1.082	1.089
21	3550.531	3461.156	3643.349	3544.662	1.079	1.079	1.081
22	3551.164	3442.804	3743.865	3539.184	1.078	1.078	1.081
23	3529.021	3461.033	3679.647	3511.247	1.069	1.069	1.075
24	3545.028	3430.711	3643.666	3553.003	1.082	1.082	1.079
25	3614.170	3409.785	3811.036	3580.062	1.090	1.090	1.101
26	3538.757	3276.412	3731.275	3539.783	1.078	1.078	1.078
27	3505.033	3371.118	3627.177	3508.328	1.068	1.068	1.067
28	3575.281	3468.818	3682.710	3565.400	1.086	1.086	1.089
29	3573.011	3415.312	3710.481	3571.213	1.087	1.087	1.088
30	3525.160	3274.324	3632.893	3546.152	1.080	1.080	1.073
31	3524.196	3394.046	3697.153	3527.435	1.074	1.074	1.073
32	3580.455	3487.386	3781.289	3559.254	1.084	1.084	1.090
33	3548.025	3372.570	3682.809	3559.134	1.084	1.084	1.080
34	3480.797	3359.439	3567.108	3482.442	1.060	1.060	1.060
35	3474.043	3320.034	3582.030	3497.514	1.065	1.065	1.058
36	3513.903	3258.357	3660.875	3528.381	1.074	1.074	1.070
37	3531.318	3416.584	3707.718	3535.348	1.077	1.077	1.075
38	3559.874	3446.952	3735.309	3512.566	1.070	1.070	1.084
39	3505.115	3382.946	3679.438	3479.636	1.060	1.060	1.067
40	3458.593	3276.348	3596.333	3464.549	1.055	1.055	1.053
41	3455.152	3254.277	3606.574	3468.064	1.056	1.056	1.052
42	3564.441	3358.467	3706.662	3598.557	1.096	1.096	1.085
43	3553.915	3349.405	3758.541	3556.430	1.083	1.083	1.082
44	3561.211	3477.271	3686.192	3554.232	1.082	1.082	1.084
45	3560.582	3466.734	3701.705	3544.787	1.079	1.079	1.084
46	3512.798	3442.645	3580.503	3535.775	1.077	1.077	1.070
47	3461.953	3330.971	3619.173	3460.622	1.054	1.054	1.054
48	3535.953	3348.064	3860.801	3501.133	1.066	1.066	1.077
49	3556.437	3424.337	3729.170	3553.603	1.082	1.082	1.083
50	3524.539	3380.340	3653.296	3510.786	1.069	1.069	1.073
51	3546.733	3460.440	3706.896	3513.631	1.070	1.070	1.080
52	3536.005	3371.471	3754.752	3529.014	1.075	1.075	1.077
53	3538.424	3393.565	3720.745	3505.805	1.068	1.068	1.077
54	3510.650	3326.013	3639.265	3505.774	1.068	1.068	1.069
55	3575.975	3409.651	3738.392	3571.608	1.088	1.088	1.089
56	3530.673	3415.043	3664.021	3534.383	1.076	1.076	1.075
57	3513.214	3380.898	3594.607	3518.268	1.071	1.071	1.070
58	3519.211	3349.743	3664.801	3532.672	1.076	1.076	1.072
59	3519.868	3432.688	3609.453	3525.822	1.074	1.074	1.072
60	3530.758	3375.043	3692.580	3542.507	1.079	1.079	1.075
61	3553.045	3463.674	3651.702	3552.815	1.082	1.082	1.082
62	3540.114	3433.023	3727.690	3507.697	1.068	1.068	1.078
63	3644.234	3399.833	3932.788	3627.112	1.104	1.104	1.110
64	3531.399	3358.673	3631.384	3592.903	1.094	1.094	1.075
65	3438.920	3284.379	3575.800	3417.723	1.041	1.041	1.047
66	3496.736	3342.336	3702.058	3492.530	1.063	1.063	1.065
67	3574.583	3435.851	3785.504	3553.275	1.082	1.082	1.088
68	3555.144	3391.629	3770.863	3503.192	1.067	1.067	1.083
69	3599.748	3532.115	3726.781	3565.542	1.086	1.086	1.096
70	3719.113	3610.309	3827.806	3710.029	1.130	1.130	1.132
71	3617.257	3541.985	3682.872	3628.176	1.105	1.105	1.101
72	3563.896	3383.708	3691.022	3547.645	1.080	1.080	1.085
73	3588.723	3456.161	3737.561	3595.967	1.095	1.095	1.093
74	3558.487	3509.359	3641.426	3544.575	1.079	1.079	1.084
75	3563.259	3414.691	3826.810	3517.730	1.071	1.071	1.085
76	3560.710	3452.923	3776.406	3539.002	1.078	1.078	1.084
77	3542.196	3390.685	3718.755	3578.785	1.090	1.090	1.079
78	3547.897	3458.872	3636.216	3548.103	1.080	1.080	1.080
79	3540.804	3467.882	3694.038	3516.621	1.071	1.071	1.078
80	3537.254	3467.837	3599.643	3541.968	1.079	1.079	1.077
81	3529.538	3404.100	3701.594	3530.562	1.075	1.075	1.075
82	3515.390	3313.911	3672.036	3525.882	1.074	1.074	1.070
83	3544.518	3416.753	3692.365	3536.065	1.077	1.077	1.079
84	3616.782	3397.756	3863.050	3613.715	1.100	1.100	1.101
85	3499.169	3381.631	3574.202	3498.165	1.065	1.065	1.066
86	3516.260	3300.288	3653.654	3543.562	1.079	1.079	1.071
87	3546.659	3352.404	3748.556	3536.782	1.077	1.077	1.080
88	3540.139	3372.964	3824.869	3535.884	1.077	1.077	1.078
