 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3664.230	3576.438	3847.899	3637.948	1.133	1.133	1.142
2	3677.969	3545.089	3780.570	3675.341	1.145	1.145	1.146
3	3704.230	3395.529	3955.817	3665.278	1.142	1.142	1.154
4	3685.526	3526.091	3979.095	3675.086	1.145	1.145	1.148
5	3715.933	3609.067	3991.057	3699.320	1.152	1.152	1.158
6	3647.155	3492.990	3963.216	3599.358	1.121	1.121	1.136
7	3620.001	3463.351	3774.590	3627.689	1.130	1.130	1.128
8	3671.796	3541.181	3880.854	3657.953	1.140	1.140	1.144
9	3698.440	3580.917	3803.566	3691.904	1.150	1.150	1.152
10	3655.935	3494.510	3855.635	3618.761	1.127	1.127	1.139
11	3728.239	3566.103	3937.880	3732.491	1.163	1.163	1.161
12	3715.159	3600.801	3825.572	3694.357	1.151	1.151	1.157
13	3749.435	3636.416	3900.052	3724.945	1.160	1.160	1.168
14	3756.210	3547.042	4077.685	3732.028	1.163	1.163	1.170
15	3790.365	3525.528	4073.288	3812.512	1.188	1.188	1.181
16	3736.751	3518.029	3937.045	3742.702	1.166	1.166	1.164
17	3751.697	3623.997	4030.822	3746.199	1.167	1.167	1.169
18	3712.659	3530.935	3919.544	3731.199	1.162	1.162	1.157
19	3640.247	3478.665	3802.121	3655.468	1.139	1.139	1.134
20	3741.464	3611.475	3950.095	3719.990	1.159	1.159	1.166
21	3668.912	3552.313	3818.879	3658.094	1.140	1.140	1.143
22	3710.872	3523.519	3988.242	3725.036	1.160	1.160	1.156
23	3731.279	3497.230	3949.247	3748.301	1.168	1.168	1.162
24	3780.515	3491.167	4069.561	3752.226	1.169	1.169	1.178
25	3783.807	3444.014	4029.653	3784.457	1.179	1.179	1.179
26	3790.563	3628.737	3954.874	3799.617	1.184	1.184	1.181
27	3841.750	3713.022	4127.879	3780.759	1.178	1.178	1.197
28	3815.378	3645.726	3976.803	3808.378	1.186	1.186	1.189
29	3849.779	3682.394	4053.751	3841.128	1.197	1.197	1.199
30	3767.818	3679.703	3927.628	3741.654	1.166	1.166	1.174
31	3724.222	3562.500	3902.959	3704.466	1.154	1.154	1.160
32	3730.402	3621.091	3857.453	3704.793	1.154	1.154	1.162
33	3802.950	3612.694	4004.617	3778.867	1.177	1.177	1.185
34	3889.414	3687.583	4097.922	3874.910	1.207	1.207	1.212
35	3786.397	3604.981	4158.167	3747.981	1.168	1.168	1.180
36	3792.177	3604.522	4006.488	3822.726	1.191	1.191	1.181
37	3783.176	3582.651	4090.276	3744.411	1.166	1.166	1.179
38	3762.545	3538.285	4047.392	3735.073	1.164	1.164	1.172
39	3797.362	3683.993	4051.883	3752.584	1.169	1.169	1.183
40	3834.193	3705.943	4004.589	3803.125	1.185	1.185	1.194
41	3853.888	3663.157	4085.210	3865.739	1.204	1.204	1.201
42	3801.240	3581.782	3961.361	3846.090	1.198	1.198	1.184
43	3802.261	3619.188	3990.473	3826.712	1.192	1.192	1.185
44	3776.375	3594.365	3897.716	3782.560	1.178	1.178	1.176
45	3790.270	3535.650	3923.867	3822.847	1.191	1.191	1.181
46	3801.359	3594.446	4014.990	3802.718	1.185	1.185	1.184
47	3730.736	3556.478	4009.941	3693.663	1.151	1.151	1.162
48	3709.344	3516.374	3907.460	3704.753	1.154	1.154	1.156
49	3707.101	3589.630	3853.404	3667.405	1.142	1.142	1.155
50	3779.714	3635.438	3883.463	3776.870	1.177	1.177	1.177
51	3739.965	3473.763	3905.535	3757.134	1.170	1.170	1.165
52	3886.006	3773.270	4020.322	3865.979	1.204	1.204	1.211
53	3900.779	3730.905	4038.645	3921.770	1.222	1.222	1.215
54	3895.991	3731.933	4178.855	3870.553	1.206	1.206	1.214
