 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3853.406	3541.412	4107.914	3883.030	Infinity	Infinity	Infinity
2	3821.322	3701.212	3998.354	3777.316	Infinity	Infinity	Infinity
3	3800.884	3701.850	3889.180	3793.741	Infinity	Infinity	Infinity
4	3774.030	3632.635	3882.320	3762.025	Infinity	Infinity	Infinity
5	3708.176	3439.629	3802.965	3738.306	Infinity	Infinity	Infinity
6	3828.940	3721.437	4041.698	3811.032	Infinity	Infinity	Infinity
7	3865.678	3727.809	4048.015	3865.393	Infinity	Infinity	Infinity
8	3799.533	3659.615	3926.571	3802.137	Infinity	Infinity	Infinity
9	3811.116	3688.457	3969.631	3819.560	Infinity	Infinity	Infinity
10	3897.052	3632.764	4179.769	3862.008	Infinity	Infinity	Infinity
11	3772.076	3487.214	3914.034	3820.252	Infinity	Infinity	Infinity
12	3827.681	3698.079	3926.501	3848.477	Infinity	Infinity	Infinity
13	3799.685	3714.030	3895.566	3793.605	Infinity	Infinity	Infinity
14	3782.644	3586.762	4021.998	3752.468	Infinity	Infinity	Infinity
15	3790.008	3627.359	4072.561	3767.664	Infinity	Infinity	Infinity
16	3808.623	3679.897	3904.457	3817.989	Infinity	Infinity	Infinity
17	3916.570	3773.056	4108.334	3910.634	Infinity	Infinity	Infinity
18	3803.967	3564.467	4186.419	3745.157	Infinity	Infinity	Infinity
19	3901.487	3690.921	4220.121	3907.210	Infinity	Infinity	Infinity
20	3852.431	3735.247	3976.378	3858.037	Infinity	Infinity	Infinity
21	3810.491	3572.323	3969.644	3825.370	Infinity	Infinity	Infinity
22	3826.658	3571.864	4110.437	3830.616	Infinity	Infinity	Infinity
23	3815.482	3567.743	3983.663	3861.803	Infinity	Infinity	Infinity
24	3866.189	3676.756	3985.916	3878.684	Infinity	Infinity	Infinity
25	3816.162	3684.335	3918.425	3829.635	Infinity	Infinity	Infinity
26	3884.174	3592.584	4235.570	3960.078	Infinity	Infinity	Infinity
27	3967.362	3753.606	4243.744	3928.616	Infinity	Infinity	Infinity
28	3913.795	3806.133	4055.026	3905.782	Infinity	Infinity	Infinity
29	3889.658	3620.792	4142.582	3907.214	Infinity	Infinity	Infinity
30	3852.655	3577.641	4178.667	3867.958	Infinity	Infinity	Infinity
31	3829.340	3652.186	3986.545	3823.424	Infinity	Infinity	Infinity
32	3817.764	3646.977	3915.484	3834.296	Infinity	Infinity	Infinity
33	3858.047	3635.351	4070.805	3847.455	Infinity	Infinity	Infinity
34	3836.141	3598.440	4192.202	3791.424	Infinity	Infinity	Infinity
35	3813.996	3582.851	3943.180	3846.889	Infinity	Infinity	Infinity
36	3869.167	3677.058	4035.423	3915.054	Infinity	Infinity	Infinity
37	3910.371	3639.019	4296.997	3890.959	Infinity	Infinity	Infinity
38	3821.498	3646.629	4023.533	3793.948	Infinity	Infinity	Infinity
39	3800.143	3671.489	3995.692	3789.825	Infinity	Infinity	Infinity
40	3815.339	3652.011	3900.043	3831.811	Infinity	Infinity	Infinity
41	3843.571	3637.473	4041.407	3859.773	Infinity	Infinity	Infinity
42	3891.415	3769.723	4041.490	3894.781	Infinity	Infinity	Infinity
43	3872.123	3757.502	3993.672	3876.811	Infinity	Infinity	Infinity
44	3935.581	3791.079	4239.198	3862.254	Infinity	Infinity	Infinity
45	4023.054	3826.710	4318.043	4019.271	Infinity	Infinity	Infinity
46	4100.451	3916.139	4420.793	4075.092	Infinity	Infinity	Infinity
47	4063.870	3837.637	4333.922	4062.062	Infinity	Infinity	Infinity
48	4136.430	3912.385	4339.723	4153.257	Infinity	Infinity	Infinity
49	4219.823	3961.900	4574.101	4199.108	Infinity	Infinity	Infinity
50	4122.350	3819.984	4343.182	4102.041	Infinity	Infinity	Infinity
51	4307.839	3895.695	4462.377	4320.553	Infinity	Infinity	Infinity
52	4333.281	4112.312	4679.375	4291.505	Infinity	Infinity	Infinity
53	4263.277	3834.569	4756.639	4223.562	Infinity	Infinity	Infinity
54	4176.001	3934.310	4393.117	4163.106	Infinity	Infinity	Infinity
55	4190.326	3951.238	4377.484	4210.413	Infinity	Infinity	Infinity
56	4283.185	4090.062	4423.205	4294.256	Infinity	Infinity	Infinity
57	4213.743	4022.626	4297.052	4213.590	Infinity	Infinity	Infinity
58	4174.853	3829.086	4406.307	4188.845	Infinity	Infinity	Infinity
59	4032.335	3850.756	4219.237	4061.572	Infinity	Infinity	Infinity
60	4225.675	3960.784	4860.153	4154.012	Infinity	Infinity	Infinity
61	4078.640	3953.416	4213.032	4101.166	Infinity	Infinity	Infinity
62	4198.645	3774.126	4441.580	4201.057	Infinity	Infinity	Infinity
63	4224.676	3919.156	4487.651	4235.541	Infinity	Infinity	Infinity
64	4293.459	4031.149	4582.048	4327.633	Infinity	Infinity	Infinity
65	4297.599	4097.056	4473.679	4269.598	Infinity	Infinity	Infinity
66	4189.891	3920.223	4466.964	4170.722	Infinity	Infinity	Infinity
67	4252.217	3968.302	4583.883	4193.771	Infinity	Infinity	Infinity
68	4240.388	3747.360	4602.963	4240.114	Infinity	Infinity	Infinity
69	4345.459	3972.096	4856.622	4334.467	Infinity	Infinity	Infinity
70	4242.462	3841.534	4548.051	4233.151	Infinity	Infinity	Infinity
71	4241.944	3990.488	4512.127	4202.591	Infinity	Infinity	Infinity
72	4388.763	4075.723	4799.862	4331.017	Infinity	Infinity	Infinity
73	4346.321	3815.930	4814.216	4425.004	Infinity	Infinity	Infinity
74	4478.417	3860.769	5322.035	4453.406	Infinity	Infinity	Infinity
75	4546.082	3939.150	5136.962	4660.625	Infinity	Infinity	Infinity
76	4355.528	4141.728	4658.572	4356.331	Infinity	Infinity	Infinity
77	4317.312	4143.131	4522.012	4326.780	Infinity	Infinity	Infinity
78	4320.905	4167.473	4621.918	4297.341	Infinity	Infinity	Infinity
79	4317.951	3956.014	4672.601	4342.770	Infinity	Infinity	Infinity
80	4433.075	4111.840	4663.348	4479.458	Infinity	Infinity	Infinity
81	4215.087	4028.877	4338.718	4219.824	Infinity	Infinity	Infinity
82	4286.390	4018.862	4818.907	4227.796	Infinity	Infinity	Infinity
83	4292.758	4063.000	4454.066	4305.675	Infinity	Infinity	Infinity
84	4486.702	4170.239	4776.855	4479.267	Infinity	Infinity	Infinity
