 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3612.204	3405.241	3778.819	3630.084	0.883	0.886	0.879
2	3598.941	3389.649	3763.053	3621.945	0.881	0.884	0.876
3	3604.503	3459.600	3721.078	3612.122	0.879	0.881	0.877
4	3592.298	3361.395	3746.266	3632.367	0.884	0.886	0.874
5	3580.204	3442.359	3765.131	3584.691	0.872	0.875	0.871
6	3609.225	3435.735	3837.813	3618.431	0.880	0.883	0.878
7	3611.224	3398.458	3705.083	3652.572	0.889	0.891	0.879
8	3636.579	3516.480	3750.747	3632.200	0.884	0.886	0.885
9	3609.709	3476.866	3735.848	3620.904	0.881	0.883	0.878
10	3615.686	3434.018	3787.242	3602.987	0.877	0.879	0.880
11	3627.027	3506.786	3791.423	3620.568	0.881	0.883	0.882
12	3617.688	3566.925	3742.140	3593.982	0.874	0.877	0.880
13	3575.966	3422.433	3700.969	3592.400	0.874	0.876	0.870
14	3497.391	3336.783	3786.514	3489.401	0.849	0.851	0.851
15	3567.683	3394.774	3751.482	3534.993	0.860	0.862	0.868
16	3618.092	3416.736	3775.426	3635.697	0.885	0.887	0.880
17	3608.119	3516.842	3783.362	3591.867	0.874	0.876	0.878
18	3580.860	3419.106	3756.143	3573.747	0.869	0.872	0.871
19	3580.478	3434.842	3662.433	3596.946	0.875	0.878	0.871
20	3643.672	3514.838	3721.586	3662.896	0.891	0.894	0.886
21	3668.525	3493.218	3912.852	3658.281	0.890	0.892	0.892
22	3559.967	3403.012	3714.684	3565.589	0.867	0.870	0.866
23	3641.256	3377.975	3826.613	3644.274	0.887	0.889	0.886
24	3633.735	3528.943	3789.198	3614.511	0.879	0.882	0.884
25	3627.916	3547.505	3778.903	3584.950	0.872	0.875	0.883
26	3642.886	3490.458	3985.303	3593.282	0.874	0.877	0.886
27	3608.036	3481.248	3718.016	3596.837	0.875	0.877	0.878
28	3556.626	3429.409	3664.651	3571.268	0.869	0.871	0.865
29	3569.952	3451.501	3652.362	3578.400	0.871	0.873	0.869
30	3530.303	3365.927	3755.304	3483.912	0.848	0.850	0.859
31	3526.853	3364.496	3669.116	3541.047	0.861	0.864	0.858
32	3609.489	3496.366	3740.790	3609.215	0.878	0.881	0.878
33	3570.047	3446.988	3709.189	3578.667	0.871	0.873	0.869
34	3572.829	3312.938	3769.083	3576.644	0.870	0.873	0.869
35	3543.496	3373.429	3773.839	3550.510	0.864	0.866	0.862
36	3496.794	3387.461	3612.821	3489.799	0.849	0.851	0.851
37	3491.970	3275.291	3636.522	3505.087	0.853	0.855	0.850
38	3482.998	3369.456	3615.544	3483.527	0.847	0.850	0.847
39	3533.617	3424.179	3699.573	3525.749	0.858	0.860	0.860
40	3492.551	3340.132	3626.149	3476.762	0.846	0.848	0.850
41	3512.613	3277.298	3691.097	3514.310	0.855	0.857	0.855
42	3543.797	3479.304	3721.515	3520.864	0.857	0.859	0.862
43	3495.176	3399.866	3560.505	3497.547	0.851	0.853	0.850
44	3552.034	3361.848	3822.809	3541.590	0.862	0.864	0.864
45	3569.149	3397.714	3765.038	3566.398	0.868	0.870	0.868
46	3568.291	3461.330	3660.275	3589.587	0.873	0.876	0.868
47	3520.792	3313.693	3676.593	3508.682	0.854	0.856	0.857
48	3559.690	3382.562	3792.429	3570.448	0.869	0.871	0.866
49	3558.895	3425.240	3709.934	3564.517	0.867	0.870	0.866
50	3562.932	3435.555	3792.953	3547.708	0.863	0.866	0.867
51	3575.034	3475.948	3672.160	3569.152	0.868	0.871	0.870
52	3547.373	3376.178	3817.803	3488.564	0.849	0.851	0.863
53	3577.613	3445.969	3824.739	3583.568	0.872	0.874	0.870
54	3476.663	3376.865	3686.484	3464.896	0.843	0.845	0.846
55	3496.761	3316.318	3585.406	3513.958	0.855	0.857	0.851
56	3479.174	3380.660	3615.135	3476.237	0.846	0.848	0.846
57	3482.947	3385.735	3554.245	3491.668	0.849	0.852	0.847
58	3466.389	3382.901	3556.857	3482.767	0.847	0.850	0.843
59	3477.946	3315.308	3651.877	3487.160	0.848	0.851	0.846
60	3442.764	3342.845	3594.146	3428.162	0.834	0.836	0.838
61	3507.432	3384.617	3648.414	3488.990	0.849	0.851	0.853
62	3513.139	3270.321	3643.175	3529.390	0.859	0.861	0.855
63	3568.268	3395.002	3822.406	3531.047	0.859	0.861	0.868
64	3498.962	3344.893	3698.753	3457.608	0.841	0.844	0.851
65	3521.575	3404.368	3602.471	3555.448	0.865	0.867	0.857
66	3543.181	3402.774	3619.514	3541.318	0.862	0.864	0.862
67	3517.877	3406.927	3732.942	3509.233	0.854	0.856	0.856
68	3534.627	3346.868	3802.828	3550.116	0.864	0.866	0.860
69	3537.191	3382.638	3788.293	3511.101	0.854	0.857	0.861
70	3488.965	3361.368	3711.755	3483.857	0.848	0.850	0.849
71	3527.965	3374.808	3665.176	3541.364	0.862	0.864	0.858
72	3523.205	3391.886	3625.214	3521.675	0.857	0.859	0.857
73	3569.666	3461.155	3740.178	3572.219	0.869	0.871	0.868
74	3514.083	3371.240	3659.617	3529.477	0.859	0.861	0.855
75	3526.118	3422.320	3647.068	3518.785	0.856	0.858	0.858
76	3528.307	3431.968	3666.973	3491.392	0.849	0.852	0.858
77	3470.757	3355.882	3572.648	3478.678	0.846	0.849	0.844
78	3468.395	3344.369	3583.603	3479.454	0.846	0.849	0.844
79	3553.947	3359.149	3849.556	3553.663	0.865	0.867	0.865
80	3525.639	3396.202	3699.034	3517.749	0.856	0.858	0.858
81	3599.968	3402.351	3840.800	3589.250	0.873	0.876	0.876
82	3472.108	3369.441	3641.298	3451.854	0.840	0.842	0.845
83	3468.934	3336.365	3645.571	3432.045	0.835	0.837	0.844
84	3480.356	3390.067	3535.031	3486.775	0.848	0.851	0.847
85	3492.452	3409.041	3638.425	3484.017	0.848	0.850	0.850
86	3556.433	3373.826	3783.976	3556.071	0.865	0.868	0.865
87	3529.537	3385.764	3711.273	3515.707	0.855	0.858	0.859
88	3542.862	3461.411	3632.311	3522.847	0.857	0.859	0.862
89	3501.314	3360.690	3736.444	3474.639	0.845	0.848	0.852
90	3532.683	3371.384	3769.218	3527.035	0.858	0.860	0.859
91	3491.236	3294.599	3664.645	3499.394	0.851	0.854	0.849
92	3527.743	3363.660	3713.225	3512.455	0.855	0.857	0.858
93	3475.584	3363.053	3654.739	3457.075	0.841	0.843	0.846
94	3508.782	3306.737	3599.542	3529.794	0.859	0.861	0.854
95	3505.357	3239.850	3644.621	3565.588	0.867	0.870	0.853
96	3471.613	3361.222	3573.740	3484.751	0.848	0.850	0.845
97	3514.464	3452.460	3620.624	3502.495	0.852	0.854	0.855
98	3488.551	3339.942	3605.886	3497.125	0.851	0.853	0.849
99	3476.346	3323.541	3675.590	3444.034	0.838	0.840	0.846
100	3475.795	3336.064	3584.120	3476.772	0.846	0.848	0.846
101	3508.975	3357.848	3631.271	3518.630	0.856	0.858	0.854
102	3509.889	3457.302	3562.433	3514.626	0.855	0.857	0.854
103	3486.092	3283.170	3714.936	3502.145	0.852	0.854	0.848
104	3496.011	3365.641	3608.676	3539.519	0.861	0.864	0.851
105	3491.297	3395.638	3582.370	3492.603	0.850	0.852	0.849
106	3473.449	3363.740	3614.458	3462.004	0.842	0.845	0.845
107	3460.351	3338.356	3616.177	3460.477	0.842	0.844	0.842
108	3473.874	3375.096	3575.661	3478.939	0.846	0.849	0.845
109	3452.755	3344.854	3575.853	3435.155	0.836	0.838	0.840
110	3500.819	3365.464	3594.010	3515.988	0.855	0.858	0.852
111	3478.146	3323.838	3584.052	3515.683	0.855	0.858	0.846
112	3455.892	3308.993	3623.807	3449.976	0.839	0.842	0.841
113	3523.233	3313.648	3751.015	3511.031	0.854	0.857	0.857
114	3514.263	3374.570	3725.265	3466.858	0.843	0.846	0.855
115	3466.146	3344.664	3551.581	3474.894	0.845	0.848	0.843
116	3437.071	3329.101	3630.424	3399.708	0.827	0.829	0.836
117	3457.322	3309.290	3645.907	3440.987	0.837	0.839	0.841
118	3508.216	3381.837	3596.695	3505.680	0.853	0.855	0.853
119	3491.980	3371.935	3692.654	3493.300	0.850	0.852	0.850
120	3468.158	3277.559	3814.572	3452.819	0.840	0.842	0.844
121	3416.252	3373.825	3475.517	3407.957	0.829	0.831	0.831
122	3462.807	3269.881	3763.588	3444.451	0.838	0.840	0.842
123	3491.877	3370.144	3652.832	3505.066	0.853	0.855	0.850
124	3461.671	3377.274	3578.887	3462.365	0.842	0.845	0.842
125	3484.526	3370.350	3577.174	3490.609	0.849	0.852	0.848
126	3480.265	3407.571	3619.565	3457.173	0.841	0.843	0.847
127	3485.639	3363.859	3565.408	3512.766	0.855	0.857	0.848
128	3474.742	3349.317	3596.569	3450.338	0.839	0.842	0.845
129	3447.044	3289.557	3589.167	3457.817	0.841	0.844	0.839
130	3424.615	3321.839	3519.922	3427.688	0.834	0.836	0.833
131	3497.553	3376.611	3570.207	3519.942	0.856	0.859	0.851
132	3525.816	3358.932	3658.194	3517.582	0.856	0.858	0.858
133	3471.429	3280.074	3556.316	3494.623	0.850	0.853	0.845
134	3474.174	3356.669	3543.316	3478.102	0.846	0.849	0.845
135	3469.074	3330.121	3640.887	3466.167	0.843	0.846	0.844
136	3476.054	3353.482	3651.247	3483.094	0.847	0.850	0.846
137	3508.107	3383.856	3664.955	3501.706	0.852	0.854	0.853
138	3478.282	3329.759	3677.996	3453.191	0.840	0.842	0.846
139	3523.637	3328.154	3675.123	3540.865	0.861	0.864	0.857
140	3458.434	3364.212	3583.387	3473.657	0.845	0.847	0.841
141	3467.415	3375.590	3539.165	3474.050	0.845	0.848	0.844
142	3458.251	3388.235	3498.091	3458.389	0.841	0.844	0.841
143	3452.104	3312.875	3578.062	3442.507	0.838	0.840	0.840
144	3499.935	3412.742	3712.899	3484.282	0.848	0.850	0.851
145	3505.175	3349.463	3730.019	3481.760	0.847	0.849	0.853
146	3558.370	3415.736	3814.744	3511.254	0.854	0.857	0.866
147	3483.636	3330.491	3604.875	3501.203	0.852	0.854	0.848
148	3574.280	3459.314	3696.242	3610.730	0.878	0.881	0.870
149	3577.650	3435.222	3750.087	3568.806	0.868	0.871	0.870
150	3529.815	3424.233	3645.513	3537.735	0.861	0.863	0.859
151	3466.211	3329.362	3610.860	3457.781	0.841	0.844	0.843
