 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3616.682	3471.550	3740.978	3623.110	0.983	0.983	0.981
2	3572.734	3372.258	3787.828	3617.020	0.981	0.981	0.969
3	3547.569	3377.188	3808.817	3522.365	0.955	0.955	0.962
4	3573.187	3477.652	3742.530	3571.765	0.969	0.969	0.969
5	3625.523	3520.438	3772.363	3628.587	0.984	0.984	0.983
6	3574.549	3471.464	3664.030	3575.025	0.970	0.970	0.970
7	3573.174	3428.594	3719.286	3576.397	0.970	0.970	0.969
8	3514.430	3413.579	3683.944	3494.186	0.948	0.948	0.953
9	3539.761	3421.865	3636.712	3556.880	0.965	0.965	0.960
10	3522.451	3443.494	3586.769	3525.724	0.956	0.956	0.955
11	3568.212	3479.141	3681.493	3537.382	0.959	0.959	0.968
12	3527.804	3321.127	3702.902	3520.313	0.955	0.955	0.957
13	3513.143	3436.052	3669.137	3500.943	0.950	0.950	0.953
14	3574.901	3482.011	3930.038	3525.513	0.956	0.956	0.970
15	3590.035	3545.147	3683.698	3569.014	0.968	0.968	0.974
16	3470.495	3354.503	3590.385	3492.275	0.947	0.947	0.941
17	3536.422	3403.250	3652.385	3553.828	0.964	0.964	0.959
18	3478.691	3363.821	3592.464	3511.021	0.952	0.952	0.944
19	3616.639	3431.814	3783.439	3612.451	0.980	0.980	0.981
20	3598.225	3456.571	3876.227	3560.186	0.966	0.966	0.976
21	3516.274	3382.999	3644.609	3524.258	0.956	0.956	0.954
22	3512.062	3462.144	3610.960	3492.533	0.947	0.947	0.953
23	3537.291	3417.404	3661.721	3541.707	0.961	0.961	0.959
24	3551.136	3374.409	3775.585	3548.629	0.962	0.962	0.963
25	3590.223	3436.985	3799.712	3558.127	0.965	0.965	0.974
26	3537.949	3448.455	3616.805	3529.975	0.957	0.957	0.960
27	3551.478	3494.951	3629.021	3548.169	0.962	0.962	0.963
28	3561.617	3443.143	3721.862	3536.992	0.959	0.959	0.966
29	3596.307	3495.058	3753.819	3594.469	0.975	0.975	0.975
30	3620.475	3496.814	3766.714	3632.234	0.985	0.985	0.982
31	3559.389	3445.660	3633.866	3594.486	0.975	0.975	0.965
32	3575.631	3478.721	3701.304	3572.778	0.969	0.969	0.970
33	3612.830	3454.787	3827.492	3553.694	0.964	0.964	0.980
34	3578.971	3420.162	3807.533	3610.354	0.979	0.979	0.971
35	3515.977	3441.493	3852.985	3464.962	0.940	0.940	0.954
36	3564.818	3366.604	3691.060	3567.983	0.968	0.968	0.967
37	3589.345	3354.640	3703.846	3620.000	0.982	0.982	0.974
38	3584.660	3399.820	3786.674	3583.447	0.972	0.972	0.972
39	3500.713	3375.794	3649.642	3485.539	0.945	0.945	0.949
40	3550.180	3452.215	3731.474	3542.124	0.961	0.961	0.963
41	3568.960	3442.125	3698.048	3551.899	0.963	0.963	0.968
42	3532.006	3428.229	3625.634	3529.043	0.957	0.957	0.958
43	3558.565	3524.399	3618.441	3557.639	0.965	0.965	0.965
44	3573.266	3487.996	3686.165	3590.927	0.974	0.974	0.969
45	3576.046	3486.835	3668.987	3566.659	0.967	0.967	0.970
46	3547.755	3358.986	3678.592	3554.783	0.964	0.964	0.962
47	3535.630	3408.419	3760.264	3531.635	0.958	0.958	0.959
48	3517.107	3391.230	3687.505	3510.936	0.952	0.952	0.954
49	3518.179	3378.165	3677.625	3520.565	0.955	0.955	0.954
50	3601.982	3479.490	3731.731	3599.374	0.976	0.976	0.977
51	3622.362	3457.714	3773.454	3605.466	0.978	0.978	0.982
52	3631.637	3567.059	3710.045	3619.400	0.982	0.982	0.985
53	3545.814	3465.547	3673.081	3516.871	0.954	0.954	0.962
54	3538.180	3460.617	3630.487	3538.061	0.960	0.960	0.960
55	3554.302	3409.074	3814.705	3529.160	0.957	0.957	0.964
56	3514.383	3397.273	3722.852	3521.583	0.955	0.955	0.953
57	3574.696	3383.984	3722.012	3596.991	0.976	0.976	0.970
58	3559.845	3379.927	3719.512	3570.388	0.968	0.968	0.966
59	3573.365	3407.312	3742.833	3564.612	0.967	0.967	0.969
60	3534.580	3373.083	3758.059	3520.436	0.955	0.955	0.959
61	3543.533	3384.875	3822.057	3520.450	0.955	0.955	0.961
62	3527.711	3436.447	3705.278	3519.766	0.955	0.955	0.957
63	3547.471	3450.826	3631.856	3549.073	0.963	0.963	0.962
64	3501.348	3358.280	3789.142	3465.057	0.940	0.940	0.950
65	3485.419	3415.310	3574.594	3470.667	0.941	0.941	0.945
