 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3712.884	3515.526	3868.062	3763.669	1.005	1.005	0.991
2	3719.622	3609.189	3921.056	3690.451	0.985	0.985	0.993
3	3781.145	3571.681	4046.497	3788.065	1.011	1.011	1.010
4	3822.034	3705.011	3999.049	3804.470	1.016	1.016	1.021
5	3780.294	3453.399	4033.444	3823.287	1.021	1.021	1.009
6	3733.615	3494.636	3909.214	3746.199	1.000	1.000	0.997
7	3728.149	3595.068	3948.548	3715.935	0.992	0.992	0.996
8	3795.663	3647.942	3945.039	3786.322	1.011	1.011	1.014
9	3824.986	3650.649	4069.685	3805.967	1.016	1.016	1.021
10	3782.519	3651.363	3949.697	3756.278	1.003	1.003	1.010
11	3648.122	3443.797	3784.032	3672.404	0.981	0.981	0.974
12	3657.310	3456.827	3903.524	3624.317	0.968	0.968	0.977
13	3806.953	3489.254	4087.365	3759.673	1.004	1.004	1.017
14	3799.984	3665.093	3994.710	3788.508	1.012	1.012	1.015
15	3759.945	3574.854	3882.531	3791.380	1.012	1.012	1.004
16	3752.307	3552.168	3972.147	3763.464	1.005	1.005	1.002
17	3609.706	3351.965	3714.494	3629.583	0.969	0.969	0.964
18	3723.783	3526.944	3951.709	3712.609	0.991	0.991	0.994
19	3748.802	3475.769	3961.410	3733.671	0.997	0.997	1.001
20	3798.838	3597.993	4037.853	3780.449	1.009	1.009	1.014
21	3753.446	3574.146	3904.945	3744.783	1.000	1.000	1.002
22	3772.351	3659.562	3919.599	3723.658	0.994	0.994	1.007
23	3852.430	3679.188	4002.989	3871.215	1.034	1.034	1.029
24	3750.424	3521.936	4078.798	3738.565	0.998	0.998	1.001
25	3759.451	3536.717	4272.614	3677.817	0.982	0.982	1.004
26	3730.783	3552.857	4088.965	3706.566	0.990	0.990	0.996
27	3671.486	3527.208	3800.896	3673.183	0.981	0.981	0.980
28	3819.536	3402.235	4232.648	3838.753	1.025	1.025	1.020
29	3751.463	3573.413	4021.010	3702.440	0.989	0.989	1.002
30	3722.504	3555.485	3839.865	3771.810	1.007	1.007	0.994
31	3796.903	3608.801	4023.994	3796.429	1.014	1.014	1.014
