 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3410.303	3297.863	3552.055	3403.566	1.070	1.072	1.072
2	3443.188	3359.276	3537.853	3447.796	1.084	1.086	1.083
3	3431.598	3235.671	3565.565	3412.623	1.073	1.075	1.079
4	3410.226	3308.206	3568.517	3407.297	1.072	1.074	1.072
5	3448.692	3280.630	3682.166	3446.952	1.084	1.086	1.085
6	3420.147	3324.710	3484.312	3439.186	1.082	1.084	1.076
7	3424.599	3333.721	3516.908	3413.006	1.073	1.075	1.077
8	3436.999	3349.760	3574.073	3421.594	1.076	1.078	1.081
9	3409.046	3288.378	3500.746	3418.229	1.075	1.077	1.072
10	3402.788	3322.248	3461.706	3415.967	1.074	1.076	1.070
11	3414.673	3338.631	3483.070	3415.709	1.074	1.076	1.074
12	3424.262	3336.884	3504.458	3430.185	1.079	1.081	1.077
13	3369.126	3241.765	3474.502	3365.337	1.058	1.060	1.060
14	3421.224	3347.085	3471.468	3423.989	1.077	1.079	1.076
15	3384.678	3221.246	3527.311	3408.470	1.072	1.074	1.064
16	3441.224	3292.902	3591.007	3447.802	1.084	1.086	1.082
17	3449.691	3346.710	3573.556	3429.178	1.078	1.080	1.085
18	3373.698	3281.931	3461.448	3377.314	1.062	1.064	1.061
19	3388.882	3299.442	3471.000	3377.199	1.062	1.064	1.066
20	3348.212	3238.935	3440.559	3367.337	1.059	1.061	1.053
21	3376.269	3268.990	3465.585	3364.990	1.058	1.060	1.062
22	3425.155	3281.676	3615.298	3405.224	1.071	1.073	1.077
23	3356.390	3205.211	3446.052	3346.367	1.052	1.054	1.056
24	3416.137	3345.795	3517.290	3407.785	1.072	1.074	1.074
25	3425.413	3357.960	3574.420	3409.692	1.072	1.074	1.077
26	3439.430	3261.190	3530.387	3459.682	1.088	1.090	1.082
27	3471.247	3326.597	3566.088	3486.799	1.097	1.099	1.092
28	3398.436	3146.253	3561.852	3396.563	1.068	1.070	1.069
29	3436.920	3310.967	3573.379	3432.605	1.079	1.081	1.081
30	3380.725	3299.313	3447.789	3395.188	1.068	1.070	1.063
31	3355.722	3252.152	3428.219	3363.094	1.058	1.060	1.055
32	3372.070	3286.249	3620.234	3360.201	1.057	1.059	1.060
33	3347.766	3198.296	3434.828	3371.602	1.060	1.062	1.053
34	3444.015	3344.953	3609.666	3435.316	1.080	1.082	1.083
35	3424.312	3301.389	3579.051	3415.371	1.074	1.076	1.077
36	3386.762	3289.248	3493.921	3370.250	1.060	1.062	1.065
37	3407.676	3310.501	3521.781	3407.772	1.072	1.074	1.072
38	3398.742	3215.189	3559.591	3392.434	1.067	1.069	1.069
39	3417.538	3298.192	3593.068	3401.081	1.070	1.072	1.075
40	3423.127	3345.156	3658.320	3384.745	1.064	1.066	1.076
41	3366.004	3222.377	3561.230	3356.052	1.055	1.057	1.059
42	3368.403	3328.124	3406.694	3371.866	1.060	1.062	1.059
43	3392.217	3239.003	3528.039	3372.787	1.061	1.063	1.067
44	3388.282	3243.189	3460.937	3419.872	1.075	1.077	1.066
45	3379.973	3274.858	3498.651	3365.232	1.058	1.060	1.063
46	3376.341	3302.044	3486.873	3380.145	1.063	1.065	1.062
47	3405.931	3312.904	3573.514	3382.954	1.064	1.066	1.071
48	3382.993	3303.531	3472.251	3371.798	1.060	1.062	1.064
49	3384.501	3245.517	3573.602	3360.775	1.057	1.059	1.064
50	3385.604	3300.340	3604.224	3364.756	1.058	1.060	1.065
51	3351.845	3279.024	3432.609	3353.556	1.055	1.057	1.054
52	3368.261	3258.141	3507.211	3361.125	1.057	1.059	1.059
53	3394.573	3314.615	3491.184	3376.021	1.062	1.064	1.068
54	3444.172	3325.760	3547.865	3442.344	1.083	1.085	1.083
55	3407.934	3312.663	3461.838	3421.054	1.076	1.078	1.072
56	3401.251	3293.997	3491.630	3399.490	1.069	1.071	1.070
57	3410.419	3326.142	3537.229	3400.662	1.069	1.071	1.072
58	3426.939	3371.695	3573.307	3407.531	1.072	1.074	1.078
59	3384.160	3248.081	3537.145	3364.437	1.058	1.060	1.064
60	3383.754	3232.802	3503.928	3405.329	1.071	1.073	1.064
61	3391.929	3306.155	3511.707	3392.730	1.067	1.069	1.067
62	3388.563	3245.061	3450.114	3403.819	1.070	1.072	1.066
63	3401.653	3318.513	3551.014	3370.167	1.060	1.062	1.070
64	3400.643	3246.245	3596.741	3406.821	1.071	1.073	1.069
