 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3852.986	3699.548	3998.630	3839.545	1.029	1.029	1.032
2	3936.830	3702.907	4209.669	3885.376	1.041	1.041	1.055
3	3885.069	3628.167	4228.040	3886.291	1.041	1.041	1.041
4	3753.493	3594.263	3911.906	3761.744	1.008	1.008	1.005
5	3762.971	3604.482	4013.500	3736.331	1.001	1.001	1.008
6	3818.641	3637.310	3945.726	3839.352	1.028	1.028	1.023
7	3880.488	3780.962	4098.854	3886.100	1.041	1.041	1.040
8	3852.500	3662.126	3999.292	3858.476	1.034	1.034	1.032
9	3809.234	3650.036	3997.391	3812.040	1.021	1.021	1.020
10	3781.154	3623.289	3965.357	3781.035	1.013	1.013	1.013
11	3882.232	3774.140	4069.128	3872.750	1.037	1.037	1.040
12	3811.767	3596.118	4050.156	3778.407	1.012	1.012	1.021
13	3797.664	3665.561	3986.500	3777.282	1.012	1.012	1.017
14	3822.364	3547.961	3979.171	3845.530	1.030	1.030	1.024
15	3798.735	3659.777	4060.183	3764.341	1.008	1.008	1.018
16	3799.126	3523.704	3870.035	3828.940	1.026	1.026	1.018
17	3829.382	3668.508	3958.797	3822.876	1.024	1.024	1.026
18	3844.284	3621.233	4217.937	3838.796	1.028	1.028	1.030
19	3737.688	3532.006	4003.821	3729.828	0.999	0.999	1.001
20	3830.457	3635.484	4077.856	3805.952	1.020	1.020	1.026
21	3745.548	3592.390	4010.012	3740.341	1.002	1.002	1.003
22	3855.810	3691.118	3953.418	3892.405	1.043	1.043	1.033
23	3800.458	3679.971	3938.278	3790.721	1.015	1.015	1.018
24	3765.821	3503.957	3976.117	3790.009	1.015	1.015	1.009
25	3732.985	3511.981	4030.491	3715.540	0.995	0.995	1.000
26	3672.418	3545.911	3775.813	3667.207	0.982	0.982	0.984
27	3656.221	3535.493	3811.687	3666.827	0.982	0.982	0.979
28	3732.350	3557.320	3859.190	3763.532	1.008	1.008	1.000
29	3672.787	3452.896	3840.212	3662.978	0.981	0.981	0.984
30	3711.510	3586.635	3951.919	3670.337	0.983	0.983	0.994
31	3809.199	3526.996	4112.177	3781.121	1.013	1.013	1.020
32	3759.141	3553.007	4063.298	3732.052	1.000	1.000	1.007
33	3778.398	3685.770	3898.190	3771.005	1.010	1.010	1.012
34	3669.875	3542.967	3801.476	3671.524	0.984	0.984	0.983
35	3647.277	3559.570	3789.490	3647.173	0.977	0.977	0.977
36	3631.808	3533.540	3867.657	3605.508	0.966	0.966	0.973
37	3654.971	3418.080	3900.587	3667.179	0.982	0.982	0.979
