 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3870.623	3655.213	4032.956	3884.511	1.209	1.209	1.204
2	3888.860	3754.067	4152.278	3875.788	1.206	1.206	1.210
3	3878.232	3741.475	4111.909	3858.730	1.201	1.201	1.207
4	3906.410	3592.479	4173.828	3879.744	1.207	1.207	1.216
5	3892.346	3712.724	4181.598	3865.746	1.203	1.203	1.211
6	3825.747	3619.740	4112.815	3764.163	1.171	1.171	1.190
7	3798.421	3519.970	4068.837	3804.666	1.184	1.184	1.182
8	3768.184	3524.539	3955.731	3782.175	1.177	1.177	1.173
9	3729.536	3561.751	3898.229	3700.481	1.151	1.152	1.161
10	3792.493	3566.149	4008.167	3821.799	1.189	1.189	1.180
11	3777.741	3706.061	3867.469	3780.734	1.176	1.177	1.176
12	3817.118	3671.457	4182.928	3789.117	1.179	1.179	1.188
13	3838.437	3709.339	3945.444	3847.806	1.197	1.197	1.194
14	3850.240	3719.833	4071.374	3826.841	1.191	1.191	1.198
15	3844.075	3717.590	4007.564	3834.137	1.193	1.193	1.196
16	3854.217	3615.751	4080.196	3841.590	1.195	1.195	1.199
17	3717.025	3517.053	3890.259	3719.458	1.157	1.157	1.157
18	3816.090	3673.631	4151.279	3772.637	1.174	1.174	1.187
19	3766.941	3659.016	3930.414	3764.208	1.171	1.171	1.172
20	3763.932	3584.254	4035.957	3742.062	1.164	1.164	1.171
21	3802.617	3661.738	3968.790	3791.083	1.180	1.180	1.183
22	3829.834	3615.527	4046.082	3873.253	1.205	1.205	1.192
23	3828.909	3666.325	3941.736	3821.501	1.189	1.189	1.191
24	3718.772	3570.566	3849.313	3737.192	1.163	1.163	1.157
25	3773.041	3573.134	3889.625	3769.970	1.173	1.173	1.174
26	3681.987	3439.162	3979.231	3648.989	1.135	1.136	1.146
27	3759.828	3641.101	3940.670	3737.793	1.163	1.163	1.170
28	3768.915	3630.492	3892.241	3792.712	1.180	1.180	1.173
29	3780.975	3647.806	3876.759	3806.000	1.184	1.184	1.177
30	3782.720	3559.725	3956.752	3802.650	1.183	1.183	1.177
31	3678.261	3527.854	3773.752	3712.405	1.155	1.155	1.145
32	3756.620	3444.956	4234.995	3745.550	1.165	1.166	1.169
33	3774.593	3589.047	3939.657	3781.869	1.177	1.177	1.175
34	3812.735	3671.247	4009.113	3783.893	1.177	1.177	1.186
35	3721.885	3517.538	3966.218	3736.319	1.163	1.163	1.158
36	3754.642	3589.510	3975.069	3707.261	1.154	1.154	1.168
37	3807.541	3622.297	3976.450	3833.205	1.193	1.193	1.185
