 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3804.328	3680.577	3945.642	3780.571	0.884	0.884	0.890
2	3744.038	3500.895	3991.354	3731.778	0.873	0.873	0.876
3	3827.354	3610.193	3975.221	3837.708	0.898	0.898	0.895
4	3762.331	3574.984	3984.856	3712.221	0.868	0.868	0.880
5	3777.184	3624.142	3947.958	3789.069	0.886	0.886	0.884
6	3817.778	3662.137	3976.575	3809.301	0.891	0.891	0.893
7	3815.650	3699.054	3983.378	3793.813	0.887	0.887	0.893
8	3747.689	3579.250	3857.276	3759.175	0.879	0.879	0.877
9	3817.978	3613.693	3961.856	3846.561	0.900	0.900	0.893
10	3814.667	3598.916	4077.072	3801.715	0.889	0.889	0.892
11	3758.022	3607.062	3924.601	3737.423	0.874	0.874	0.879
12	3842.016	3655.436	4185.523	3821.468	0.894	0.894	0.899
13	3800.470	3702.032	3995.998	3776.129	0.883	0.883	0.889
14	3813.718	3722.724	3935.518	3807.099	0.891	0.891	0.892
15	3830.427	3713.641	4066.749	3781.081	0.884	0.884	0.896
16	3843.659	3510.506	3989.498	3876.925	0.907	0.907	0.899
17	3803.950	3639.289	3989.536	3817.307	0.893	0.893	0.890
18	3875.584	3719.488	4174.010	3829.649	0.896	0.896	0.907
19	3794.216	3679.573	3969.726	3783.291	0.885	0.885	0.888
20	3771.832	3419.831	3986.741	3762.897	0.880	0.880	0.882
21	3804.451	3458.839	4136.668	3829.848	0.896	0.896	0.890
22	3782.380	3489.536	3951.873	3848.277	0.900	0.900	0.885
23	3839.134	3444.669	3939.380	3900.769	0.912	0.912	0.898
24	3825.553	3661.627	3970.819	3836.296	0.897	0.897	0.895
25	3855.003	3720.951	3972.526	3849.089	0.900	0.900	0.902
26	3787.322	3630.323	4180.814	3775.122	0.883	0.883	0.886
27	3784.033	3596.201	3954.520	3777.870	0.884	0.884	0.885
28	3745.932	3363.251	3944.323	3764.064	0.880	0.880	0.876
29	3801.378	3558.398	4067.813	3802.205	0.889	0.889	0.889
30	3816.418	3633.971	3970.952	3816.427	0.893	0.893	0.893
31	3846.187	3592.175	4145.792	3858.635	0.903	0.903	0.900
32	3894.460	3636.074	4055.696	3943.620	0.922	0.922	0.911
33	3815.694	3648.744	3905.527	3835.627	0.897	0.897	0.893
34	3803.374	3612.556	3906.547	3821.853	0.894	0.894	0.890
35	3808.759	3660.862	3963.165	3827.149	0.895	0.895	0.891
36	3930.020	3673.664	4100.526	3967.879	0.928	0.928	0.919
37	3849.964	3785.470	4065.284	3807.922	0.891	0.891	0.901
38	3900.602	3726.875	4056.029	3882.180	0.908	0.908	0.912
39	3950.269	3766.432	4194.560	3944.467	0.923	0.923	0.924
40	3864.787	3669.085	4223.160	3819.869	0.894	0.894	0.904
41	3891.797	3696.576	4093.108	3872.458	0.906	0.906	0.910
42	3895.605	3758.223	4161.339	3853.883	0.901	0.901	0.911
43	3772.567	3651.296	3907.196	3781.154	0.884	0.884	0.882
44	3742.068	3644.589	3985.824	3712.970	0.869	0.869	0.875
45	3831.129	3636.352	3970.853	3875.767	0.907	0.907	0.896
46	3858.682	3663.745	4081.197	3853.517	0.901	0.901	0.903
47	3930.586	3693.611	4362.124	3905.754	0.914	0.914	0.919
48	3863.997	3680.767	4042.648	3865.066	0.904	0.904	0.904
49	3891.469	3800.926	4083.656	3847.663	0.900	0.900	0.910
50	3823.685	3527.571	4167.594	3852.190	0.901	0.901	0.894
51	3856.977	3693.799	4069.629	3862.130	0.903	0.903	0.902
52	3884.183	3662.377	4064.359	3901.025	0.913	0.913	0.909
53	3873.877	3681.233	4098.604	3886.178	0.909	0.909	0.906
54	3814.319	3700.980	3939.244	3811.132	0.891	0.891	0.892
55	3741.181	3511.626	3901.800	3746.152	0.876	0.876	0.875
56	3771.375	3668.617	3898.671	3765.563	0.881	0.881	0.882
57	3814.908	3669.546	3956.977	3797.189	0.888	0.888	0.892
58	3788.514	3528.908	4020.182	3794.819	0.888	0.888	0.886
59	3811.260	3524.882	4044.716	3793.377	0.887	0.887	0.892
