 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3915.125	3666.227	4144.013	3950.772	1.241	1.234	1.230
2	4047.544	3833.088	4538.435	3992.727	1.254	1.247	1.271
3	3998.430	3823.730	4135.608	4026.657	1.265	1.258	1.256
4	4014.825	3731.360	4173.444	4045.685	1.271	1.263	1.261
5	4050.558	3911.117	4205.649	4030.245	1.266	1.259	1.272
6	4032.049	3889.442	4247.533	4011.063	1.260	1.253	1.266
7	3894.769	3686.392	4099.467	3896.539	1.224	1.217	1.223
8	3954.886	3766.281	4292.036	3898.210	1.224	1.217	1.242
9	4004.049	3578.918	4211.742	4089.196	1.284	1.277	1.257
10	3956.420	3704.854	4206.661	3938.989	1.237	1.230	1.242
11	3892.488	3672.370	4086.837	3921.888	1.232	1.225	1.222
12	3986.887	3782.870	4182.854	3995.686	1.255	1.248	1.252
13	4022.527	3688.146	4228.827	4034.766	1.267	1.260	1.263
14	4028.440	3848.247	4320.872	4022.009	1.263	1.256	1.265
15	4080.481	3796.144	4290.225	4115.723	1.293	1.285	1.281
16	4007.627	3707.448	4251.555	3994.710	1.255	1.248	1.259
17	4019.800	3856.578	4273.017	3986.284	1.252	1.245	1.262
18	4007.001	3722.888	4296.473	4028.224	1.265	1.258	1.258
19	4068.382	3826.746	4216.657	4123.045	1.295	1.288	1.278
20	4005.895	3859.380	4210.310	3986.775	1.252	1.245	1.258
21	4009.000	3701.909	4404.798	3905.496	1.226	1.220	1.259
22	3983.881	3687.814	4352.650	3955.894	1.242	1.235	1.251
23	3908.496	3734.030	4031.178	3909.587	1.228	1.221	1.227
24	3957.975	3798.116	4140.642	3970.316	1.247	1.240	1.243
25	3928.318	3808.207	4175.074	3884.568	1.220	1.213	1.234
26	3947.766	3651.916	4224.013	3968.854	1.246	1.239	1.240
27	3959.210	3590.894	4292.809	3950.157	1.241	1.234	1.243
28	3888.851	3575.251	4148.702	3894.720	1.223	1.216	1.221
29	4009.198	3830.391	4248.933	3982.907	1.251	1.244	1.259
30	3933.339	3618.023	4326.607	3938.781	1.237	1.230	1.235
31	3920.261	3702.352	4276.067	3867.031	1.214	1.208	1.231
32	3895.775	3650.285	4268.169	3858.083	1.212	1.205	1.223
33	4072.527	3892.006	4329.253	4032.343	1.266	1.259	1.279
34	3982.990	3863.992	4169.271	3958.519	1.243	1.236	1.251
35	3876.976	3642.421	4031.328	3871.116	1.216	1.209	1.218
36	3888.899	3692.168	4152.525	3846.539	1.208	1.201	1.221
37	3999.677	3747.780	4225.842	3993.488	1.254	1.247	1.256
38	3842.641	3696.323	4074.029	3844.732	1.207	1.201	1.207
39	3912.152	3786.477	3998.112	3934.758	1.236	1.229	1.229
40	4002.683	3734.466	4274.421	3997.209	1.255	1.248	1.257
41	4017.089	3790.759	4214.760	4053.683	1.273	1.266	1.262
42	3947.746	3799.198	4369.362	3896.278	1.224	1.217	1.240
43	3848.257	3644.244	4046.516	3863.807	1.213	1.207	1.209
44	3822.750	3599.614	4007.480	3831.947	1.203	1.197	1.200
45	3892.430	3817.931	4105.309	3860.893	1.212	1.206	1.222
46	3945.392	3802.411	4175.953	3891.347	1.222	1.215	1.239
47	3901.232	3722.754	4047.838	3898.553	1.224	1.218	1.225
48	3884.399	3737.327	4055.266	3892.230	1.222	1.216	1.220
49	3943.647	3749.485	4234.634	3914.179	1.229	1.222	1.238
50	3887.355	3639.771	4158.149	3925.226	1.233	1.226	1.221
51	3963.150	3780.978	4145.626	4007.298	1.258	1.251	1.245
52	3959.134	3687.378	4152.090	3977.099	1.249	1.242	1.243
53	4035.841	3785.444	4428.637	4004.896	1.258	1.251	1.267
54	4047.504	3734.335	4244.277	4087.435	1.284	1.277	1.271
55	4006.932	3852.410	4250.629	3988.507	1.253	1.246	1.258
56	4024.490	3865.569	4244.549	4006.184	1.258	1.251	1.264
57	4031.106	3902.807	4316.882	3996.070	1.255	1.248	1.266
58	4080.741	3788.470	4408.428	4042.224	1.269	1.262	1.282
59	4038.981	3611.108	4275.161	4057.355	1.274	1.267	1.268
60	4046.657	3844.534	4208.267	4003.886	1.257	1.250	1.271
61	4076.549	3934.991	4357.132	4035.006	1.267	1.260	1.280
62	4013.805	3805.743	4175.229	4030.867	1.266	1.259	1.260
63	4013.266	3739.650	4158.667	4047.092	1.271	1.264	1.260
64	4057.628	3802.438	4300.745	4051.197	1.272	1.265	1.274
65	4025.374	3779.623	4284.680	3971.526	1.247	1.240	1.264
66	4012.354	3766.477	4254.059	4067.996	1.278	1.270	1.260
67	4034.159	3726.494	4516.859	4031.421	1.266	1.259	1.267
68	4056.997	3621.434	4319.407	4051.476	1.272	1.265	1.274
69	4103.904	3787.359	4474.756	4111.342	1.291	1.284	1.289
70	4005.716	3780.449	4310.791	3954.708	1.242	1.235	1.258
71	3975.136	3763.709	4225.322	3911.237	1.228	1.221	1.248
72	4109.048	3774.454	4429.082	4078.871	1.281	1.274	1.290
73	4142.061	3840.799	4421.365	4128.755	1.297	1.289	1.301
74	4018.583	3602.635	4323.966	3968.109	1.246	1.239	1.262
75	3973.787	3800.727	4336.941	3950.542	1.241	1.234	1.248
76	4067.035	3919.833	4292.376	4059.654	1.275	1.268	1.277
77	4081.873	3860.462	4312.545	4028.665	1.265	1.258	1.282
78	4052.392	3919.696	4202.394	4054.883	1.273	1.266	1.273
79	3933.097	3758.166	4351.216	3898.359	1.224	1.217	1.235
80	3989.598	3844.560	4074.197	4021.979	1.263	1.256	1.253
81	4119.800	3978.228	4298.857	4124.183	1.295	1.288	1.294
82	4046.801	3840.961	4228.766	4069.528	1.278	1.271	1.271
83	4131.005	3923.814	4306.166	4165.418	1.308	1.301	1.297
84	4034.245	3741.936	4359.523	4022.367	1.263	1.256	1.267
85	4043.088	3740.113	4410.386	3999.840	1.256	1.249	1.270
86	4055.187	3674.086	4366.285	4056.876	1.274	1.267	1.273
87	3980.802	3842.012	4193.975	3973.606	1.248	1.241	1.250
88	4083.220	3876.375	4262.433	4097.304	1.287	1.280	1.282
89	4157.575	3685.497	4745.656	4158.433	1.306	1.299	1.306
90	4062.941	3897.044	4572.443	4012.489	1.260	1.253	1.276
91	4057.488	3860.031	4347.013	4018.921	1.262	1.255	1.274
92	4166.274	3820.719	4447.547	4203.650	1.320	1.313	1.308
93	4104.962	3693.845	4439.236	4132.124	1.298	1.290	1.289
94	4144.279	3958.683	4388.736	4166.529	1.308	1.301	1.301
95	4068.196	3866.266	4239.289	4080.342	1.281	1.274	1.278
96	3868.393	3670.320	4022.774	3891.270	1.222	1.215	1.215
97	3972.701	3750.060	4170.588	3981.361	1.250	1.243	1.248
98	4040.930	3687.144	4297.652	4068.909	1.278	1.271	1.269
99	3965.195	3679.086	4286.299	3928.631	1.234	1.227	1.245
100	3931.806	3676.299	4256.675	3940.015	1.237	1.230	1.235
101	3899.174	3678.986	4090.271	3916.855	1.230	1.223	1.224
102	4037.600	3816.630	4239.149	4077.104	1.280	1.273	1.268
103	3955.888	3754.717	4324.101	3911.991	1.229	1.222	1.242
104	4043.544	3865.247	4358.217	4016.496	1.261	1.254	1.270
105	4013.597	3873.897	4237.645	3984.324	1.251	1.244	1.260
106	3979.765	3822.809	4155.714	3989.885	1.253	1.246	1.250
107	3934.446	3639.659	4111.238	3943.032	1.238	1.231	1.236
108	3924.057	3677.568	4301.534	3896.421	1.224	1.217	1.232
109	3908.732	3660.277	4082.082	3928.601	1.234	1.227	1.228
110	3938.934	3806.265	4143.586	3943.741	1.238	1.232	1.237
111	4016.969	3862.415	4222.328	4043.445	1.270	1.263	1.261
112	4022.993	3786.489	4395.074	3984.404	1.251	1.244	1.263
113	3977.377	3806.176	4181.870	3955.201	1.242	1.235	1.249
114	3872.741	3621.508	4092.822	3868.593	1.215	1.208	1.216
115	3968.127	3774.952	4230.793	3947.205	1.240	1.233	1.246
116	4018.115	3859.446	4249.932	4022.057	1.263	1.256	1.262
117	3922.753	3832.591	4044.949	3912.798	1.229	1.222	1.232
118	3976.266	3626.232	4258.002	3959.499	1.243	1.237	1.249
119	3873.756	3696.088	4143.374	3861.708	1.213	1.206	1.217
120	3930.376	3718.447	4132.089	3975.793	1.249	1.242	1.234
121	3907.420	3713.805	4222.538	3910.799	1.228	1.221	1.227
122	3839.298	3700.352	3967.889	3850.875	1.209	1.203	1.206
123	3777.816	3592.552	4033.325	3786.048	1.189	1.182	1.186
124	3814.094	3626.693	4062.755	3824.010	1.201	1.194	1.198
125	3888.070	3716.616	4063.239	3896.153	1.224	1.217	1.221
126	3892.395	3754.653	4019.122	3908.642	1.227	1.221	1.222
127	3814.352	3671.096	4148.945	3755.049	1.179	1.173	1.198
128	3798.515	3608.862	3951.055	3812.188	1.197	1.191	1.193
129	3899.872	3722.811	4157.125	3853.343	1.210	1.203	1.225
130	3898.337	3729.541	4048.040	3907.370	1.227	1.220	1.224
131	3928.509	3816.212	4065.697	3955.603	1.242	1.235	1.234
132	3931.183	3815.054	4139.610	3929.803	1.234	1.227	1.235
133	3835.499	3680.656	3931.060	3856.093	1.211	1.204	1.205
134	3843.897	3705.602	3962.100	3850.184	1.209	1.202	1.207
135	3960.590	3797.460	4211.258	3934.750	1.236	1.229	1.244
136	3885.596	3695.763	4056.439	3892.661	1.222	1.216	1.220
137	3940.817	3746.448	4069.647	3986.615	1.252	1.245	1.238
138	3964.779	3818.917	4189.907	3962.142	1.244	1.237	1.245
139	3919.583	3636.759	4094.379	3944.962	1.239	1.232	1.231
140	3902.616	3743.605	4177.458	3890.388	1.222	1.215	1.226
141	3987.725	3870.989	4142.968	3971.242	1.247	1.240	1.252
142	4105.067	3760.789	4408.783	4114.474	1.292	1.285	1.289
143	3908.690	3606.917	4149.137	3955.064	1.242	1.235	1.227
144	3959.557	3759.680	4155.202	3952.219	1.241	1.234	1.243
145	4014.761	3887.051	4250.924	3947.301	1.240	1.233	1.261
146	4125.287	4018.254	4222.088	4138.893	1.300	1.293	1.296
147	4175.671	3972.572	4448.502	4203.189	1.320	1.313	1.311
148	4159.139	4001.497	4448.853	4138.097	1.300	1.292	1.306
149	4071.458	3876.010	4282.220	4056.333	1.274	1.267	1.279
150	4081.977	3910.591	4218.488	4048.163	1.271	1.264	1.282
151	4111.744	3972.385	4287.087	4116.161	1.293	1.285	1.291
152	4158.223	3911.152	4426.082	4136.036	1.299	1.292	1.306
153	4246.561	3839.350	4449.786	4285.677	1.346	1.338	1.334
154	4113.602	3896.845	4283.455	4108.325	1.290	1.283	1.292
155	4284.078	4116.946	4447.697	4344.678	1.364	1.357	1.345
156	4174.156	4017.791	4370.634	4121.500	1.294	1.287	1.311
157	4346.334	3947.546	4794.442	4305.214	1.352	1.345	1.365
158	4279.406	3924.405	4541.944	4287.921	1.347	1.339	1.344
159	4238.035	3963.675	4518.890	4261.413	1.338	1.331	1.331
160	4322.161	4153.574	4550.479	4274.184	1.342	1.335	1.357
161	4315.394	3984.071	4916.371	4299.089	1.350	1.343	1.355
162	4320.690	4008.277	4605.183	4328.995	1.359	1.352	1.357
163	4308.539	4098.679	4521.501	4315.791	1.355	1.348	1.353
164	4307.569	4005.092	4530.492	4316.132	1.355	1.348	1.353
165	4325.355	3899.327	4653.595	4326.788	1.359	1.351	1.358
166	4347.537	4117.792	4478.417	4344.667	1.364	1.357	1.365
167	4308.823	4147.249	4517.158	4318.804	1.356	1.349	1.353
168	4299.838	4133.208	4495.690	4306.918	1.353	1.345	1.350
169	4283.591	4017.282	4513.153	4313.769	1.355	1.347	1.345
170	4356.701	4184.438	4627.772	4328.862	1.359	1.352	1.368
171	4461.533	4068.474	4828.842	4446.184	1.396	1.389	1.401
172	4454.717	4128.692	4704.362	4466.452	1.403	1.395	1.399
173	4351.871	4064.867	4576.997	4391.461	1.379	1.371	1.367
174	4256.829	4047.116	4511.417	4256.308	1.337	1.329	1.337
175	4277.749	3898.697	4651.916	4284.697	1.346	1.338	1.343
176	4306.031	4007.847	4483.127	4320.564	1.357	1.349	1.352
177	4325.672	4103.308	4473.475	4366.199	1.371	1.364	1.358
178	4356.845	4154.183	4542.900	4324.435	1.358	1.351	1.368
179	4248.192	3802.487	4523.079	4193.033	1.317	1.310	1.334
180	4440.918	4101.271	4787.014	4488.832	1.410	1.402	1.395
181	4372.687	4146.621	4635.225	4377.312	1.375	1.367	1.373
182	4398.397	4247.949	4545.003	4376.174	1.374	1.367	1.381
183	4380.978	4158.526	4684.646	4321.486	1.357	1.350	1.376
184	4391.556	4071.390	4675.452	4396.497	1.381	1.373	1.379
185	4332.972	4140.602	4628.979	4301.611	1.351	1.343	1.361
186	4201.771	3964.918	4475.712	4205.359	1.321	1.313	1.320
187	4426.718	4208.257	4684.418	4452.328	1.398	1.390	1.390
188	4347.362	4120.989	4682.338	4313.610	1.355	1.347	1.365
189	4236.818	3986.065	4442.982	4267.561	1.340	1.333	1.331
190	4295.514	4145.824	4517.743	4279.864	1.344	1.337	1.349
191	4361.068	4079.803	4723.740	4380.982	1.376	1.368	1.370
192	4279.724	4127.033	4492.977	4302.923	1.351	1.344	1.344
193	4408.958	4082.908	4641.925	4426.249	1.390	1.382	1.385
194	4225.661	3929.951	4525.964	4228.161	1.328	1.320	1.327
195	4224.521	4060.852	4424.892	4168.847	1.309	1.302	1.327
196	4272.561	3900.027	4506.007	4285.973	1.346	1.339	1.342
197	4341.947	3976.251	4785.522	4319.188	1.356	1.349	1.364
198	4352.507	4012.367	4652.683	4305.647	1.352	1.345	1.367
199	4303.759	3867.480	4901.662	4341.163	1.363	1.356	1.352
200	4283.925	4068.321	4507.745	4282.245	1.345	1.337	1.345
201	4302.627	4000.973	4590.491	4276.787	1.343	1.336	1.351
