 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	4090.543	3897.593	4248.463	4109.343	1.264	1.267	1.259
2	4054.177	3869.792	4277.094	4033.608	1.241	1.244	1.247
3	3942.693	3774.917	4243.464	3900.450	1.200	1.203	1.213
4	4018.073	3826.675	4215.142	4045.609	1.245	1.248	1.236
5	3976.831	3763.745	4258.076	3950.526	1.216	1.218	1.224
6	3907.101	3747.340	4101.801	3899.504	1.200	1.203	1.202
7	3948.995	3859.680	4093.271	3943.142	1.213	1.216	1.215
8	3856.546	3696.476	4008.090	3836.293	1.180	1.183	1.187
9	3846.269	3694.020	4044.315	3836.484	1.180	1.183	1.184
10	3895.689	3610.512	4174.774	3923.665	1.207	1.210	1.199
11	3904.980	3706.336	4070.766	3925.758	1.208	1.211	1.202
12	3815.208	3672.596	3987.993	3763.861	1.158	1.161	1.174
13	3804.473	3660.040	3909.082	3804.422	1.171	1.173	1.171
14	3924.537	3780.618	4083.175	3919.877	1.206	1.209	1.208
15	3862.675	3598.000	4081.888	3905.794	1.202	1.205	1.189
16	3885.652	3736.123	4092.430	3864.712	1.189	1.192	1.196
17	3891.873	3661.414	4216.394	3844.729	1.183	1.186	1.198
18	3911.090	3792.362	4154.365	3887.187	1.196	1.199	1.203
19	3897.149	3800.371	4037.571	3873.347	1.192	1.195	1.199
20	3927.914	3802.159	4169.806	3894.204	1.198	1.201	1.209
21	3861.477	3566.680	4049.089	3864.293	1.189	1.192	1.188
22	3928.956	3726.971	4272.316	3896.076	1.199	1.202	1.209
23	3890.150	3587.523	4013.800	3908.323	1.203	1.205	1.197
24	3839.192	3726.937	3994.132	3837.042	1.181	1.183	1.181
25	3910.642	3789.387	4029.142	3905.337	1.202	1.204	1.203
26	3952.232	3677.610	4129.154	4006.402	1.233	1.236	1.216
27	3890.291	3591.621	4350.009	3850.436	1.185	1.187	1.197
28	3876.795	3693.152	4066.467	3915.192	1.205	1.207	1.193
29	3953.140	3690.312	4158.006	3960.376	1.219	1.221	1.216
