 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3964.562	3808.625	4150.133	3978.123	1.242	1.250	1.238
2	4026.386	3816.135	4232.089	4024.266	1.257	1.265	1.257
3	4002.216	3753.826	4230.936	4019.802	1.255	1.263	1.250
4	3939.902	3661.239	4086.411	3990.995	1.246	1.254	1.230
5	3997.250	3843.125	4150.579	4010.162	1.252	1.260	1.248
6	4021.055	3844.764	4264.850	3979.850	1.243	1.251	1.256
7	3945.757	3695.950	4181.047	3922.991	1.225	1.233	1.232
8	3884.556	3650.909	4040.799	3894.345	1.216	1.224	1.213
9	3960.815	3702.968	4390.018	3922.242	1.225	1.233	1.237
10	3951.476	3614.545	4271.550	3965.976	1.239	1.246	1.234
11	3909.764	3568.955	4314.559	3835.617	1.198	1.205	1.221
12	3819.296	3633.571	3994.642	3818.662	1.193	1.200	1.193
13	3887.039	3761.905	4115.520	3870.440	1.209	1.216	1.214
14	4013.601	3736.495	4249.158	4046.458	1.264	1.272	1.253
15	3996.936	3870.805	4163.608	3987.210	1.245	1.253	1.248
16	3952.130	3717.217	4128.267	4015.584	1.254	1.262	1.234
17	3895.519	3682.737	4191.044	3888.123	1.214	1.222	1.217
18	3996.749	3900.337	4190.055	3955.131	1.235	1.243	1.248
19	3963.672	3727.686	4125.365	3941.020	1.231	1.239	1.238
20	3914.786	3666.816	4064.722	3922.412	1.225	1.233	1.223
21	3925.966	3657.081	4229.443	3935.855	1.229	1.237	1.226
22	3965.907	3832.980	4137.123	3977.146	1.242	1.250	1.239
23	3937.107	3819.912	4058.664	3949.954	1.234	1.241	1.230
24	3912.003	3732.753	4021.098	3930.084	1.227	1.235	1.222
25	3981.788	3774.372	4170.896	3975.141	1.241	1.249	1.244
26	3978.494	3785.123	4078.842	3974.647	1.241	1.249	1.243
27	3984.540	3765.111	4233.946	4000.438	1.249	1.257	1.244
28	3968.310	3735.878	4089.571	4004.202	1.251	1.258	1.239
29	3921.083	3751.468	4090.927	3902.564	1.219	1.226	1.225
30	3947.178	3767.896	4090.402	3951.272	1.234	1.242	1.233
31	3912.865	3707.729	4039.035	3931.448	1.228	1.236	1.222
32	3835.147	3683.996	4000.401	3843.787	1.200	1.208	1.198
33	3983.168	3834.741	4154.004	3979.793	1.243	1.251	1.244
34	4069.597	3892.120	4235.567	4082.046	1.275	1.283	1.271
35	3992.774	3825.106	4147.564	4013.630	1.253	1.261	1.247
36	3987.442	3814.474	4180.173	3969.630	1.240	1.248	1.245
37	3879.537	3675.079	4042.779	3902.430	1.219	1.226	1.212
38	3954.306	3758.650	4136.218	3942.523	1.231	1.239	1.235
39	3970.598	3721.152	4249.352	3989.591	1.246	1.254	1.240
40	3956.380	3792.698	4160.681	3944.244	1.232	1.240	1.236
41	3940.024	3780.084	4139.241	3904.445	1.219	1.227	1.230
42	3942.233	3744.539	4160.147	3951.263	1.234	1.242	1.231
43	4045.051	3888.050	4139.840	4056.572	1.267	1.275	1.263
44	3953.216	3803.182	4053.487	3965.717	1.239	1.246	1.235
45	3954.115	3755.961	4101.408	3959.957	1.237	1.244	1.235
46	3906.137	3780.133	4026.207	3917.947	1.224	1.231	1.220
47	3888.300	3647.240	4113.273	3868.649	1.208	1.216	1.214
48	3891.638	3679.381	4223.729	3885.867	1.214	1.221	1.215
49	3956.672	3765.780	4185.962	3917.562	1.223	1.231	1.236
50	4029.076	3613.759	4416.609	4099.669	1.280	1.288	1.258
51	3976.167	3653.753	4292.443	3987.182	1.245	1.253	1.242
52	3869.975	3657.950	4166.451	3847.083	1.201	1.209	1.209
53	3815.074	3650.985	3933.980	3831.036	1.196	1.204	1.191
54	3911.407	3725.672	4152.739	3898.420	1.217	1.225	1.222
55	3918.140	3661.794	4089.125	3950.080	1.234	1.241	1.224
56	3919.673	3692.441	4177.853	3908.695	1.221	1.228	1.224
57	3934.019	3676.665	4096.220	3930.973	1.228	1.235	1.229
58	3908.918	3691.696	4133.354	3885.933	1.214	1.221	1.221
59	3900.896	3751.383	4085.749	3893.058	1.216	1.223	1.218
60	3892.903	3698.252	4171.225	3890.475	1.215	1.223	1.216
61	3931.219	3705.332	4088.853	3946.064	1.232	1.240	1.228
62	3902.287	3785.949	4047.246	3908.154	1.221	1.228	1.219
63	3885.917	3729.615	4172.404	3813.805	1.191	1.199	1.214
64	3865.651	3685.407	4167.311	3832.554	1.197	1.204	1.207
65	3854.530	3615.081	3958.678	3910.888	1.221	1.229	1.204
66	3950.341	3795.946	4056.562	3961.777	1.237	1.245	1.234
67	3867.571	3632.648	4057.154	3910.204	1.221	1.229	1.208
68	3830.748	3673.643	3975.072	3826.038	1.195	1.202	1.196
69	3782.778	3541.788	4008.427	3792.607	1.184	1.192	1.181
