 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3327.705	3235.258	3386.896	3350.751	0.961	0.965	0.955
2	3335.166	3235.805	3457.035	3342.303	0.959	0.962	0.957
3	3325.131	3255.042	3517.286	3296.401	0.946	0.949	0.954
4	3324.058	3254.797	3397.588	3323.492	0.953	0.957	0.953
5	3316.257	3219.425	3451.154	3315.949	0.951	0.955	0.951
6	3371.918	3287.937	3484.559	3372.958	0.967	0.971	0.967
7	3358.907	3286.379	3418.930	3364.243	0.965	0.968	0.963
8	3345.941	3258.174	3398.963	3356.696	0.963	0.966	0.960
9	3343.970	3284.723	3449.767	3333.578	0.956	0.960	0.959
10	3342.850	3203.344	3435.505	3340.850	0.958	0.962	0.959
11	3311.248	3235.109	3361.588	3309.721	0.949	0.953	0.950
12	3318.600	3278.451	3365.550	3316.340	0.951	0.955	0.952
13	3344.115	3230.931	3484.198	3330.858	0.955	0.959	0.959
14	3306.470	3211.197	3385.155	3303.651	0.948	0.951	0.948
15	3316.860	3238.774	3426.674	3304.023	0.948	0.951	0.951
16	3349.274	3199.000	3522.679	3339.546	0.958	0.961	0.961
17	3335.180	3257.724	3477.938	3312.302	0.950	0.953	0.957
18	3322.982	3230.911	3447.345	3296.935	0.946	0.949	0.953
19	3361.312	3298.366	3425.856	3362.304	0.964	0.968	0.964
20	3330.683	3238.220	3413.431	3337.570	0.957	0.961	0.955
21	3292.792	3186.519	3370.615	3312.784	0.950	0.954	0.944
22	3329.920	3210.583	3450.477	3325.155	0.954	0.957	0.955
23	3322.940	3204.480	3439.408	3322.309	0.953	0.956	0.953
24	3321.616	3153.675	3404.587	3322.026	0.953	0.956	0.953
25	3310.014	3230.885	3440.366	3311.787	0.950	0.953	0.949
26	3326.996	3246.833	3395.530	3315.298	0.951	0.954	0.954
27	3317.332	3176.088	3399.867	3332.074	0.956	0.959	0.952
28	3317.444	3225.181	3456.250	3302.718	0.947	0.951	0.952
