 	Mean	Min	Max	Median	Max_to_bgmean	Median_to_bgmedian	Mean_to_bgmean
1	3372.177	3280.408	3494.685	3373.648	1.057	1.058	1.057
2	3370.596	3235.593	3475.405	3369.294	1.056	1.056	1.056
3	3334.685	3192.996	3451.941	3335.947	1.045	1.046	1.045
4	3395.933	3313.671	3471.633	3383.568	1.060	1.061	1.064
5	3353.779	3246.888	3492.292	3343.669	1.048	1.048	1.051
6	3383.688	3322.525	3459.361	3373.381	1.057	1.058	1.060
7	3389.520	3309.227	3462.711	3390.385	1.062	1.063	1.062
8	3362.498	3261.218	3537.616	3333.506	1.044	1.045	1.054
9	3388.274	3308.521	3454.462	3386.346	1.061	1.062	1.062
10	3423.297	3250.837	3513.081	3442.372	1.079	1.079	1.073
11	3361.744	3266.631	3487.943	3356.154	1.052	1.052	1.053
12	3359.900	3199.856	3553.119	3353.810	1.051	1.052	1.053
13	3326.235	3242.253	3426.227	3335.612	1.045	1.046	1.042
14	3335.349	3242.049	3390.175	3348.625	1.049	1.050	1.045
15	3360.204	3310.861	3431.079	3354.316	1.051	1.052	1.053
16	3356.927	3269.374	3501.915	3354.472	1.051	1.052	1.052
17	3355.862	3273.438	3504.420	3341.320	1.047	1.048	1.052
18	3362.649	3237.854	3486.595	3359.890	1.053	1.053	1.054
19	3372.694	3285.457	3447.536	3372.976	1.057	1.058	1.057
20	3355.884	3274.604	3437.737	3336.257	1.045	1.046	1.052
21	3341.047	3214.939	3438.892	3335.819	1.045	1.046	1.047
22	3327.843	3169.528	3497.929	3308.751	1.037	1.037	1.043
23	3362.743	3193.712	3580.414	3365.917	1.055	1.055	1.054
24	3359.021	3236.004	3465.538	3368.882	1.056	1.056	1.052
25	3418.553	3228.063	3561.868	3450.888	1.081	1.082	1.071
26	3426.872	3319.198	3549.714	3413.669	1.070	1.070	1.074
27	3426.526	3302.946	3666.950	3406.535	1.067	1.068	1.074
28	3406.730	3338.587	3512.923	3389.600	1.062	1.063	1.067
29	3395.441	3291.566	3481.003	3392.668	1.063	1.064	1.064
30	3367.958	3283.144	3465.893	3363.610	1.054	1.055	1.055
31	3391.637	3254.426	3500.100	3399.208	1.065	1.066	1.063
32	3387.029	3205.143	3513.623	3403.535	1.066	1.067	1.061
33	3390.030	3323.000	3505.904	3373.371	1.057	1.058	1.062
34	3414.484	3336.568	3509.624	3407.984	1.068	1.069	1.070
35	3410.319	3306.897	3549.771	3392.228	1.063	1.064	1.069
36	3399.006	3285.158	3578.684	3379.725	1.059	1.060	1.065
37	3429.274	3317.633	3541.131	3431.407	1.075	1.076	1.075
38	3437.963	3343.867	3597.830	3409.499	1.068	1.069	1.077
39	3410.662	3263.772	3585.785	3392.415	1.063	1.064	1.069
40	3385.288	3249.452	3447.009	3391.162	1.063	1.063	1.061
41	3373.688	3246.605	3567.204	3349.289	1.049	1.050	1.057
42	3380.805	3229.516	3589.946	3359.673	1.053	1.053	1.059
43	3364.234	3239.374	3496.528	3363.209	1.054	1.054	1.054
44	3371.976	3301.323	3458.757	3350.504	1.050	1.050	1.057
45	3332.389	3212.715	3434.578	3332.328	1.044	1.045	1.044
46	3331.641	3209.298	3408.669	3345.033	1.048	1.049	1.044
47	3334.869	3169.561	3454.435	3339.774	1.046	1.047	1.045
48	3309.058	3176.192	3393.203	3314.311	1.038	1.039	1.037
49	3344.750	3287.524	3407.056	3347.981	1.049	1.050	1.048
50	3336.262	3224.594	3451.686	3331.089	1.044	1.044	1.045
51	3388.576	3264.313	3551.291	3370.666	1.056	1.057	1.062
52	3398.818	3309.060	3482.992	3400.295	1.065	1.066	1.065
53	3372.702	3234.401	3549.971	3368.477	1.055	1.056	1.057
54	3347.489	3264.987	3462.076	3337.928	1.046	1.047	1.049
55	3330.438	3235.256	3399.104	3328.257	1.043	1.044	1.044
56	3336.928	3264.026	3418.960	3338.446	1.046	1.047	1.046
57	3368.369	3210.968	3517.868	3366.147	1.055	1.055	1.055
58	3344.498	3227.733	3415.102	3359.722	1.053	1.053	1.048
59	3331.781	3245.221	3530.014	3295.339	1.033	1.033	1.044
60	3298.085	3250.711	3361.049	3287.772	1.030	1.031	1.033
61	3328.003	3244.802	3434.297	3337.144	1.046	1.046	1.043
62	3332.138	3265.086	3422.470	3335.999	1.045	1.046	1.044
63	3267.827	3206.311	3338.191	3268.324	1.024	1.025	1.024
64	3315.927	3224.243	3467.710	3307.250	1.036	1.037	1.039
65	3344.457	3195.794	3473.342	3348.602	1.049	1.050	1.048
66	3354.309	3297.735	3418.985	3349.784	1.050	1.050	1.051
67	3314.245	3227.588	3457.296	3286.018	1.030	1.030	1.038
68	3290.679	3186.251	3422.665	3283.827	1.029	1.030	1.031
69	3304.603	3226.619	3448.102	3297.436	1.033	1.034	1.035
70	3315.908	3228.270	3381.289	3322.887	1.041	1.042	1.039
71	3318.292	3136.485	3427.726	3319.490	1.040	1.041	1.040
72	3331.903	3251.189	3411.557	3346.652	1.049	1.049	1.044
73	3317.499	3225.904	3432.466	3302.958	1.035	1.036	1.039
74	3310.036	3182.946	3473.015	3292.667	1.032	1.032	1.037
75	3283.496	3154.724	3476.228	3250.880	1.019	1.019	1.029
76	3286.708	3165.007	3485.806	3268.515	1.024	1.025	1.030
77	3268.224	3141.393	3418.453	3278.655	1.027	1.028	1.024
78	3320.969	3277.627	3371.770	3320.038	1.040	1.041	1.041
79	3340.507	3252.593	3406.774	3351.085	1.050	1.051	1.047
80	3348.805	3203.599	3419.039	3358.916	1.052	1.053	1.049
81	3325.547	3146.819	3412.372	3337.199	1.046	1.046	1.042
82	3312.656	3253.253	3375.277	3310.777	1.037	1.038	1.038
83	3334.727	3256.282	3443.134	3327.667	1.043	1.043	1.045
84	3344.948	3283.119	3458.686	3332.223	1.044	1.045	1.048
85	3350.997	3272.411	3433.725	3341.605	1.047	1.048	1.050
86	3368.115	3174.901	3571.264	3362.953	1.054	1.054	1.055
87	3362.219	3293.516	3448.558	3354.781	1.051	1.052	1.053
88	3336.353	3272.273	3372.860	3352.064	1.050	1.051	1.045
89	3337.685	3294.787	3385.474	3340.502	1.047	1.047	1.046
90	3331.413	3272.766	3413.263	3323.301	1.041	1.042	1.044
91	3378.783	3294.630	3452.990	3382.008	1.060	1.060	1.059
92	3361.054	3316.485	3423.957	3350.773	1.050	1.051	1.053
93	3360.663	3238.988	3498.223	3364.147	1.054	1.055	1.053
94	3343.001	3259.422	3438.433	3323.001	1.041	1.042	1.047
95	3303.466	3216.490	3460.404	3288.595	1.030	1.031	1.035
96	3350.394	3270.949	3453.742	3335.016	1.045	1.046	1.050
97	3409.376	3254.697	3661.069	3397.917	1.065	1.065	1.068
98	3348.285	3273.956	3474.258	3347.860	1.049	1.050	1.049
99	3362.640	3300.893	3438.697	3356.188	1.052	1.052	1.054
100	3359.048	3280.089	3430.043	3348.750	1.049	1.050	1.052
101	3328.605	3245.499	3411.883	3325.570	1.042	1.043	1.043
102	3348.483	3292.290	3460.169	3344.855	1.048	1.049	1.049
103	3383.136	3308.612	3484.519	3377.325	1.058	1.059	1.060
104	3391.192	3295.560	3485.890	3417.485	1.071	1.071	1.063
105	3399.555	3286.201	3499.474	3420.485	1.072	1.072	1.065
106	3353.116	3261.925	3420.509	3368.365	1.055	1.056	1.051
107	3371.149	3184.347	3524.978	3395.692	1.064	1.065	1.056
108	3341.071	3256.237	3439.861	3339.444	1.046	1.047	1.047
109	3341.203	3272.392	3432.428	3343.758	1.048	1.048	1.047
110	3342.304	3288.098	3428.401	3338.040	1.046	1.047	1.047
111	3355.334	3278.555	3531.104	3340.638	1.047	1.047	1.051
112	3305.596	3217.405	3420.092	3304.077	1.035	1.036	1.036
113	3378.909	3246.440	3472.123	3402.694	1.066	1.067	1.059
114	3386.144	3281.051	3502.389	3371.584	1.056	1.057	1.061
115	3361.280	3212.170	3475.293	3353.001	1.051	1.051	1.053
116	3356.498	3216.625	3486.896	3356.774	1.052	1.052	1.052
117	3307.361	3158.422	3439.343	3292.530	1.032	1.032	1.036
118	3304.326	3238.013	3443.344	3297.370	1.033	1.034	1.035
119	3313.447	3221.884	3386.271	3329.197	1.043	1.044	1.038
120	3356.611	3247.878	3500.073	3362.553	1.054	1.054	1.052
121	3333.988	3245.332	3432.746	3319.525	1.040	1.041	1.045
122	3391.203	3239.135	3547.176	3382.042	1.060	1.060	1.063
123	3363.921	3234.270	3507.699	3368.227	1.055	1.056	1.054
124	3388.530	3272.769	3533.859	3373.292	1.057	1.058	1.062
125	3357.966	3285.828	3469.269	3329.216	1.043	1.044	1.052
126	3386.146	3249.699	3517.909	3385.029	1.061	1.061	1.061
127	3385.992	3230.517	3478.745	3382.400	1.060	1.060	1.061
128	3339.813	3213.825	3432.956	3330.560	1.044	1.044	1.046
