Distance_(pixels),Gray_Value
0,271.188
1,291.827
2,314.035
3,339.655
4,359.959
5,362.807
6,349.777
7,334.271
8,330.831
9,341.874
10,353.157
11,363.806
12,373.333
13,386.818
14,405.555
15,414.513
16,407.528
17,395.118
18,391.012
19,405.585
20,430.448
21,450.614
22,453.598
23,440.388
24,421.575
25,405.525
26,410.980
27,451.773
28,492.690
29,493.194
30,466.285
31,440.586
32,425.878
33,416.344
34,412.386
35,412.107
36,419.406
37,443.173
38,488.050
39,538.817
40,579.698
41,596.397
42,577.418
43,525.964
44,468.758
45,420.224
46,373.563
47,330.829
48,310.101
49,310.546
50,326.822
51,355.497
52,390.986
53,423.722
54,447.626
55,461.613
56,472.195
57,478.118
58,485.579
59,503.330
60,509.929
61,492.526
62,466.633
63,445.493
64,422.174
65,395.886
66,375.278
67,363.649
68,358.996
69,355.253
70,360.888
71,375.998
72,389.262
73,392.861
74,391.018
75,388.054
76,369.616
77,331.894
78,300.146
79,293.147
80,303.676
81,314.576
82,321.182
83,322.706
84,310.546
85,289.925
86,270.419
87,255.891
88,242.892
89,231.714
90,217.914
91,202.039
92,188.447
93,176.702
94,163.322
95,153.419
96,151.209
97,155.915
98,166.037
99,178.339
100,187.602
101,189.348
102,187.704
103,189.404
104,192.194
105,197.152
106,210.041
